Operator Name,Operator ID,Operator Type,State,Total Services,Services from Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
Statewide Total,,Total,NJ,2385159,1951,146948,22722,101138,286655,150872,346623,360004,339536,557386,71324
Statewide Total,,Cooperative,NJ,0,0,0,0,0,0,0,0,0,0,0,0
Statewide Total,,Privately Owned,NJ,0,0,0,0,0,0,0,0,0,0,0,0
Statewide Total,,Investor Owned,NJ,2385159,1951,146948,22722,101138,286655,150872,346623,360004,339536,557386,71324
Statewide Total,,Municipal Owned,NJ,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH JERSEY GAS CO,18440,Investor Owned,NJ,350734,0,5744,1654,5946,13155,19290,45895,54341,67117,125093,12499
PUBLIC SERVICE ELECTRIC & GAS CO,15952,Investor Owned,NJ,1266852,0,105697,14964,65974,168789,100792,202081,185548,155692,236307,31008
NEW JERSEY NATURAL GAS CO,13299,Investor Owned,NJ,536782,0,0,0,8072,90123,19613,81256,96402,87086,137385,16845
ELIZABETHTOWN GAS CO,4350,Investor Owned,NJ,22,0,0,0,0,20,0,1,0,1,0,0
ELIZABETHTOWN GAS CO,4350,Investor Owned,NJ,230769,1951,35507,6104,21146,14568,11177,17390,23713,29640,58601,10972
