Operator Name,Operator ID,Operator Type,State,Total Main Miles,Main Mileage Average Age,Main Miles over 50 Years Old,Main Miles Built in Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
Statewide Total,,Total,NJ,35607.895,36.0,8288,221.0,2318.0,282.0,1909.0,5422.0,2627.0,5807.0,5799.0,4567.0,6044.0,606.0
Statewide Total,,Cooperative,NJ,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Statewide Total,,Privately Owned,NJ,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Statewide Total,,Investor Owned,NJ,35607.895,36.0,8288,221.0,2318.0,282.0,1909.0,5422.0,2627.0,5807.0,5799.0,4567.0,6044.0,606.0
Statewide Total,,Municipal Owned,NJ,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOUTH JERSEY GAS CO,18440,Investor Owned,NJ,6771.095,24.0,886,0.578,83.461,3.115,180.796,614.172,568.495,870.5,906.998,1073.518,2373.788,95.676
PUBLIC SERVICE ELECTRIC & GAS CO,15952,Investor Owned,NJ,18143.8,42.0,5044,0.0,2102.0,260.0,1377.0,2918.0,1528.0,3090.0,2836.0,1937.0,1826.0,269.0
NEW JERSEY NATURAL GAS CO,13299,Investor Owned,NJ,7417.0,30.0,1796,0.0,0.0,0.0,247.0,1497.0,347.0,1363.0,1448.0,1120.0,1259.0,136.0
ELIZABETHTOWN GAS CO,4350,Investor Owned,NJ,1.07,53.0,0,0.0,0.0,0.0,0.0,0.85,0.22,0.0,0.0,0.0,0.0,0.0
ELIZABETHTOWN GAS CO,4350,Investor Owned,NJ,3274.93,31.0,562,220.73,132.68,19.04,104.99,392.25,184.21,483.75,608.39,436.83,585.76,106.2
