Operator Name,Operator ID,Operator Type,State,Total Main Miles,Main Mileage Average Age,Main Miles over 50 Years Old,Main Miles Built in Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
Statewide Total,,Total,MA,21798.249000000003,34.0,5203,491.0,2912.0,243.0,1163.0,3277.0,1858.0,2296.0,3325.0,2767.0,3196.0,268.0
Statewide Total,,Cooperative,MA,2.2,16.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Statewide Total,,Privately Owned,MA,55.0,19.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,21.0,17.0,12.0,0.0
Statewide Total,,Investor Owned,MA,21150.102,39.166666666666664,5099,487.0,2850.0,232.0,1128.0,3235.0,1815.0,2207.0,3200.0,2646.0,3085.0,260.0
Statewide Total,,Municipal Owned,MA,590.947,34.5,104,4.0,61.0,11.0,34.0,42.0,42.0,84.0,103.0,101.0,98.0,7.0
EVERSOURCE GAS OF MASSACHUSETTS,40196,Investor Owned,MA,5004.2,38.0,1476,428.0,233.9,37.9,311.4,1019.4,468.5,504.4,763.3,588.9,622.5,26.0
WESTFIELD GAS AND ELECTRIC CO-OPERATIVE,32392,Cooperative,MA,2.2,16.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0
LIBERTY UTILITIES (NEW ENGLAND NATURAL GAS COMPANY) CORP,31770,Investor Owned,MA,628.607,36.0,152,46.715,53.42,5.353,32.281,100.436,58.578,54.923,67.611,64.561,122.83,21.898
WESTFIELD GAS & ELECTRIC LIGHT DEPT,22511,Municipal Owned,MA,207.5,31.0,33,0.0,10.216,2.426,14.186,12.829,10.866,35.62,44.555,39.126,33.652,4.024
WAKEFIELD MUNICIPAL LIGHT DEPT,22035,Municipal Owned,MA,89.43,29.0,19,0.0,7.61,7.77,1.65,1.33,4.3,6.05,10.08,17.5,31.45,1.69
MIDDLEBOROUGH GAS & ELECTRIC DEPT,12444,Municipal Owned,MA,109.017,31.0,18,0.0,5.334,0.0,0.777,16.92,5.254,13.213,26.143,24.807,15.976,1.027
"HOLYOKE GAS & ELECTRIC DEPT, CITY OF",7330,Municipal Owned,MA,185.0,47.0,34,4.0,38.0,1.0,18.0,11.0,22.0,30.0,23.0,20.0,17.0,1.0
FITCHBURG GAS & ELECTRIC LIGHT CO,5200,Investor Owned,MA,273.05,39.0,84,12.92,27.74,3.3,11.1,62.82,25.52,15.04,18.91,45.61,44.84,5.25
NSTAR GAS COMPANY,2652,Investor Owned,MA,3307.0,40.0,724,0.0,415.0,30.0,188.0,425.0,343.0,490.0,418.0,433.0,508.0,58.0
BOSTON GAS CO,1640,Investor Owned,MA,11167.645,43.0,2421,0.0,2068.614,154.938,501.124,1479.347,872.0,1000.458,1827.874,1449.981,1674.187,139.122
BLACKSTONE GAS CO,1504,Privately Owned,MA,55.0,19.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,21.3,17.0,12.6,0.0
BERKSHIRE GAS CO,1344,Investor Owned,MA,769.6,39.0,242,0.0,52.28,1.05,84.63,148.32,48.03,142.94,104.43,64.46,113.28,10.19
