Operator Name,Operator ID,Operator Type,State,Total Services,Services from Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
Statewide Total,,Total,MA,1361430,109063,110033,13253,31672,89384,97572,152113,225753,222327,291961,18299
Statewide Total,,Cooperative,MA,0,0,0,0,0,0,0,0,0,0,0,0
Statewide Total,,Privately Owned,MA,1499,0,0,0,0,0,40,279,228,549,387,16
Statewide Total,,Investor Owned,MA,1332724,108760,109495,12988,30626,88492,96442,148968,220935,214968,283154,17896
Statewide Total,,Municipal Owned,MA,27207,303,538,265,1046,892,1090,2866,4590,6810,8420,387
EVERSOURCE GAS OF MASSACHUSETTS,40196,Investor Owned,MA,280051,14530,9303,2325,7176,24688,21067,31690,47922,45651,70300,5399
WESTFIELD GAS AND ELECTRIC CO-OPERATIVE,32392,Cooperative,MA,0,0,0,0,0,0,0,0,0,0,0,0
LIBERTY UTILITIES (NEW ENGLAND NATURAL GAS COMPANY) CORP,31770,Investor Owned,MA,36902,341,2949,296,1014,2444,3111,3871,6087,5406,10085,1298
WESTFIELD GAS & ELECTRIC LIGHT DEPT,22511,Municipal Owned,MA,8752,0,70,83,396,225,173,926,1850,2424,2518,87
WAKEFIELD MUNICIPAL LIGHT DEPT,22035,Municipal Owned,MA,5136,207,116,134,125,118,327,263,734,1036,1883,193
MIDDLEBOROUGH GAS & ELECTRIC DEPT,12444,Municipal Owned,MA,4891,83,0,5,20,133,264,508,961,1891,1013,13
"HOLYOKE GAS & ELECTRIC DEPT, CITY OF",7330,Municipal Owned,MA,8428,13,352,43,505,416,326,1169,1045,1459,3006,94
FITCHBURG GAS & ELECTRIC LIGHT CO,5200,Investor Owned,MA,11184,0,330,87,1593,609,721,331,863,2784,3595,271
NSTAR GAS COMPANY,2652,Investor Owned,MA,208066,0,21759,456,4259,12709,15504,34277,38691,30859,45942,3610
BOSTON GAS CO,1640,Investor Owned,MA,763808,93889,73920,9736,15690,45060,53178,72640,122322,125972,144671,6730
BLACKSTONE GAS CO,1504,Privately Owned,MA,1499,0,0,0,0,0,40,279,228,549,387,16
BERKSHIRE GAS CO,1344,Investor Owned,MA,32713,0,1234,88,894,2982,2861,6159,5050,4296,8561,588
