Operator Name,Operator ID,Operator Type,State,Total Services,Services from Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
Statewide Total,,Total,NV,815461,4920,0,1,1087,13787,47823,81291,241572,289100,130617,5263
Statewide Total,,Cooperative,NV,0,0,0,0,0,0,0,0,0,0,0,0
Statewide Total,,Privately Owned,NV,737,0,0,0,0,0,0,0,499,190,48,0
Statewide Total,,Investor Owned,NV,814724,4920,0,1,1087,13787,47823,81291,241073,288910,130569,5263
Statewide Total,,Municipal Owned,NV,0,0,0,0,0,0,0,0,0,0,0,0
AMERIGAS PROPANE LP,32013,Privately Owned,NV,209,0,0,0,0,0,0,0,0,180,29,0
WENDOVER GAS CO,31497,Privately Owned,NV,528,0,0,0,0,0,0,0,499,10,19,0
SOUTHWEST GAS CORP,18536,Investor Owned,NV,681062,851,0,0,296,1685,27376,64202,210367,257248,115840,3197
NV Energy,18308,Investor Owned,NV,388,0,0,0,0,0,0,195,120,72,1,0
NV Energy,18308,Investor Owned,NV,133274,4069,0,1,791,12102,20447,16894,30586,31590,14728,2066
