,State,Sector,Pollutant,Pollutant Type,Total Emissions,Emissions Unit of Measure
0,AL,All Sectors,Ammonia,CAP,153.34039085071922,TON
1,AL,All Sectors,Carbon Monoxide,CAP,48041.42278452231,TON
2,AL,All Sectors,Nitrogen Oxides,CAP,12126.199756490423,TON
3,AL,All Sectors,PM10 Primary (Filt + Cond),CAP,2987.919330252346,TON
4,AL,All Sectors,PM2.5 Primary (Filt + Cond),CAP,4147.0356376477785,TON
5,AL,All Sectors,Sulfur Dioxide,CAP,1524.896039084854,TON
6,AL,All Sectors,Volatile Organic Compounds,CAP,27833.81232711697,TON
7,AL,All Sectors,Carbon Dioxide,GHG,2150654.438436028,TON
8,AL,All Sectors,Methane,GHG,983.3898050083997,TON
9,AL,All Sectors,Nitrous Oxide,GHG,153.15779001234,TON
10,AL,Agriculture - Crops & Livestock Dust,PM2.5 Primary (Filt + Cond),CAP,373.81647403235,TON
11,AL,Agriculture - Livestock Waste,Volatile Organic Compounds,CAP,75.96096831,TON
12,AL,Biogenics - Vegetation and Soil,Carbon Monoxide,CAP,8197.7925,TON
13,AL,Biogenics - Vegetation and Soil,Nitrogen Oxides,CAP,758.1251,TON
14,AL,Biogenics - Vegetation and Soil,Volatile Organic Compounds,CAP,22940.514,TON
15,AL,Bulk Gasoline Terminals,Carbon Monoxide,CAP,3.2102,TON
16,AL,Bulk Gasoline Terminals,PM10 Primary (Filt + Cond),CAP,2.23,TON
17,AL,Bulk Gasoline Terminals,Volatile Organic Compounds,CAP,23.20198476,TON
18,AL,Commercial Cooking,Carbon Monoxide,CAP,0.152460294,TON
19,AL,Commercial Cooking,PM10 Primary (Filt + Cond),CAP,56.14925975,TON
20,AL,Commercial Cooking,PM2.5 Primary (Filt + Cond),CAP,4.55800272,TON
21,AL,Commercial Cooking,Volatile Organic Compounds,CAP,5.86625964,TON
22,AL,Dust - Construction Dust,PM2.5 Primary (Filt + Cond),CAP,3.234144611,TON
23,AL,Dust - Paved Road Dust,PM10 Primary (Filt + Cond),CAP,225.9723,TON
24,AL,Dust - Paved Road Dust,PM2.5 Primary (Filt + Cond),CAP,148.72017,TON
25,AL,Dust - Unpaved Road Dust,PM10 Primary (Filt + Cond),CAP,1874.1498000000001,TON
