Operator Name,Operator ID,Operator Type,State,Total Services,Services from Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
Statewide Total,,Total,LA,1174876,175262,14363,32872,101869,75088,176522,135491,117273,161607,167406,17123
Statewide Total,,Cooperative,LA,179,0,0,0,8,60,61,20,9,5,13,3
Statewide Total,,Privately Owned,LA,417848,55,0,153,31223,6750,112079,81552,61364,65106,53781,5785
Statewide Total,,Investor Owned,LA,577134,135250,12808,29496,57348,49565,48950,32468,35716,74294,92845,8394
Statewide Total,,Municipal Owned,LA,179715,39957,1555,3223,13290,18713,15432,21451,20184,22202,20767,2941
"SOUTHERN GAS SERVICES, INC.",39964,Privately Owned,LA,9,0,0,0,0,0,0,0,9,0,0,0
MAGNOLIA NATURAL GAS LLC,32470,Privately Owned,LA,190,0,0,0,0,0,0,160,0,5,25,0
"JPC ENERGY, LLC",32387,Investor Owned,LA,631,0,0,0,0,335,184,30,66,0,16,0
"FRENCH SETTLEMENT GAS, LLC",31989,Privately Owned,LA,1638,0,0,0,0,34,0,0,0,1344,230,30
TOWN OF FRANKLINTON,31860,Municipal Owned,LA,1357,1345,0,0,0,0,0,0,0,2,10,0
"MAMOU, TOWN OF",26310,Municipal Owned,LA,1371,1262,0,0,0,0,0,0,0,109,0,0
WOODWORTH MUNICIPAL GAS DEPT,25049,Municipal Owned,LA,601,0,0,0,0,0,291,0,37,116,140,17
WASHINGTON PARISH UTILITY DIST #1,25048,Municipal Owned,LA,418,0,0,0,0,378,0,0,0,23,13,4
RAPIDES PARISH GAS UTILITY DIST #2,25046,Municipal Owned,LA,435,0,0,0,0,0,0,332,32,30,39,2
"ZACHARY WATER & GAS DISTRIBUTION SYSTEM, CITY OF",25010,Municipal Owned,LA,6731,0,0,0,0,0,0,2626,722,1813,1328,242
"WHITE CASTLE, TOWN OF",22546,Municipal Owned,LA,486,0,0,272,101,24,41,16,0,20,12,0
"WESTLAKE, TOWN OF",22500,Municipal Owned,LA,4927,4392,0,0,0,0,0,0,0,254,281,0
WEST BATON ROUGE PARISH NATURAL GAS SYSTEM,22364,Municipal Owned,LA,6252,0,0,0,905,925,849,489,397,886,1623,178
"WATERPROOF, TOWN OF",22224,Municipal Owned,LA,456,5,0,0,0,0,0,451,0,0,0,0
WASHINGTON NATURAL GAS SYSTEM,22196,Municipal Owned,LA,834,834,0,0,0,0,0,0,0,0,0,0
"WALKER, TOWN OF",22063,Municipal Owned,LA,11268,2219,0,0,0,0,68,69,2456,4161,1947,348
"VILLE PLATTE GAS SYSTEM, TOWN OF",21290,Municipal Owned,LA,1587,1584,0,0,0,0,0,0,0,0,3,0
"VIDALIA GAS DEPT, CITY OF",21240,Municipal Owned,LA,1968,0,0,0,1159,388,90,52,25,226,28,0
"THIBODAUX GAS DEPT, CITY OF",19360,Municipal Owned,LA,4224,0,0,0,0,0,0,654,417,2500,578,75
TERREBONNE PARISH CONSOLIDATED GOVERNMENT,19205,Municipal Owned,LA,15609,0,0,0,0,1629,982,2640,3558,3007,3155,638
"SUNSET GAS CO, TOWN OF",18740,Municipal Owned,LA,575,481,0,0,0,0,0,0,0,0,94,0
SOUTH COAST GAS CO INC,18416,Investor Owned,LA,25989,0,0,4104,4105,4378,3848,2172,3232,1928,1988,234
"SLAUGHTER MUNICIPAL GAS SYSTEM, TOWN OF",18352,Municipal Owned,LA,510,0,0,103,10,269,27,41,6,13,36,5
"SIMMESPORT NATURAL GAS SYSTEM, TOWN OF",18328,Municipal Owned,LA,604,0,0,236,197,0,0,169,0,0,1,1
SICILY ISLAND GAS CO,18304,Municipal Owned,LA,415,238,0,0,0,0,0,177,0,0,0,0
"SCOTT MUNICIPAL SYSTEM, TOWN OF",18136,Municipal Owned,LA,657,0,0,0,0,0,150,492,8,7,0,0
"ST JOSEPH GAS DEPT, TOWN OF",18068,Municipal Owned,LA,544,0,0,0,0,0,0,0,0,0,542,2
ST JAMES PARISH UTILITIES,18056,Municipal Owned,LA,3332,0,0,0,0,1965,8,97,810,53,348,51
"ST FRANCISVILLE, TOWN OF",18052,Municipal Owned,LA,868,5,0,0,0,540,123,20,17,53,103,7
ST AMANT GAS CO INC,18032,Privately Owned,LA,1434,0,0,0,0,0,0,0,0,0,1425,9
PROVENCAL NATURAL GAS SERVICE,15889,Municipal Owned,LA,250,0,0,0,0,0,250,0,0,0,0,0
PORT BARRE MUNICIPAL SYSTEM,15770,Municipal Owned,LA,728,0,0,175,0,0,0,380,173,0,0,0
PORT ALLEN MUNICIPAL SYSTEM,15763,Municipal Owned,LA,1643,1270,0,0,0,0,0,0,106,208,53,6
"PLAQUEMINE, CITY OF",15679,Municipal Owned,LA,3374,3318,0,0,0,0,0,0,0,12,27,17
PIERRE PART NATURAL GAS INC,15532,Investor Owned,LA,1774,1220,0,0,0,0,0,0,246,116,149,43
"PATTERSON GAS DEPT, CITY OF",15161,Municipal Owned,LA,2957,0,0,462,1616,563,280,16,5,11,4,0
PALMETTO GAS SYSTEM,15077,Municipal Owned,LA,337,0,0,0,0,320,10,2,4,0,1,0
NEZPIQUE GAS SYSTEM INC,13470,Cooperative,LA,179,0,0,0,8,60,61,20,9,5,13,3
"NEWELLTON, TOWN OF - ST JOSEPH JOINT LINE",13440,Municipal Owned,LA,599,599,0,0,0,0,0,0,0,0,0,0
"NEW ROADS GAS SYSTEM, TOWN OF",13370,Municipal Owned,LA,2293,0,0,1525,380,20,20,20,21,89,214,4
"ENTERGY NEW ORLEANS, LLC",13360,Investor Owned,LA,99676,799,4951,2924,10321,9536,7000,1922,5238,20395,33355,3235
"MORGANZA, VILLAGE OF",12786,Municipal Owned,LA,589,0,0,0,487,31,23,18,10,12,4,4
