,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, District of Columbia (Million cubic feet)",13730,13686,13041,13007,17374,16605,17296,16729,17471,17433,15137,15286,16587,16589,15865,15690,17290,15807,13249,14147,15437,12947,14249,15156,14276,13853,11412,13371,13222,13466,13608,12386,11260,13214,14242,13494,11379,11904,13112,12065,
"Natural gas consumed by (delivered to) the commercial sector, District of Columbia (Million cubic feet)",13752,14993,15881,15945,11680,11921,11934,13999,15012,15741,13473,15550,16103,16229,14742,17035,16347,18012,16862,17837,17728,16546,18332,17098,17384,17683,17107,19297,18411,18705,18547,16892,15363,17234,17498,17113,15648,16040,16621,16125,
"Natural gas consumed by the industrial sector, District of Columbia (Million cubic feet)",386,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Natural gas consumed by the electric power sector, District of Columbia (Million cubic feet)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1003,0,0,0,0,0,0,0,0,
"Total energy consumption per capita in the residential sector, District of Columbia (Million Btu)",53.4,48.1,52.2,52.4,61.2,59.9,59.8,59.3,60.6,60.6,59.4,62.1,62.8,67,64.3,67.1,71.1,66.6,62.6,64.6,66.8,61.9,67.8,69.3,70.1,70.1,60.2,65.6,62.7,61.6,64.4,58,54.4,56.4,58,62.7,57.1,55.1,59.6,55.5,
"Electricity consumed by (i.e., sold to) the residential sector, District of Columbia (Million kilowatthours)",1085,1090,1114,1208,1227,1233,1332,1410,1465,1466,1480,1580,1488,1635,1572,1608,1614,1554,1596,1643,1624,1699,1790,1754,1834,1938,1822,1970,1916,1900,2123,2061,2003,2034,2072,2498,2502,2395,2592,2547,
"Electricity consumed by (i.e., sold to) the residential sector per capita, District of Columbia (Kilowatthours)",1700,1711,1756,1909,1938,1943,2086,2214,2324,2349,2446,2630,2490,2746,2667,2771,2820,2737,2823,2881,2839,2957,3123,3086,3231,3418,3193,3429,3301,3208,3508,3323,3150,3121,3123,3689,3639,3435,3681,3596,
"Distillate fuel oil consumed by the residential sector, District of Columbia (Billion Btu)",4366,1639,2962,3228,3796,3223,2587,2723,1968,943,1034,1113,1151,1021,864,1655,1759,1502,1369,1214,1268,1158,2047,2108,2251,2040,1061,1185,833,1017,1214,206,1061,822,804,1074,108,91,681,51,
"Propane consumed by the residential sector, District of Columbia (Billion Btu)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,1,5,10,6,5,5,4,9,
"Distillate fuel oil consumed by the commercial sector, District of Columbia (Billion Btu)",3769,1633,2619,5785,6804,4871,6411,4320,3649,3496,3470,3959,3731,4970,5877,4829,5593,2944,1852,1950,3266,3151,1721,2227,2662,2349,2022,1758,1164,1726,1046,675,736,645,574,719,642,392,547,391,
"Electricity consumed by (i.e., sold to) the commercial sector, District of Columbia (Million kilowatthours)",2457,2425,2614,2735,4141,4317,4516,4752,4965,5118,5250,5418,5416,5605,8291,8275,8108,8132,8261,8354,8540,8716,8878,8639,8994,9296,9030,9519,9131,8992,9209,8966,8713,8499,8548,8222,8368,8006,8236,7952,
"Total energy consumption per capita in the commercial sector, District of Columbia (Million Btu)",76.3,74.1,82.6,93.5,113.9,111.1,119.3,121.4,119.8,127.7,139.9,147.8,149.1,156.6,211.1,217.7,214.8,216,215.7,217.4,223.9,222,226.3,218.4,229.1,235.6,222.1,229.4,215.9,208,206.3,192.9,176.2,171.1,169.8,160.3,157.4,149.8,151.5,143.1,
