,State,Metric Type,Metric Name,Units,Household Income,Electricity Payments ($),Gas Payments ($),Fuel Oil Payments ($),Energy Burden (% Income)
1,ND,Tenure,OWNER,197347.0,101667.14,1937.42,778.5,69.19,2.74
2,ND,Tenure,RENTER,117556.0,45193.91,944.19,204.49,14.9,2.5700000000000003
3,ND,Year Built,1940-59,41757.551,72610.62,1576.46,683.31,74.01,3.2099999999999995
4,ND,Year Built,1960-79,87129.162,70991.16,1636.62,534.09,49.23,3.1300000000000003
5,ND,Year Built,1980-99,71907.456,80993.24,1434.32,518.55,23.09,2.44
6,ND,Year Built,2000-09,38120.216,101950.33,1475.31,463.39,19.03,1.92
7,ND,Year Built,2010+,37117.819,101190.25,1404.53,348.06,12.09,1.7399999999999998
8,ND,Year Built,BEFORE 1940,38870.797,69273.87,1888.38,893.56,133.57,4.21
9,ND,Building Type,1 ATTACHED,18862.489,81502.14,1232.51,318.83,16.51,1.92
10,ND,Building Type,1 DETACHED,189925.887,100787.09,2006.78,800.51,73.73,2.86
11,ND,Building Type,MOBILE_TRAILER,18159.548,60851.07,1578.38,900.69,47.51,4.15
12,ND,Building Type,10-19 UNIT,17188.375,44506.45,751.22,40.95,3.02,1.79
13,ND,Building Type,2 UNIT,5800.671,38330.23,752.35,120.18,9.52,2.3
14,ND,Building Type,3-4 UNIT,11149.205,36204.85,803.86,61.36,5.17,2.4
15,ND,Building Type,5-9 UNIT,11386.334,36457.56,714.85,22.68,2.08,2.03
16,ND,Building Type,BOAT_RV_VAN,103.26,38152.22,512.93,151.07,0.0,1.7399999999999998
17,ND,Building Type,50+ UNIT,12846.315,38127.27,538.26,23.1,1.95,1.48
18,ND,Building Type,20-49 UNIT,29480.914,43833.06,642.55,20.71,0.52,1.51
19,ND,Heating Fuel,BOTTLED GAS,41478.0,87232.17,2226.52,2040.23,68.33,4.97
20,ND,Heating Fuel,ELECTRICITY,127834.0,67939.81,1755.56,104.29,18.63,2.76
21,ND,Heating Fuel,OTHER,4004.0,63561.65,1223.55,215.66,143.46,2.4899999999999998
22,ND,Heating Fuel,SOLAR,25.0,31292.63,216.08,0.0,0.0,0.69
23,ND,Heating Fuel,UTILITY GAS,127613.0,93690.16,1177.35,594.39,18.78,1.91
24,ND,Heating Fuel,WOOD,1665.0,77080.03,1911.13,408.34,228.92,3.3099999999999996
25,ND,Heating Fuel,COAL,633.0,93143.01,1697.96,124.41,397.36,2.3800000000000003
26,ND,Heating Fuel,NONE,3557.0,45191.26,633.52,46.11,4.07,1.51
27,ND,Heating Fuel,FUEL OIL,8094.0,63488.8,1841.94,256.89,811.91,4.58
28,ND,Percent of FPL,0-100%,29601.27,7802.94,1251.02,426.12,33.42,21.92
29,ND,Percent of FPL,100-150%,22128.79,18354.96,1226.72,390.17,53.33,9.1
30,ND,Percent of FPL,150-200%,23603.971,28958.12,1342.43,405.54,50.59,6.21
31,ND,Percent of FPL,200-400%,95811.809,52829.95,1506.61,532.64,54.7,3.9600000000000004
32,ND,Percent of FPL,400%+,143757.161,132126.36,1760.78,666.54,47.31,1.87
