,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
7,"Household Income: $10,000 to $14,999",WV,60109,59763,53915,50702,49852,48568,47390,46980,46072,43216
8,"Household Income: $100,000 to $124,999",WV,36907,40752,40462,44240,42520,45609,48713,46350,55793,54472
9,"Household Income: $125,000 to $149,999",WV,18786,20961,19875,22466,22275,24287,26506,25578,27394,33604
10,"Household Income: $15,000 to $19,999",WV,58566,55809,55324,50909,53625,52535,46462,50633,49729,41653
11,"Household Income: $150,000 to $199,999",WV,11837,17250,15807,18835,19235,18784,21472,23678,23453,26562
12,"Household Income: $20,000 to $24,999",WV,55439,53678,54678,55121,53144,49020,46676,48781,48260,41274
13,"Household Income: $200,000 or more",WV,10467,12261,13821,15763,13491,16357,18228,19173,21138,24579
14,"Household Income: $25,000 to $29,999",WV,48389,49413,44563,43442,44211,45223,43192,39103,43092,41148
15,"Household Income: $30,000 to $34,999",WV,45520,42010,44550,41362,45164,41682,42351,40101,44204,37222
16,"Household Income: $35,000 to $39,999",WV,38483,37508,36442,39594,40395,42220,37673,35968,40921,36261
17,"Household Income: $40,000 to $44,999",WV,40271,39603,38134,37796,36144,38063,36081,34256,34440,36751
18,"Household Income: $45,000 to $49,999",WV,35375,29661,32142,34312,34138,34500,29773,28292,32177,32433
19,"Household Income: $50,000 to $59,999",WV,58359,56462,60372,59756,61701,56115,58656,58907,56557,59808
20,"Household Income: $60,000 to $74,999",WV,71249,67727,69990,69395,71936,70820,68675,69641,72132,69002
21,"Household Income: $75,000 to $99,999",WV,75342,73030,81985,77537,74809,79691,80031,77770,72450,88424
22,"Household Income: Less than $10,000",WV,76841,79520,79484,77423,72735,71062,70246,70097,66891,61766
23,Household Income: Total:,WV,741940,735408,741544,738653,735375,734536,722125,715308,734703,728175
24,Median Household Income,WV,38218.0,38482.0,40196.0,41253.0,41059.0,42019.0,43385.0,43469.0,44097.0,48850.0
