Operator Name,Operator ID,Operator Type,State,Total Main Miles,Main Mileage Average Age,Main Miles over 50 Years Old,Main Miles Built in Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
Statewide Total,,Total,MT,7454.115999999999,24.333333333333332,1884,204.0,49.0,155.0,493.0,967.0,765.0,844.0,1788.0,1102.0,1005.0,77.0
Statewide Total,,Cooperative,MT,52.75,38.0,8,27.0,0.0,0.0,1.0,7.0,5.0,5.0,1.0,2.0,3.0,0.0
Statewide Total,,Privately Owned,MT,734.726,18.0,226,5.0,20.0,36.0,76.0,64.0,86.0,73.0,72.0,73.0,219.0,6.0
Statewide Total,,Investor Owned,MT,6663.639999999999,30.0,1650,171.0,29.0,118.0,416.0,896.0,673.0,766.0,1713.0,1025.0,781.0,70.0
Statewide Total,,Municipal Owned,MT,3.0,19.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
SLEEPY HOLLOW OIL AND GAS,32651,Privately Owned,MT,79.7,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.3,0.4
ABACO ENERGY SERVICES LLC,32313,Privately Owned,MT,3.986,17.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,2.36,0.426,0.0
NORTHWESTERN CORPORATION,31632,Investor Owned,MT,13.78,24.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7,0.54,0.54,0.0
NORTHWESTERN CORPORATION,31632,Investor Owned,MT,4878.0,32.0,1197,0.0,22.0,83.0,275.0,694.0,416.0,530.0,1521.0,757.0,522.0,58.0
ENERGY WEST MONTANA,31191,Privately Owned,MT,644.91,36.0,226,0.0,20.25,36.44,76.69,64.05,86.43,73.44,71.44,70.77,139.64,5.76
MILLER OIL COMPANY,31065,Privately Owned,MT,6.13,14.0,0,5.14,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.45,0.34,0.0
SHELBY GAS ASSOCIATION,18260,Cooperative,MT,52.75,38.0,8,27.35,0.0,0.0,1.0,7.0,5.75,5.0,1.0,2.0,3.65,0.0
SACO MUNICIPAL GAS SERVICE,18024,Municipal Owned,MT,3.0,19.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.65,0.1,0.0
MONTANA - DAKOTA UTILITIES CO,12684,Investor Owned,MT,1771.86,34.0,453,171.64,7.69,35.82,141.16,202.39,257.59,236.53,179.46,267.57,259.16,12.84
