Operator Name,Operator ID,Operator Type,State,Total Main Miles,Main Mileage Average Age,Main Miles over 50 Years Old,Main Miles Built in Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
Statewide Total,,Total,SD,5048.708,27.428571428571427,837,45.0,45.0,7.0,235.0,523.0,429.0,524.0,1428.0,1081.0,675.0,51.0
Statewide Total,,Cooperative,SD,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Statewide Total,,Privately Owned,SD,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Statewide Total,,Investor Owned,SD,4727.457,28.333333333333332,763,45.0,45.0,7.0,185.0,505.0,385.0,503.0,1301.0,1048.0,648.0,50.0
Statewide Total,,Municipal Owned,SD,321.251,26.75,74,0.0,0.0,0.0,49.0,18.0,44.0,21.0,127.0,33.0,26.0,1.0
NORTHWESTERN CORPORATION,31632,Investor Owned,SD,1690.139,31.0,337,0.0,0.0,0.0,0.0,313.409,162.661,252.707,520.645,249.98,166.301,24.436
"GARRETSON GAS UTILITY, CITY OF",31094,Municipal Owned,SD,25.7,23.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,1.2,0.5
"CROOKS MUNICIPAL GAS, CITY OF",31090,Municipal Owned,SD,37.539,22.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,6.0,3.539,0.0
"HUMBOLDT MUNICIPAL GAS, CITY OF",30964,Municipal Owned,SD,12.5,25.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.5,0.0
MIDAMERICAN ENERGY COMPANY,30750,Investor Owned,SD,1547.608,28.0,231,0.25,45.33,6.184,80.101,122.237,111.814,156.685,337.338,397.845,279.707,10.117
WATERTOWN MUNICIPAL GAS DEPT,22231,Municipal Owned,SD,245.512,37.0,74,0.0,0.0,0.0,49.954,18.0,44.0,21.0,65.0,25.043,21.481,1.032
MONTANA - DAKOTA UTILITIES CO,12684,Investor Owned,SD,1489.71,26.0,195,45.3,0.0,1.66,105.8,70.09,110.64,93.66,443.57,400.73,202.59,15.65
