,State,Metric Type,Metric Name,Units,Household Income,Electricity Payments ($),Gas Payments ($),Fuel Oil Payments ($),Energy Burden (% Income)
1,VA,Tenure,OWNER,2070879.0,115589.08,1891.91,549.27,109.76,2.21
2,VA,Tenure,RENTER,1057536.0,58926.14,1397.42,232.78,37.52,2.83
3,VA,Year Built,1940-59,414290.582,79687.0,1615.26,473.52,176.35,2.8400000000000003
4,VA,Year Built,1960-79,834825.642,81556.63,1716.65,345.18,103.87,2.6599999999999997
5,VA,Year Built,1980-99,1038957.596,101708.13,1755.97,397.79,37.74,2.15
6,VA,Year Built,2000-09,483179.732,122052.39,1836.1,624.29,31.98,2.04
7,VA,Year Built,2010+,146967.754,125461.26,1509.98,432.97,15.11,1.5599999999999998
8,VA,Year Built,BEFORE 1940,210193.693,83284.83,1712.64,574.43,239.3,3.0300000000000002
9,VA,Building Type,1 ATTACHED,364168.974,103308.67,1427.57,384.35,10.62,1.76
10,VA,Building Type,1 DETACHED,1980783.774,110267.1,1998.9,568.05,125.23,2.44
11,VA,Building Type,MOBILE_TRAILER,130693.552,39733.45,2031.97,191.33,90.88,5.82
12,VA,Building Type,10-19 UNIT,169705.541,58899.69,1032.22,172.21,2.26,2.0500000000000003
13,VA,Building Type,2 UNIT,43618.254,43750.61,1263.84,187.14,17.12,3.36
14,VA,Building Type,3-4 UNIT,80062.461,44688.64,1122.46,137.6,6.15,2.83
15,VA,Building Type,5-9 UNIT,140455.982,51749.66,1086.72,139.28,5.54,2.3800000000000003
16,VA,Building Type,BOAT_RV_VAN,832.601,25051.41,578.28,180.86,10.95,3.0700000000000003
17,VA,Building Type,50+ UNIT,163190.738,86005.32,802.28,116.92,3.34,1.0699999999999998
18,VA,Building Type,20-49 UNIT,54903.125,66499.29,850.64,114.47,4.0,1.46
19,VA,Heating Fuel,BOTTLED GAS,137923.0,101592.73,1869.33,2025.81,122.8,3.95
20,VA,Heating Fuel,ELECTRICITY,1701691.0,81757.21,1916.15,140.3,29.34,2.55
21,VA,Heating Fuel,OTHER,9175.0,82970.97,1452.31,292.41,407.4,2.59
22,VA,Heating Fuel,SOLAR,914.0,71518.36,1058.27,112.11,16.71,1.66
23,VA,Heating Fuel,UTILITY GAS,1040445.0,126450.47,1417.15,789.36,16.62,1.76
24,VA,Heating Fuel,WOOD,75241.0,66021.7,1730.37,195.46,312.22,3.39
25,VA,Heating Fuel,COAL,2028.0,34877.48,1322.03,93.38,459.86,5.38
26,VA,Heating Fuel,NONE,12314.0,53197.45,1106.36,78.9,22.64,2.27
27,VA,Heating Fuel,FUEL OIL,148684.0,70386.16,1627.3,171.82,1038.08,4.03
28,VA,Percent of FPL,0-100%,298581.693,9253.24,1576.62,274.57,81.84,20.89
29,VA,Percent of FPL,100-150%,212110.592,21818.96,1646.92,288.79,100.07,9.33
30,VA,Percent of FPL,150-200%,218797.655,31873.13,1706.51,326.81,104.24,6.710000000000001
31,VA,Percent of FPL,200-400%,832344.764,56145.39,1757.31,377.7,98.9,3.9800000000000004
32,VA,Percent of FPL,400%+,1566580.296,153576.9,1748.77,545.47,74.16,1.54
