,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
39,Units in Structure: 1 ATTACHED,IL,313903,312577,314689,307241,301064,308730,302044,300920,310106,313725
40,Units in Structure: 1 DETACHED,IL,3088708,3091053,3097154,3095060,3112920,3110917,3141508,3162927,3139808,3149162
41,Units in Structure: 10-19,IL,207942,207823,214314,221537,207722,202371,203027,200939,208127,199540
42,Units in Structure: 2,IL,311786,302526,298874,302317,307845,305049,298734,302686,312337,305868
43,Units in Structure: 20-49,IL,190747,192392,185087,189600,188148,200308,187603,199057,195272,196466
44,Units in Structure: 3-4,IL,357096,374815,369926,352164,354607,354088,343654,347719,346724,341228
45,Units in Structure: 5-9,IL,336841,317635,316724,340648,342125,344041,348189,338175,347987,338789
46,Units in Structure: 50+,IL,345844,357281,353481,344322,359180,355538,368824,373789,386854,410464
47,"Units in Structure: Boat,RV,Van,Etc.",IL,919,1293,1368,1305,1306,1538,1353,1946,1972,1797
48,Units in Structure: Mobile Home,IL,143291,138814,138532,135459,132591,135038,132229,131258,126989,131171
