,State,Metric Type,Metric Name,Units,Household Income,Electricity Payments ($),Gas Payments ($),Fuel Oil Payments ($),Energy Burden (% Income)
1,AL,Tenure,OWNER,1275223.0,79346.07,2164.75,423.02,12.36,3.2800000000000002
2,AL,Tenure,RENTER,585046.0,37008.94,1697.29,220.13,5.64,5.2
3,AL,Year Built,1940-59,230092.858,50341.43,1977.39,511.45,13.55,4.97
4,AL,Year Built,1960-79,521736.935,55854.16,1972.79,400.12,12.83,4.2700000000000005
5,AL,Year Built,1980-99,619771.802,67900.35,2057.4,313.77,9.28,3.51
6,AL,Year Built,2000-09,302226.636,87435.76,2113.37,265.74,5.58,2.73
7,AL,Year Built,2010+,96909.84,86190.0,1765.24,190.0,4.06,2.27
8,AL,Year Built,BEFORE 1940,89530.93,58646.58,2059.28,542.85,15.84,4.46
9,AL,Building Type,1 ATTACHED,29861.089,58639.26,1505.26,271.62,5.79,3.04
10,AL,Building Type,1 DETACHED,1340803.12,77004.1,2152.46,429.09,11.33,3.37
11,AL,Building Type,MOBILE_TRAILER,219657.92,39777.01,2191.84,262.22,13.87,6.2
12,AL,Building Type,10-19 UNIT,52883.082,40091.29,1284.83,69.23,0.99,3.38
13,AL,Building Type,2 UNIT,34511.72,22179.59,1368.15,186.46,5.29,7.03
14,AL,Building Type,3-4 UNIT,49649.026,28127.68,1320.14,131.39,2.24,5.17
15,AL,Building Type,5-9 UNIT,75313.264,33622.24,1311.41,103.09,1.59,4.21
16,AL,Building Type,BOAT_RV_VAN,2116.348,26052.27,832.38,150.75,14.76,3.83
17,AL,Building Type,50+ UNIT,27691.571,42551.38,1031.86,49.38,5.34,2.55
18,AL,Building Type,20-49 UNIT,27781.859,37880.41,1126.26,40.58,0.22,3.08
19,AL,Heating Fuel,BOTTLED GAS,111625.0,49185.12,1831.96,1178.81,35.9,6.1899999999999995
20,AL,Heating Fuel,ELECTRICITY,1205543.0,63397.33,2129.88,124.08,6.93,3.5700000000000003
21,AL,Heating Fuel,OTHER,1645.0,33140.07,1254.13,205.74,81.67,4.65
22,AL,Heating Fuel,SOLAR,157.0,43443.4,973.54,65.79,0.0,2.39
23,AL,Heating Fuel,UTILITY GAS,512524.0,77634.06,1826.11,744.69,9.19,3.32
24,AL,Heating Fuel,WOOD,17841.0,41054.19,1707.65,209.13,75.42,4.8500000000000005
25,AL,Heating Fuel,COAL,315.0,21336.58,631.07,178.7,47.56,4.02
26,AL,Heating Fuel,NONE,7521.0,31496.45,1175.2,80.37,4.11,4.0
27,AL,Heating Fuel,FUEL OIL,3098.0,29264.28,1205.38,209.76,152.2,5.36
28,AL,Percent of FPL,0-100%,296578.447,9417.36,1850.96,324.59,10.25,23.21
29,AL,Percent of FPL,100-150%,199241.526,21220.79,1910.87,340.19,14.54,10.68
30,AL,Percent of FPL,150-200%,184822.744,30912.67,1963.18,356.69,12.22,7.539999999999999
31,AL,Percent of FPL,200-400%,553150.578,53396.97,2023.18,349.29,10.72,4.46
32,AL,Percent of FPL,400%+,626475.705,128600.18,2141.97,391.16,7.89,1.9800000000000002
