Operator Name,Operator ID,Operator Type,State,Total Services,Services from Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
Statewide Total,,Total,IN,2011243,146889,3277,7068,41498,203940,237285,328964,457845,309843,250444,24190
Statewide Total,,Cooperative,IN,616,0,0,0,0,0,0,0,0,381,207,28
Statewide Total,,Privately Owned,IN,20033,221,0,0,357,2744,2806,3797,5240,2725,1857,286
Statewide Total,,Investor Owned,IN,1700837,146423,3226,7060,38211,189975,223379,257653,339240,257612,217106,20952
Statewide Total,,Municipal Owned,IN,289757,245,51,8,2930,11221,11100,67514,113365,49125,31274,2924
VERMILLION RISE MEGA PARK,39222,Municipal Owned,IN,23,0,0,0,0,0,1,0,21,0,1,0
NEWTON COUNTY LANDFILL PARTNERSHIP,32553,Privately Owned,IN,0,0,0,0,0,0,0,0,0,0,0,0
"GRANGER ENERGY, LLC",32193,Privately Owned,IN,4,0,0,0,0,0,0,0,0,4,0,0
"VALLEY RURAL UTILITY CO. C/O UTILITY PIPELINE, LTD.",31940,Cooperative,IN,616,0,0,0,0,0,0,0,0,381,207,28
WESTFIELD GAS CORP,22504,Investor Owned,IN,4695,303,0,0,0,34,79,50,471,1351,1985,422
SWITZERLAND COUNTY NATURAL GAS CO,18780,Investor Owned,IN,827,0,0,0,0,286,86,117,201,108,26,3
SOUTHERN INDIANA GAS & ELECTRIC CO,18508,Investor Owned,IN,117119,67925,84,17,693,1970,1747,2241,4127,13117,23640,1558
SOUTHEAST INDIANA NATURAL GAS CO,18464,Privately Owned,IN,2601,0,0,0,0,372,502,321,831,320,226,29
ROACHDALE GAS DEPARTMENT,17520,Municipal Owned,IN,402,0,0,0,0,0,0,0,0,28,373,1
"RENSSELAER MUNICIPAL GAS SYSTEM, CITY OF",17230,Municipal Owned,IN,3292,0,0,0,0,1517,301,416,555,312,175,16
POSEYVILLE MUNICIPLE GAS CO,15798,Municipal Owned,IN,471,0,0,0,0,412,0,13,9,5,30,2
"PITTSBORO GAS CO, TOWN OF",15616,Municipal Owned,IN,1004,133,0,0,0,0,0,0,253,308,228,82
OSGOOD GAS UTILITY,14400,Municipal Owned,IN,954,112,0,0,0,578,30,26,100,46,58,4
OHIO VALLEY GAS INC,14190,Investor Owned,IN,0,0,0,0,0,0,0,0,0,0,0,0
OHIO VALLEY GAS CORP,14180,Investor Owned,IN,34145,10577,0,0,0,0,0,5794,8801,4714,3539,720
NORTHERN INDIANA PUBLIC SERVICE CO,13730,Investor Owned,IN,885071,0,2161,5666,24559,138329,173074,148358,177723,130803,77847,6551
"NEW HARMONY GAS DEPT, TOWN OF",13280,Municipal Owned,IN,576,0,0,0,0,487,0,7,51,27,4,0
MONTEZUMA MUNICIPAL GAS UTILITIES DEPT,12738,Municipal Owned,IN,435,0,0,0,0,0,0,0,425,5,5,0
MIDWEST NATURAL GAS CORP,12486,Investor Owned,IN,18030,0,0,0,1081,5432,1690,3481,3810,986,1338,212
LOUISVILLE GAS & ELECTRIC CO,11824,Investor Owned,IN,10,0,0,0,0,0,0,0,0,6,4,0
LINTON MUNICIPAL GAS,11536,Municipal Owned,IN,2520,0,0,0,0,0,0,1934,352,105,123,6
SYCAMORE GAS COMPANY,11288,Privately Owned,IN,7429,221,0,0,0,694,694,1048,2206,1414,986,166
LAPEL MUNICIPAL GAS CO,11224,Municipal Owned,IN,867,0,0,0,0,0,14,300,365,84,88,16
JASPER MUNICIPAL UTILITIES,9140,Municipal Owned,IN,4368,0,0,0,2000,1700,100,125,125,159,142,17
JASONVILLE GAS UTILITY,9120,Municipal Owned,IN,1086,0,0,0,0,0,109,237,200,250,224,66
INDIANA UTILITIES CORP,8090,Investor Owned,IN,3699,0,0,0,0,1284,114,266,971,513,487,64
INDIANA NATURAL GAS CORP,8080,Investor Owned,IN,8957,0,0,0,0,2775,653,918,2583,835,1070,123
INDIANA GAS CO INC,8070,Investor Owned,IN,619644,67618,981,1377,11878,39490,45455,95366,137028,104080,105281,11090
"HUNTINGBURG GAS SYSTEM, CITY OF",7670,Municipal Owned,IN,3840,0,0,0,789,591,287,364,670,578,510,51
GRANDVIEW MUNICIPAL GAS,6560,Municipal Owned,IN,224,0,0,0,0,128,29,12,27,18,10,0
FOUNTAINTOWN GAS CO INC,5520,Privately Owned,IN,4170,0,0,0,0,327,730,1306,1045,455,275,32
COMMUNITY NATURAL GAS INC,2676,Investor Owned,IN,8640,0,0,0,0,375,481,1062,3525,1099,1889,209
CITIZENS GAS & COKE UTILITY,2392,Municipal Owned,IN,264785,0,51,8,24,4523,10136,62656,109215,46614,28951,2607
CHRISNEY MUNICIPAL GAS CO,2360,Municipal Owned,IN,285,0,0,0,0,194,17,29,29,11,3,2
BOONVILLE NATURAL GAS CORP,1632,Privately Owned,IN,5829,0,0,0,357,1351,880,1122,1158,532,370,59
BATESVILLE GAS UTILITY,1160,Municipal Owned,IN,3106,0,0,0,117,867,49,560,757,476,241,39
BAINBRIDGE MUNICIPAL GAS,1056,Municipal Owned,IN,314,0,0,0,0,224,27,22,29,2,5,5
AURORA UTILITIES,891,Municipal Owned,IN,1205,0,0,0,0,0,0,813,182,97,103,10
