Operator Name,Operator ID,Operator Type,State,Total Main Miles,Main Mileage Average Age,Main Miles over 50 Years Old,Main Miles Built in Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
Statewide Total,,Total,VA,22142.452,27.416666666666668,3966,1543.0,102.0,130.0,1245.0,2310.0,1022.0,2579.0,5776.0,4174.0,2972.0,282.0
Statewide Total,,Cooperative,VA,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Statewide Total,,Privately Owned,VA,6647.938,36.5,1730,0.0,17.0,50.0,595.0,966.0,460.0,864.0,1672.0,1337.0,638.0,46.0
Statewide Total,,Investor Owned,VA,12877.081000000002,25.857142857142858,1905,1284.0,83.0,58.0,524.0,1196.0,462.0,1457.0,3470.0,2235.0,1891.0,211.0
Statewide Total,,Municipal Owned,VA,2617.433,25.0,331,259.0,1.0,21.0,126.0,148.0,99.0,257.0,634.0,601.0,443.0,25.0
WASHINGTON GAS LIGHT CO,22182,Privately Owned,VA,6487.26,32.0,1659,0.05,16.9,50.45,588.25,904.79,439.87,847.18,1639.98,1324.57,629.34,45.9
VIRGINIA NATURAL GAS,21349,Investor Owned,VA,1.45,16.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,1.32,0.0,0.0
VIRGINIA NATURAL GAS,21349,Investor Owned,VA,5551.5,28.0,999,4.5,21.5,40.3,298.4,590.4,203.1,829.0,1677.9,865.7,922.6,98.1
ATMOS ENERGY CORPORATION - KY/MID-STATES (MID-STATES),20211,Investor Owned,VA,716.7,35.0,222,16.0,0.8,0.0,0.7,213.8,56.3,143.3,139.7,80.9,59.2,6.0
SOUTHWESTERN VIRGINIA GAS CO,18560,Privately Owned,VA,160.678,41.0,71,0.0,0.355,0.096,6.802,61.216,20.644,17.54,32.034,12.859,8.76,0.372
ROANOKE GAS CO,17540,Investor Owned,VA,1096.949,32.0,269,0.0,0.0,0.0,79.685,174.751,102.222,169.274,206.988,180.586,164.124,18.03
"RICHMOND, CITY OF",17360,Municipal Owned,VA,1945.233,25.0,265,58.02,0.23,21.74,96.96,113.87,77.81,174.74,494.0,538.4,348.57,20.88
"DANVILLE, CITY OF",3110,Municipal Owned,VA,336.37,20.0,27,201.04,0.0,0.0,16.17,10.6,5.41,1.88,0.34,24.62,72.95,3.36
COLUMBIA GAS OF VIRGINIA INC,2604,Investor Owned,VA,6.5,28.0,0,2.7,0.0,0.0,0.0,0.0,0.0,0.9,2.9,0.0,0.0,0.0
COLUMBIA GAS OF VIRGINIA INC,2604,Investor Owned,VA,5387.9,24.0,412,1260.9,61.4,18.4,145.5,215.3,96.0,307.6,1412.8,1068.5,716.9,84.6
"CHARLOTTESVILLE, CITY OF",2268,Municipal Owned,VA,335.83,30.0,39,0.0,1.0,0.0,13.0,24.0,16.0,80.4,140.0,38.73,21.7,1.0
APPALACHIAN NATURAL GAS DISTRIBUTION COMPANY,980,Investor Owned,VA,116.082,18.0,3,0.0,0.0,0.0,0.0,2.271,4.913,7.556,29.792,38.711,28.548,4.292
