Operator Name,Operator ID,Operator Type,State,Total Services,Services from Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
Statewide Total,,Total,VA,1317631,227177,528,2058,24349,66112,55474,136596,260294,278116,245023,21904
Statewide Total,,Cooperative,VA,0,0,0,0,0,0,0,0,0,0,0,0
Statewide Total,,Privately Owned,VA,478992,704,255,175,21065,44135,37692,60172,115182,109818,83202,6592
Statewide Total,,Investor Owned,VA,700503,222084,0,0,1476,20832,11782,53743,111492,131170,134340,13584
Statewide Total,,Municipal Owned,VA,138136,4389,273,1883,1808,1145,6000,22681,33620,37128,27481,1728
WASHINGTON GAS LIGHT CO,22182,Privately Owned,VA,474225,704,255,175,21065,43931,37039,59162,113611,109080,82659,6544
VIRGINIA NATURAL GAS,21349,Investor Owned,VA,70,0,0,0,0,0,0,0,0,70,0,0
VIRGINIA NATURAL GAS,21349,Investor Owned,VA,338486,219315,0,0,0,0,0,0,0,45358,66854,6959
ATMOS ENERGY CORPORATION - KY/MID-STATES (MID-STATES),20211,Investor Owned,VA,23752,0,0,0,0,3868,900,4605,6402,3521,4120,336
SOUTHWESTERN VIRGINIA GAS CO,18560,Privately Owned,VA,4767,0,0,0,0,204,653,1010,1571,738,543,48
ROANOKE GAS CO,17540,Investor Owned,VA,63059,2754,0,0,650,4756,3876,8293,18240,11844,11607,1039
"RICHMOND, CITY OF",17360,Municipal Owned,VA,101535,4385,273,1883,1807,1117,5299,17705,21330,27428,18953,1355
"DANVILLE, CITY OF",3110,Municipal Owned,VA,16372,4,0,0,1,8,19,394,2837,7086,5907,116
COLUMBIA GAS OF VIRGINIA INC,2604,Investor Owned,VA,345,15,0,0,0,0,0,19,234,65,10,2
COLUMBIA GAS OF VIRGINIA INC,2604,Investor Owned,VA,272529,0,0,0,826,12192,6895,40588,85867,69783,51164,5214
"CHARLOTTESVILLE, CITY OF",2268,Municipal Owned,VA,20229,0,0,0,0,20,682,4582,9453,2614,2621,257
APPALACHIAN NATURAL GAS DISTRIBUTION COMPANY,980,Investor Owned,VA,2262,0,0,0,0,16,111,238,749,529,585,34
