,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
39,Units in Structure: 1 ATTACHED,GA,155284,153118,145773,145232,153526,158341,157465,169083,166456,182565
40,Units in Structure: 1 DETACHED,GA,2714962,2715056,2714634,2727053,2756266,2755112,2777765,2852811,2868497,2888722
41,Units in Structure: 10-19,GA,193874,196273,190764,196820,195473,203918,198315,190908,204436,204059
42,Units in Structure: 2,GA,94752,93994,95316,93885,92233,91345,95032,91124,98616,97166
43,Units in Structure: 20-49,GA,105924,106246,103794,94911,105004,117102,109534,114876,124738,105073
44,Units in Structure: 3-4,GA,124816,127550,123102,123713,127098,128791,128347,127997,121415,118958
45,Units in Structure: 5-9,GA,202937,209015,214708,224620,207869,204329,212165,198552,189360,202566
46,Units in Structure: 50+,GA,116620,114618,119285,128322,130593,138524,143642,157422,171384,182570
47,"Units in Structure: Boat,RV,Van,Etc.",GA,2424,2627,2357,2329,2720,3220,3381,2845,3901,4721
48,Units in Structure: Mobile Home,GA,379889,384621,397821,373277,380605,381546,393457,376636,377463,391950
