,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
7,"Household Income: $10,000 to $14,999",SD,19928,20594,17490,18765,19353,18765,15340,15472,15170,15252
8,"Household Income: $100,000 to $124,999",SD,21997,22529,21796,22482,26262,27406,26814,31112,32766,33240
9,"Household Income: $125,000 to $149,999",SD,9118,9395,11680,10793,12916,13187,14116,18094,14480,20941
10,"Household Income: $15,000 to $19,999",SD,17607,17932,17114,16985,16564,15687,15469,17132,13864,12750
11,"Household Income: $150,000 to $199,999",SD,6587,8753,9223,8393,9534,11434,12875,14826,14742,18784
12,"Household Income: $20,000 to $24,999",SD,19362,22265,19998,17607,17984,18787,15887,18003,15293,19576
13,"Household Income: $200,000 or more",SD,7197,7811,8207,12159,10392,12216,12363,13148,12969,15822
14,"Household Income: $25,000 to $29,999",SD,18981,16322,18474,20568,19106,17616,15941,17173,17024,15418
15,"Household Income: $30,000 to $34,999",SD,22667,20947,18709,18219,19269,18290,19304,20122,20878,19322
16,"Household Income: $35,000 to $39,999",SD,17095,16877,19654,19270,17588,16851,15835,15462,16522,15115
17,"Household Income: $40,000 to $44,999",SD,15869,15010,16770,20865,16188,16713,17382,16372,17793,16023
18,"Household Income: $45,000 to $49,999",SD,14807,14186,18337,15657,15637,16872,15574,13270,17637,14601
19,"Household Income: $50,000 to $59,999",SD,28067,28310,28072,30238,28578,28317,29500,27534,27562,33085
20,"Household Income: $60,000 to $74,999",SD,35285,38534,35529,36296,37719,38576,37475,38738,37876,39039
21,"Household Income: $75,000 to $99,999",SD,39233,42333,41974,42096,45427,48145,48097,47574,51063,48104
22,"Household Income: Less than $10,000",SD,25155,21417,20738,21013,21958,20575,22031,20228,19810,16727
23,Household Income: Total:,SD,318955,323215,323765,331406,334475,339437,334003,344260,345449,353799
24,Median Household Income,SD,45904.0,48321.0,48362.0,48947.0,50979.0,53017.0,54467.0,56521.0,56274.0,59533.0
