,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
7,"Household Income: $10,000 to $14,999",AL,135182,138695,142540,124246,127681,127716,120590,7426,110519,103653
8,"Household Income: $100,000 to $124,999",AL,108049,117395,117371,121370,120653,125913,131506,141606,142340,161984
9,"Household Income: $125,000 to $149,999",AL,55859,56992,61044,61634,68423,67847,72234,83325,82380,92752
10,"Household Income: $15,000 to $19,999",AL,124664,126092,121204,116335,121872,118330,117332,7176,110325,108500
11,"Household Income: $150,000 to $199,999",AL,54325,50765,55020,57086,62161,67117,73159,71675,82375,95243
12,"Household Income: $20,000 to $24,999",AL,123515,128817,119583,118343,121243,115843,108912,9512,109568,98706
13,"Household Income: $200,000 or more",AL,38814,43459,42277,46900,47203,58060,61636,66575,74272,81895
14,"Household Income: $25,000 to $29,999",AL,107464,113174,106493,105512,111631,105015,102080,10415,91725,90916
15,"Household Income: $30,000 to $34,999",AL,108534,102532,105874,103982,102489,103419,103366,9318,96535,105146
16,"Household Income: $35,000 to $39,999",AL,100549,92020,100780,94519,91539,92640,91011,8583,87783,85014
17,"Household Income: $40,000 to $44,999",AL,95455,93174,87190,93512,90213,88450,86996,9266,82019,87118
18,"Household Income: $45,000 to $49,999",AL,80804,81617,76605,79699,83657,73254,74864,73345,71749,82323
19,"Household Income: $50,000 to $59,999",AL,141837,143016,142632,145128,141837,150846,149568,145832,143962,148795
20,"Household Income: $60,000 to $74,999",AL,166139,172984,174751,175266,170344,178506,172123,179351,178002,188341
21,"Household Income: $75,000 to $99,999",AL,177709,193457,198192,190585,193562,198404,210500,207158,222472,212632
22,"Household Income: Less than $10,000",AL,196253,190357,193613,188322,186709,175030,176641,11015,169158,154558
23,Household Income: Total:,AL,1815152,1844546,1845169,1822439,1841217,1846390,1852518,250741,1855184,1897576
24,Median Household Income,AL,40474.0,41415.0,41574.0,42849.0,42830.0,44765.0,46257.0,48123.0,49861.0,51734.0
