,State,Metric Type,Metric Name,Units,Household Income,Electricity Payments ($),Gas Payments ($),Fuel Oil Payments ($),Energy Burden (% Income)
1,DC,Tenure,OWNER,117571.0,177582.82,1339.79,804.65,59.34,1.24
2,DC,Tenure,RENTER,163751.0,78575.28,962.8,310.21,8.69,1.63
3,DC,Year Built,1940-59,69237.943,87571.82,1122.92,626.25,22.85,2.02
4,DC,Year Built,1960-79,53415.652,80310.88,1041.15,301.74,7.61,1.68
5,DC,Year Built,1980-99,20756.848,106426.89,1125.73,302.51,10.19,1.35
6,DC,Year Built,2000-09,23363.251,143945.96,1063.82,286.38,0.18,0.9400000000000001
7,DC,Year Built,2010+,15125.425,119503.66,901.09,153.77,0.47,0.88
8,DC,Year Built,BEFORE 1940,99422.881,161054.91,1206.63,710.37,62.25,1.23
9,DC,Building Type,1 ATTACHED,71620.074,147450.22,1454.16,861.98,59.95,1.6099999999999999
10,DC,Building Type,1 DETACHED,34913.347,202602.43,1671.77,1300.46,98.07,1.52
11,DC,Building Type,MOBILE_TRAILER,145.829,0.0,0.0,0.0,0.0,
12,DC,Building Type,10-19 UNIT,28337.414,59620.46,1032.46,297.05,1.04,2.23
13,DC,Building Type,2 UNIT,8179.913,126260.2,1046.21,528.0,21.06,1.26
14,DC,Building Type,3-4 UNIT,18010.201,73963.38,1142.11,533.8,5.54,2.27
15,DC,Building Type,5-9 UNIT,19312.769,67906.95,1021.63,258.12,13.07,1.9
16,DC,Building Type,BOAT_RV_VAN,71.515,0.0,0.0,0.0,0.0,
17,DC,Building Type,50+ UNIT,78551.802,106560.84,744.95,105.02,1.37,0.8
18,DC,Building Type,20-49 UNIT,22179.137,107084.69,722.93,120.69,0.92,0.79
19,DC,Heating Fuel,BOTTLED GAS,2948.0,110254.18,602.56,407.38,25.84,0.9400000000000001
20,DC,Heating Fuel,ELECTRICITY,118948.0,104987.21,1123.39,136.56,6.3,1.21
21,DC,Heating Fuel,OTHER,1600.0,89670.26,381.71,118.17,74.35,0.64
22,DC,Heating Fuel,SOLAR,219.0,101244.91,759.57,156.54,4.74,0.91
23,DC,Heating Fuel,UTILITY GAS,149614.0,134171.4,1164.11,845.74,21.37,1.51
24,DC,Heating Fuel,WOOD,21.0,34365.56,531.97,109.53,0.0,1.87
25,DC,Heating Fuel,COAL,15.0,17438.67,587.95,0.0,0.0,3.37
26,DC,Heating Fuel,NONE,3770.0,60947.7,428.11,138.64,1.08,0.9299999999999999
27,DC,Heating Fuel,FUEL OIL,4187.0,110341.93,764.27,160.64,1015.81,1.76
28,DC,Percent of FPL,0-100%,37879.78,7121.41,1140.73,431.22,15.86,22.3
29,DC,Percent of FPL,100-150%,16383.353,19259.2,997.71,458.47,19.6,7.66
30,DC,Percent of FPL,150-200%,13590.27,28276.43,1054.23,501.47,30.89,5.609999999999999
31,DC,Percent of FPL,200-400%,45653.97,48623.21,1106.89,535.21,29.45,3.44
32,DC,Percent of FPL,400%+,167814.627,182081.6,1136.75,538.12,34.05,0.9400000000000001
