,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
7,"Household Income: $10,000 to $14,999",MD,74081,79779,80546,71689,71318,68224,63035,63271,65054,58002
8,"Household Income: $100,000 to $124,999",MD,224776,221621,229894,228555,230902,229480,237121,248420,243745,250738
9,"Household Income: $125,000 to $149,999",MD,146905,154135,155529,158176,158172,163247,171453,166866,173348,179658
10,"Household Income: $15,000 to $19,999",MD,70525,78803,75553,70517,68787,69310,69100,66598,63403,57579
11,"Household Income: $150,000 to $199,999",MD,167050,170100,183005,179258,196925,207315,208856,222192,226406,230504
12,"Household Income: $20,000 to $24,999",MD,83744,82538,83229,81289,76380,73312,73594,68617,66516,66120
13,"Household Income: $200,000 or more",MD,156390,167525,175536,191812,195680,208903,231406,249126,277925,303505
14,"Household Income: $25,000 to $29,999",MD,82992,73859,77235,73393,75003,75027,72097,73095,62510,68305
15,"Household Income: $30,000 to $34,999",MD,84915,89582,79016,84503,82465,82307,74650,76966,70470,72323
16,"Household Income: $35,000 to $39,999",MD,80659,76180,80018,72161,78438,73691,73947,73702,74763,64806
17,"Household Income: $40,000 to $44,999",MD,83648,83309,84412,81222,81351,82450,77376,81827,77450,70000
18,"Household Income: $45,000 to $49,999",MD,79878,74044,80014,77637,78953,72303,71426,70999,67634,65778
19,"Household Income: $50,000 to $59,999",MD,163894,168596,158948,158704,151333,156852,152637,144383,148530,138120
20,"Household Income: $60,000 to $74,999",MD,223674,212230,217932,218084,219157,215490,207214,209053,198444,201418
21,"Household Income: $75,000 to $99,999",MD,286645,284564,282346,293822,288306,292435,296394,286855,292683,292625
22,"Household Income: Less than $10,000",MD,117663,117652,114504,120858,112268,107588,114351,105373,107054,107286
23,Household Income: Total:,MD,2127439,2134517,2157717,2161680,2165438,2177934,2194657,2207343,2215935,2226767
24,Median Household Income,MD,68854.0,70004.0,71122.0,72483.0,73971.0,75847.0,78945.0,80776.0,83242.0,86738.0
