,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
39,Units in Structure: 1 ATTACHED,ND,18561,17785,16980,19484,17946,18226,21915,21063,21046,20466
40,Units in Structure: 1 DETACHED,ND,193073,198041,202065,204110,207794,209685,214653,212556,216035,213007
41,Units in Structure: 10-19,ND,17200,17290,16608,18135,20955,18422,21897,22447,18763,20890
42,Units in Structure: 2,ND,7369,7264,6664,7864,6255,9390,6063,8479,7547,8409
43,Units in Structure: 20-49,ND,22115,24225,25278,24444,30562,37010,35310,37264,40477,37342
44,Units in Structure: 3-4,ND,11394,10739,13270,14439,14378,14214,13362,14168,13569,13830
45,Units in Structure: 5-9,ND,14082,11493,12943,11983,13469,14157,16385,12934,14313,15456
46,Units in Structure: 50+,ND,9223,8611,10113,11820,10740,14184,14081,18300,20281,23091
47,"Units in Structure: Boat,RV,Van,Etc.",ND,0,193,241,110,102,140,70,146,58,447
48,Units in Structure: Mobile Home,ND,25082,25247,25087,26904,28333,27461,24809,27234,25572,27036
