,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
39,Units in Structure: 1 ATTACHED,MI,205446,203734,218303,218340,207520,205695,225030,204451,207484,214550
40,Units in Structure: 1 DETACHED,MI,3244036,3249245,3245548,3254100,3270743,3289353,3278986,3331905,3312713,3322812
41,Units in Structure: 10-19,MI,169748,154922,163386,166915,165208,167103,160701,159995,166822,162923
42,Units in Structure: 2,MI,128863,118013,114813,111734,115604,109983,104381,107770,106495,111862
43,Units in Structure: 20-49,MI,91274,99862,100597,90774,91230,91882,98157,95644,100223,100243
44,Units in Structure: 3-4,MI,117919,117982,116450,112561,121538,120479,118783,118485,121591,122591
45,Units in Structure: 5-9,MI,189818,190285,195516,189561,194644,192459,187942,196420,198181,199926
46,Units in Structure: 50+,MI,134775,137620,122968,134127,130584,140189,144926,140570,148573,146026
47,"Units in Structure: Boat,RV,Van,Etc.",MI,737,743,819,1416,1243,957,798,1245,969,1405
48,Units in Structure: Mobile Home,MI,248615,253248,246681,245738,241774,232224,240460,238789,251501,247267
