,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
39,Units in Structure: 1 ATTACHED,IN,91285,98307,110646,109392,104365,101177,110402,110107,108916,111048
40,Units in Structure: 1 DETACHED,IN,2039207,2035677,2038045,2032883,2051614,2054629,2076116,2105224,2101210,2136742
41,Units in Structure: 10-19,IN,106158,107913,107502,111522,106628,105340,96654,104851,104550,103823
42,Units in Structure: 2,IN,73756,79539,73444,70783,72178,75026,69059,73367,71369,69639
43,Units in Structure: 20-49,IN,62445,59231,52355,57895,62777,62792,61779,64260,60936,55846
44,Units in Structure: 3-4,IN,96974,102992,104636,100046,98581,104369,102898,99374,102756,97942
45,Units in Structure: 5-9,IN,129829,122141,124606,129160,135416,133983,138834,128198,142058,148108
46,Units in Structure: 50+,IN,51910,51367,52244,54017,56946,62730,63021,62492,67916,65640
47,"Units in Structure: Boat,RV,Van,Etc.",IN,324,550,658,713,951,745,595,713,992,792
48,Units in Structure: Mobile Home,IN,145284,143082,144294,143229,140174,140659,135237,136756,142873,131535
