,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
39,Units in Structure: 1 ATTACHED,TX,264515,266999,287092,279217,264334,274619,284598,288964,281543,286125
40,Units in Structure: 1 DETACHED,TX,6511316,6573800,6627086,6664460,6773818,6884564,6983186,7105341,7203628,7286943
41,Units in Structure: 10-19,TX,650180,628841,626790,657191,681302,700745,674135,689692,694291,729511
42,Units in Structure: 2,TX,209593,197172,190069,201670,201970,210858,197853,206625,208548,210376
43,Units in Structure: 20-49,TX,351636,371299,368960,363798,370508,368834,401598,407339,412416,417984
44,Units in Structure: 3-4,TX,308313,328347,320040,337956,345636,349463,351466,348816,346725,364366
45,Units in Structure: 5-9,TX,487596,493429,488788,510291,517265,514777,507305,519410,550430,529523
46,Units in Structure: 50+,TX,437362,449747,458313,474932,482725,505025,553718,551962,607593,665867
47,"Units in Structure: Boat,RV,Van,Etc.",TX,16738,18334,14141,17740,17470,15923,14825,20151,19026,22294
48,Units in Structure: Mobile Home,TX,758960,771274,773556,748948,771732,763428,785584,795075,777298,770903
