Operator Name,Operator ID,Operator Type,State,Total Services,Services from Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
Statewide Total,,Total,GA,2144533,116487,0,1,87404,273321,195717,378900,430519,402242,236948,22994
Statewide Total,,Cooperative,GA,0,0,0,0,0,0,0,0,0,0,0,0
Statewide Total,,Privately Owned,GA,0,0,0,0,0,0,0,0,0,0,0,0
Statewide Total,,Investor Owned,GA,1775702,39154,0,0,59819,247802,176231,343661,370137,324160,196838,17900
Statewide Total,,Municipal Owned,GA,368831,77333,0,1,27585,25519,19486,35239,60382,78082,40110,5094
LIBERTY ENERGY (GEORGIA) CORP D/B/A LIBERTY UTILITIES GEORGIA,38967,Investor Owned,GA,69840,1050,0,0,2876,11206,14019,14538,11655,11357,2860,279
"WRENS NATURAL GAS SYSTEM, CITY OF",22903,Municipal Owned,GA,1064,844,0,0,0,0,0,0,0,121,99,0
"WINDER NATURAL GAS SYSTEM, CITY OF",22707,Municipal Owned,GA,7545,2448,0,0,0,0,0,0,1338,1934,1598,227
WEST POINT GAS SYSTEM,22427,Municipal Owned,GA,1097,0,0,0,0,0,0,0,0,1031,63,3
"WAYNESBORO NATURAL GAS SYSTEM, CITY OF",22308,Municipal Owned,GA,1634,1423,0,0,0,0,0,0,0,148,57,6
MONROE WATER LIGHT & GAS COMMISSION,22229,Municipal Owned,GA,4449,3632,0,0,0,0,0,0,0,353,340,124
WARNER ROBINS GAS SYSTEM,22154,Municipal Owned,GA,13010,0,0,0,3927,3000,1955,770,1270,624,1392,72
"VIENNA NATURAL GAS SYSTEM, CITY OF",21250,Municipal Owned,GA,877,0,0,0,0,196,328,301,32,10,10,0
"UNION POINT MUNICIPAL GAS SYSTEM, CITY OF",20140,Municipal Owned,GA,786,0,0,0,0,404,200,0,89,92,1,0
"UNADILLA GAS SYSTEM, CITY OF",20020,Municipal Owned,GA,501,0,0,0,0,163,0,160,118,18,42,0
"TRION, CITY OF",19690,Municipal Owned,GA,1946,0,0,0,39,224,83,189,359,391,648,13
TRI - COUNTY NATURAL GAS,19641,Municipal Owned,GA,1603,0,0,0,0,652,10,150,310,409,72,0
"TOCCOA NATURAL GAS SYSTEM, CITY OF",19490,Municipal Owned,GA,8736,5252,0,0,0,0,0,0,554,1988,901,41
"TIFTON, CITY OF",19450,Municipal Owned,GA,3827,3273,0,0,0,0,0,0,0,275,263,16
"THOMSON GAS SYSTEM, CITY OF",19390,Municipal Owned,GA,3431,0,0,0,973,402,390,655,300,432,254,25
"THOMASVILLE WATER & LIGHT DEPT, CITY OF",19380,Municipal Owned,GA,4400,0,0,0,3460,0,0,185,103,215,376,61
"TALLAPOOSA GAS DEPT, CITY OF",19040,Municipal Owned,GA,1156,624,0,0,0,0,0,311,8,209,3,1
CITY OF SYLVESTER,18796,Municipal Owned,GA,888,869,0,0,0,0,0,0,0,0,15,4
"SYLVANIA GAS SYSTEMS, CITY OF",18792,Municipal Owned,GA,1180,889,0,0,0,0,68,84,103,32,4,0
"SUMMERVILLE GAS SYSTEM, CITY OF",18712,Municipal Owned,GA,6341,4174,0,0,1511,0,0,0,0,401,229,26
"SUGAR HILL NATURAL GAS SYSTEM, CITY OF",18696,Municipal Owned,GA,11868,0,0,0,0,0,0,0,5394,4397,1907,170
"STATESBORO GAS DEPT, CITY OF",18628,Municipal Owned,GA,3131,0,0,0,990,1036,135,250,95,294,302,29
"SPARTA NATURAL GAS SYSTEM, CITY OF",18564,Municipal Owned,GA,557,556,0,0,0,0,0,0,0,0,1,0
"SOCIAL CIRCLE GAS DEPT, CITY OF",18376,Municipal Owned,GA,1390,1085,0,0,0,0,0,0,0,143,112,50
"SHELLMAN GAS DEPT, TOWN OF",18288,Municipal Owned,GA,213,0,0,0,0,165,8,13,11,13,3,0
"ROYSTON GAS DEPT, CITY OF",17720,Municipal Owned,GA,2171,438,0,0,0,964,137,117,82,190,234,9
"RICHLAND GAS DEPT, CITY OF",17350,Municipal Owned,GA,229,0,0,0,19,0,10,42,121,22,15,0
"QUITMAN GAS DEPT, CITY OF",16020,Municipal Owned,GA,1007,952,0,0,0,0,0,0,29,12,11,3
"PERRY GAS SYSTEM, CITY OF",15398,Municipal Owned,GA,2862,0,0,0,787,898,330,207,185,347,99,9
"PELHAM NATURAL GAS SYSTEM, CITY OF",15203,Municipal Owned,GA,534,0,0,0,166,14,36,105,158,2,53,0
"OCILLA GAS DEPT, CITY OF",14070,Municipal Owned,GA,518,0,0,0,415,0,12,34,19,17,19,2
"NASHVILLE, CITY OF",13050,Municipal Owned,GA,709,667,0,0,0,0,0,0,0,0,42,0
"MOULTRIE GAS DEPT, CITY OF",12828,Municipal Owned,GA,2719,2151,0,0,0,0,0,0,0,0,500,68
MONTICELLO GAS SYSTEM,12756,Municipal Owned,GA,1418,0,0,0,0,459,24,180,351,285,114,5
"MILLEN NATURAL GAS SYSTEM, CITY OF",12522,Municipal Owned,GA,1161,0,0,0,28,219,250,339,224,86,15,0
"MADISON GAS SYSTEM, CITY OF",12024,Municipal Owned,GA,2167,0,0,0,0,576,267,213,341,418,248,104
"LUMPKIN GAS DEPT, CITY OF",11896,Municipal Owned,GA,310,0,0,0,0,192,4,11,26,12,58,7
"LOUISVILLE GAS & WATER, CITY OF",11832,Municipal Owned,GA,1301,0,0,0,611,411,12,79,138,29,19,2
"LAWRENCEVILLE, CITY OF",11320,Municipal Owned,GA,50675,0,0,0,102,135,3043,6261,13619,19953,6809,753
"LAGRANGE GAS DEPT, CITY OF",11080,Municipal Owned,GA,9663,0,0,0,0,0,21,4058,2925,1752,830,77
"LAFAYETTE UTILITY APT, CITY OF",11056,Municipal Owned,GA,2641,0,0,0,6,688,506,46,221,102,1062,10
JOINTLY OWNED NATURAL GAS,9276,Municipal Owned,GA,6328,2278,0,0,0,170,145,153,896,1756,883,47
"HOGANSVILLE GAS SYSTEM, CITY OF",7300,Municipal Owned,GA,1037,0,0,0,0,0,0,0,0,986,50,1
"HAWKINSVILLE, CITY OF",7175,Municipal Owned,GA,1129,0,0,0,0,0,0,73,919,68,69,0
HARTWELL GAS DEPT,7120,Municipal Owned,GA,2891,1694,0,0,0,0,0,0,0,415,745,37
"GREENSBORO MUNICIPAL GAS SYSTEM, CITY OF",6760,Municipal Owned,GA,1079,0,0,0,0,148,326,334,216,22,33,0
"GRANTVILLE GAS SYSTEM, CITY OF",6600,Municipal Owned,GA,762,0,0,0,0,0,2,0,0,759,0,1
"FORT VALLEY GAS DEPARTMENT, CITY OF",5490,Municipal Owned,GA,3774,0,0,0,0,0,0,0,3571,69,101,33
"FORT GAINES GAS SYSTEM, CITY OF",5400,Municipal Owned,GA,262,0,0,0,0,245,4,3,4,5,1,0
