,Operator Name,Operator ID,Operator Type,State,Total Main Miles,Main Mileage Average Age,Main Miles over 50 Years Old,Main Miles Built in Unknown Decade,Main Miles Built Pre-1940,Main Miles Built 1940-49,Main Miles Built 1950-59,Main Miles Built 1960-69,Main Miles Built 1970-79,Main Miles Built 1980-89,Main Miles Built 1990-99,Main Miles Built 2000-09,Main Miles Built 2010-19,Main Miles Built 2020-29
0,Statewide Total,,Total,GA,46099.468000000015,31.695121951219512,8932,2927.0,18.0,20.0,2506.0,5803.0,4041.0,7215.0,9107.0,9080.0,4945.0,434.0
1,Statewide Total,,Cooperative,GA,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Statewide Total,,Privately Owned,GA,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Statewide Total,,Investor Owned,GA,34252.61,33.0,6312,723.0,18.0,0.0,1056.0,4727.0,3520.0,6478.0,7130.0,6688.0,3640.0,267.0
4,Statewide Total,,Municipal Owned,GA,11846.857999999998,31.6625,2620,2203.0,0.0,19.0,1449.0,1076.0,520.0,736.0,1976.0,2392.0,1304.0,167.0
5,LIBERTY ENERGY (GEORGIA) CORP D/B/A LIBERTY UTILITIES GEORGIA,38967,Investor Owned,GA,1270.01,36.0,352,14.67,18.62,0.0,102.43,223.59,174.85,197.72,178.92,256.81,94.0,8.41
6,"WRENS NATURAL GAS SYSTEM, CITY OF",22903,Municipal Owned,GA,54.3,9.0,0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,13.4,0.0
7,"WINDER NATURAL GAS SYSTEM, CITY OF",22707,Municipal Owned,GA,251.89,14.0,0,98.46,0.0,0.0,0.0,0.0,0.0,0.0,36.0,65.9,40.46,11.07
8,WEST POINT GAS SYSTEM,22427,Municipal Owned,GA,39.02,12.0,0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.51,12.71,0.0
9,"WAYNESBORO NATURAL GAS SYSTEM, CITY OF",22308,Municipal Owned,GA,43.5,13.0,0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.25,0.25
10,MONROE WATER LIGHT & GAS COMMISSION,22229,Municipal Owned,GA,180.83,6.0,0,136.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,22.75,13.55
11,WARNER ROBINS GAS SYSTEM,22154,Municipal Owned,GA,337.316,41.0,138,0.0,0.0,0.0,62.461,67.0,57.0,22.39,87.0,27.0,12.481,1.984
12,"VIENNA NATURAL GAS SYSTEM, CITY OF",21250,Municipal Owned,GA,27.3,48.0,19,0.0,0.0,0.0,0.0,19.3,3.0,0.0,3.0,1.0,1.0,0.0
13,"UNION POINT MUNICIPAL GAS SYSTEM, CITY OF",20140,Municipal Owned,GA,25.8,34.0,9,0.0,0.0,0.0,0.0,9.5,0.0,0.0,11.0,5.3,0.0,0.0
14,"UNADILLA GAS SYSTEM, CITY OF",20020,Municipal Owned,GA,23.0,44.0,14,0.0,0.0,0.0,0.0,14.0,0.0,2.0,6.0,0.0,1.0,0.0
15,"TRION, CITY OF",19690,Municipal Owned,GA,110.32,40.0,41,0.0,0.0,0.0,29.41,12.0,1.0,18.0,35.0,14.0,0.91,0.0
16,TRI - COUNTY NATURAL GAS,19641,Municipal Owned,GA,107.1,38.0,67,0.0,0.0,0.0,0.0,67.0,0.0,0.0,9.0,6.3,9.8,15.0
17,"TOCCOA NATURAL GAS SYSTEM, CITY OF",19490,Municipal Owned,GA,379.26,16.0,0,123.27,0.0,0.0,0.0,0.0,0.0,0.0,78.0,124.5,52.77,0.72
18,"TIFTON, CITY OF",19450,Municipal Owned,GA,146.84,9.0,0,104.448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.66,28.732,0.0
19,"THOMSON GAS SYSTEM, CITY OF",19390,Municipal Owned,GA,105.85,47.0,61,0.0,0.0,0.0,54.3,6.24,5.82,9.0,9.0,11.23,10.26,0.0
20,"THOMASVILLE WATER & LIGHT DEPT, CITY OF",19380,Municipal Owned,GA,164.864,56.0,127,0.0,0.0,0.0,127.983,0.0,0.0,10.466,9.879,7.0,8.437,1.099
21,"TALLAPOOSA GAS DEPT, CITY OF",19040,Municipal Owned,GA,39.99,38.0,20,9.3,0.0,5.0,4.0,6.0,0.0,0.0,0.0,10.0,4.65,1.04
22,CITY OF SYLVESTER,18796,Municipal Owned,GA,39.239,57.0,30,0.0,0.0,0.0,30.758,0.0,0.0,0.0,7.804,0.542,0.0,0.028
23,"SYLVANIA GAS SYSTEMS, CITY OF",18792,Municipal Owned,GA,52.0,61.0,48,0.0,0.0,0.0,33.0,15.0,3.0,0.0,1.0,0.0,0.0,0.0
24,"SUMMERVILLE GAS SYSTEM, CITY OF",18712,Municipal Owned,GA,257.22,11.0,0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,18.22,0.0
25,"SUGAR HILL NATURAL GAS SYSTEM, CITY OF",18696,Municipal Owned,GA,193.29,16.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.67,121.0,29.2,1.42
26,"STATESBORO GAS DEPT, CITY OF",18628,Municipal Owned,GA,151.73,37.0,67,0.0,0.0,0.0,45.23,22.0,3.0,1.9,18.9,47.88,12.11,0.71
27,"SPARTA NATURAL GAS SYSTEM, CITY OF",18564,Municipal Owned,GA,41.9,-6.0,0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0
28,"SOCIAL CIRCLE GAS DEPT, CITY OF",18376,Municipal Owned,GA,63.82,4.0,0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,7.82,5.3
29,"SHELLMAN GAS DEPT, TOWN OF",18288,Municipal Owned,GA,11.0,56.0,11,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
30,"ROYSTON GAS DEPT, CITY OF",17720,Municipal Owned,GA,154.13,36.0,61,21.9,0.0,0.0,0.0,59.99,10.0,9.62,9.97,16.0,26.46,0.19
31,"RICHLAND GAS DEPT, CITY OF",17350,Municipal Owned,GA,10.724,64.0,10,0.0,0.0,0.0,10.494,0.0,0.0,0.0,0.0,0.028,0.19,0.0
32,"QUITMAN GAS DEPT, CITY OF",16020,Municipal Owned,GA,41.5,44.0,31,0.0,0.0,0.0,0.0,31.0,0.0,0.0,2.0,0.0,8.0,0.5
33,"PERRY GAS SYSTEM, CITY OF",15398,Municipal Owned,GA,70.41,42.0,29,0.0,0.0,0.0,21.16,7.0,9.0,10.0,9.22,9.94,1.2,2.89
34,"PELHAM NATURAL GAS SYSTEM, CITY OF",15203,Municipal Owned,GA,27.7,55.0,20,0.0,0.0,0.0,20.7,0.0,0.0,3.0,2.0,0.0,2.0,0.0
35,"OCILLA GAS DEPT, CITY OF",14070,Municipal Owned,GA,30.769,47.0,24,0.0,0.0,0.0,0.0,23.972,1.0,0.0,2.0,0.142,3.655,0.0
36,"NASHVILLE, CITY OF",13050,Municipal Owned,GA,56.57,26.0,11,0.0,0.0,0.0,0.0,10.0,10.0,6.0,1.0,4.178,25.392,0.0
37,"MOULTRIE GAS DEPT, CITY OF",12828,Municipal Owned,GA,117.062,6.0,0,115.852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21,0.0
