,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
39,Units in Structure: 1 ATTACHED,NH,31087,31500,33201,31365,31611,34560,34548,35476,33543,31288
40,Units in Structure: 1 DETACHED,NH,389597,394279,390280,387464,388574,393169,399831,407329,403645,400650
41,Units in Structure: 10-19,NH,17650,18768,17998,17951,21704,19681,19012,17695,18634,22681
42,Units in Structure: 2,NH,37710,36596,36797,36766,36866,35601,33346,33034,34508,34554
43,Units in Structure: 20-49,NH,25449,26009,27052,27734,25718,26712,26809,32410,27938,33253
44,Units in Structure: 3-4,NH,35873,36253,35646,36298,36903,34727,34866,36650,35243,34732
45,Units in Structure: 5-9,NH,30252,27349,28773,29602,28855,31809,29595,28110,29293,34088
46,Units in Structure: 50+,NH,10281,11479,11262,12069,12399,11416,12039,12443,16081,14628
47,"Units in Structure: Boat,RV,Van,Etc.",NH,126,158,22,37,119,259,394,419,174,155
48,Units in Structure: Mobile Home,NH,36971,35311,35974,37210,37116,34670,34897,31123,39053,36269
