Operator Name,Operator ID,Operator Type,State,Total Services,Services from Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
Statewide Total,,Total,NE,609958,92890,8018,13708,31780,45746,71055,71889,79721,88611,95158,11382
Statewide Total,,Cooperative,NE,1,0,0,0,0,0,0,0,0,1,0,0
Statewide Total,,Privately Owned,NE,15,0,0,0,0,0,15,0,0,0,0,0
Statewide Total,,Investor Owned,NE,364752,87734,4509,12126,18908,24493,40823,45152,44930,44965,36080,5032
Statewide Total,,Municipal Owned,NE,245190,5156,3509,1582,12872,21253,30217,26737,34791,43645,59078,6350
ADM FREMONT,39393,Cooperative,NE,1,0,0,0,0,0,0,0,0,1,0,0
NORTHWESTERN CORPORATION,31632,Investor Owned,NE,40942,0,0,0,4619,4879,10998,6016,8130,2549,3160,591
CITY OF SCRIBNER UTILITIES,31483,Municipal Owned,NE,409,356,0,0,0,0,0,4,1,16,31,1
CITY OF WAHOO,31363,Municipal Owned,NE,1762,0,106,43,114,148,201,280,238,375,231,26
E&S GASLINE,30927,Privately Owned,NE,15,0,0,0,0,0,15,0,0,0,0,0
MIDAMERICAN ENERGY COMPANY,30750,Investor Owned,NE,4524,210,73,19,141,271,128,661,1651,741,597,32
"WISNER, CITY OF",22769,Municipal Owned,NE,532,0,0,0,250,94,49,21,59,20,32,7
"SUPERIOR UTILITIES, CITY OF",18799,Municipal Owned,NE,1161,224,3,4,12,6,37,47,224,319,277,8
STROMSBURG GAS DEPARTMENT,18664,Municipal Owned,NE,520,0,0,0,1,0,330,27,57,45,57,3
PONCA GAS DEPT,15742,Municipal Owned,NE,340,0,0,0,0,0,0,0,335,0,5,0
BLACK HILLS ENERGY,15359,Investor Owned,NE,319286,87524,4436,12107,14148,19343,29697,38475,35149,41675,32323,4409
"PENDER MUNICIPAL GAS DEPT, VILLAGE OF",15217,Municipal Owned,NE,432,0,0,0,0,129,137,76,32,36,22,0
NEBRASKA CITY UTILITIES,13180,Municipal Owned,NE,4569,0,0,0,30,661,1494,1239,510,412,192,31
METROPOLITAN UTILITIES DISTRICT,12390,Municipal Owned,NE,210886,3997,3314,1084,10854,18439,22466,19250,29147,39942,56331,6062
"LYONS GAS SYSTEM, CITY OF",11952,Municipal Owned,NE,491,0,0,0,0,0,0,0,448,21,22,0
HASTINGS UTILITIES,7135,Municipal Owned,NE,9545,0,0,0,1480,1051,1359,1864,1409,1341,955,86
FREMONT DEPT OF UTIL - GAS DIV,5613,Municipal Owned,NE,10084,0,0,0,0,206,3621,3660,1591,579,359,68
FALLS CITY UTILITIES,5057,Municipal Owned,NE,2224,0,86,90,97,150,415,183,461,358,337,47
CENTRAL CITY GAS SYSTEM DEPT,2180,Municipal Owned,NE,1279,579,0,2,15,113,69,42,208,149,98,4
STUART GAS CO,893,Municipal Owned,NE,374,0,0,0,0,241,2,6,24,0,99,2
"ALMA NATURAL  GAS SYSTEMS, CITY OF",342,Municipal Owned,NE,582,0,0,359,19,15,37,38,47,32,30,5
