Operator Name,Operator ID,Operator Type,State,Total Main Miles,Main Mileage Average Age,Main Miles over 50 Years Old,Main Miles Built in Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
Statewide Total,,Total,NE,13088.070000000003,33.142857142857146,3698,26.0,229.0,86.0,1255.0,2005.0,1808.0,2823.0,1625.0,1423.0,1631.0,173.0
Statewide Total,,Cooperative,NE,0.151,16.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Statewide Total,,Privately Owned,NE,4.5,46.0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
Statewide Total,,Investor Owned,NE,9346.501,35.666666666666664,2733,0.0,74.0,34.0,908.0,1545.0,1412.0,2441.0,1052.0,758.0,1020.0,99.0
Statewide Total,,Municipal Owned,NE,3736.9179999999997,32.9375,965,25.0,155.0,52.0,347.0,459.0,391.0,381.0,572.0,665.0,611.0,73.0
ADM FREMONT,39393,Cooperative,NE,0.151,16.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.151,0.0,0.0
NORTHWESTERN CORPORATION,31632,Investor Owned,NE,810.064,39.0,222,0.0,0.0,0.0,92.589,95.346,227.573,137.825,147.347,41.281,54.338,13.765
CITY OF SCRIBNER UTILITIES,31483,Municipal Owned,NE,7.84,11.0,0,7.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.25,0.0
CITY OF WAHOO,31363,Municipal Owned,NE,34.441,33.0,9,0.0,1.262,0.568,4.629,2.6,5.14,2.6,1.6,8.77,7.06,0.213
E&S GASLINE,30927,Privately Owned,NE,4.5,46.0,0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0
MIDAMERICAN ENERGY COMPANY,30750,Investor Owned,NE,92.977,31.0,20,0.517,3.126,0.394,6.977,12.172,1.929,9.74,26.466,14.285,17.358,0.013
"WISNER, CITY OF",22769,Municipal Owned,NE,12.869,46.0,8,0.0,0.0,0.0,6.531,1.386,0.789,0.373,0.777,0.527,2.486,0.0
"SUPERIOR UTILITIES, CITY OF",18799,Municipal Owned,NE,39.51,19.0,2,5.53,0.16,0.42,0.94,0.72,1.21,1.65,1.07,19.16,8.65,0.0
STROMSBURG GAS DEPARTMENT,18664,Municipal Owned,NE,13.879,33.0,1,0.0,0.0,0.0,0.0,0.0,6.946,2.0,1.5,1.5,1.933,0.0
PONCA GAS DEPT,15742,Municipal Owned,NE,6.12,26.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.12,0.0,0.0,0.0
BLACK HILLS ENERGY,15359,Investor Owned,NE,8443.46,37.0,2491,0.0,71.0,33.78,808.45,1438.46,1182.54,2293.59,878.71,703.02,948.47,85.44
"PENDER MUNICIPAL GAS DEPT, VILLAGE OF",15217,Municipal Owned,NE,13.0,40.0,4,0.0,0.0,0.0,0.0,3.5,4.0,2.75,0.75,1.0,1.0,0.0
NEBRASKA CITY UTILITIES,13180,Municipal Owned,NE,146.72,39.0,31,0.0,13.7,0.0,20.43,8.0,23.5,22.0,22.25,7.8,28.1,0.94
METROPOLITAN UTILITIES DISTRICT,12390,Municipal Owned,NE,2914.0,34.0,784,12.0,135.0,37.0,281.0,387.0,281.0,245.0,411.0,569.0,494.0,62.0
"LYONS GAS SYSTEM, CITY OF",11952,Municipal Owned,NE,10.6,25.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.3,0.3,0.0
HASTINGS UTILITIES,7135,Municipal Owned,NE,188.0,28.0,11,0.0,0.0,0.0,1.5,7.0,22.5,50.5,52.5,36.0,16.5,1.5
FREMONT DEPT OF UTIL - GAS DIV,5613,Municipal Owned,NE,218.0,36.0,50,0.0,4.0,4.0,4.0,33.0,39.0,50.0,42.0,17.0,18.0,7.0
FALLS CITY UTILITIES,5057,Municipal Owned,NE,36.49,43.0,22,0.0,1.26,2.79,9.53,7.1,0.0,0.0,4.99,3.15,6.85,0.82
CENTRAL CITY GAS SYSTEM DEPT,2180,Municipal Owned,NE,39.379,52.0,30,1.0,0.0,5.0,17.953,2.0,5.0,1.0,1.0,0.219,4.824,1.407
STUART GAS CO,893,Municipal Owned,NE,40.0,21.0,6,0.0,0.0,0.0,0.0,6.0,0.0,1.0,14.0,0.0,19.0,0.0
"ALMA NATURAL  GAS SYSTEMS, CITY OF",342,Municipal Owned,NE,16.07,41.0,7,0.0,0.0,2.67,1.0,1.0,2.83,3.0,2.96,0.4,2.21,0.0
