,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
7,"Household Income: $10,000 to $14,999",NM,50851,53506,51811,51075,49191,48455,48930,44272,50055,42519
8,"Household Income: $100,000 to $124,999",NM,45863,48547,48642,49325,51230,51752,55708,60362,58218,60173
9,"Household Income: $125,000 to $149,999",NM,29073,26316,28128,27329,26972,32084,29307,29205,32477,38540
10,"Household Income: $15,000 to $19,999",NM,52893,51072,50648,48807,48130,48997,50025,44267,42745,41543
11,"Household Income: $150,000 to $199,999",NM,23620,24990,28152,27462,27885,29416,26732,31778,33728,39437
12,"Household Income: $20,000 to $24,999",NM,52098,53694,47117,50889,48534,48855,48054,44888,50641,48909
13,"Household Income: $200,000 or more",NM,17323,20736,19226,21371,23119,22828,26922,25805,30624,35685
14,"Household Income: $25,000 to $29,999",NM,45257,46516,47516,40587,39220,41571,40353,45885,44145,41728
15,"Household Income: $30,000 to $34,999",NM,47940,42406,44924,41648,40410,44211,38164,44267,42909,39967
16,"Household Income: $35,000 to $39,999",NM,39259,40501,39105,35638,37381,34348,35107,38069,37283,32647
17,"Household Income: $40,000 to $44,999",NM,40845,37369,36346,39159,38860,36755,37564,36865,37196,37765
18,"Household Income: $45,000 to $49,999",NM,32993,34180,31043,31426,34540,33615,34581,31578,33655,28960
19,"Household Income: $50,000 to $59,999",NM,60166,57432,58299,57584,55160,58969,59437,61647,59049,63845
20,"Household Income: $60,000 to $74,999",NM,72155,70952,70170,72815,72642,71076,73011,71048,78823,79144
21,"Household Income: $75,000 to $99,999",NM,80819,79354,84613,82342,87470,83907,87486,83354,85598,96945
22,"Household Income: Less than $10,000",NM,74028,79714,79256,76050,80172,74958,66983,74415,76947,65613
23,Household Income: Total:,NM,765183,767285,764996,753507,760916,761797,758364,767705,794093,793420
24,Median Household Income,NM,42090.0,41963.0,42558.0,43872.0,44803.0,45382.0,46748.0,46744.0,47169.0,51945.0
