Operator Name,Operator ID,Operator Type,State,Total Main Miles,Main Mileage Average Age,Main Miles over 50 Years Old,Main Miles Built in Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
Statewide Total,,Total,IA,18936.460000000003,39.88333333333333,4866,484.0,224.0,111.0,1256.0,3126.0,1816.0,2222.0,4055.0,3104.0,2401.0,132.0
Statewide Total,,Cooperative,IA,2.0,51.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Statewide Total,,Privately Owned,IA,13.463000000000001,8.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
Statewide Total,,Investor Owned,IA,17610.889,37.6,4360,352.0,224.0,98.0,1120.0,2784.0,1741.0,2124.0,3919.0,2910.0,2232.0,101.0
Statewide Total,,Municipal Owned,IA,1310.108,41.09615384615385,505,131.0,0.0,13.0,136.0,340.0,75.0,98.0,135.0,192.0,168.0,18.0
TRAER MUNICIPAL UTILITIES,40188,Municipal Owned,IA,13.84,47.0,9,0.0,0.0,0.0,0.0,9.97,0.08,0.28,2.52,0.87,0.12,0.0
DOOLEY'S NATURAL GAS OF IOWA,40068,Privately Owned,IA,12.614,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.614
"QCCP INDUSTRIAL PARK UTILITIES, LLC",39170,Privately Owned,IA,0.849,16.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.849,0.0,0.0
LIBERTY UTILITIES (MIDSTATES NATURAL GAS) CORP. D/B/A LIBERTY UTILITIES,38906,Investor Owned,IA,111.248,40.0,30,0.0,0.0,0.0,6.975,18.922,31.999,18.0,29.0,4.0,2.09,0.263
CITY OF ALTON,32480,Municipal Owned,IA,15.141,39.0,7,0.0,0.0,0.0,5.906,1.384,0.248,0.234,2.576,1.977,2.816,0.0
CITY OF MAPLETON,32468,Municipal Owned,IA,9.2,26.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.202,0.0,0.0,0.0
JO-CARROLL ENERGY,32282,Cooperative,IA,2.0,51.0,1,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.2,0.0
ORANGE CITY MUNCIPAL UTILITIES,31935,Municipal Owned,IA,38.848,42.0,19,0.0,0.0,0.0,13.0,6.0,2.0,1.0,8.0,5.0,3.64,0.208
CITY OF WALL LAKE,31416,Municipal Owned,IA,11.0,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0
MIDAMERICAN ENERGY COMPANY,30750,Investor Owned,IA,10289.521,34.0,2865,22.345,188.162,93.051,947.669,1578.421,1024.896,1218.557,2101.456,1807.198,1248.614,59.152
WINFIELD MUNICIPAL GAS,30515,Municipal Owned,IA,13.0,52.0,12,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0
EVERLY MUNICIPAL GAS,30039,Municipal Owned,IA,7.0,46.0,4,0.0,0.0,0.0,1.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0
WOODBINE MUNICIPLE NATURAL GAS SYSTEM,22833,Municipal Owned,IA,10.4,49.0,8,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,0.2,0.2
"WHITTEMORE, TOWN OF",22588,Municipal Owned,IA,4.0,56.0,4,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
"WEST BEND, TOWN OF, GAS",22371,Municipal Owned,IA,8.0,43.0,4,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0
WELLMAN MUNICIPAL GAS SYSTEM,22357,Municipal Owned,IA,13.0,32.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,1.0,0.0,0.0
WAYLAND MUNICIPAL GAS CO,22280,Municipal Owned,IA,13.83,30.0,5,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,2.3,4.53,0.0
WAUKEE MUNICIPAL GAS,22235,Municipal Owned,IA,140.9,9.0,0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,33.0,54.7,9.2
TITONKA MUNICIPAL GAS SYSTEM,19476,Municipal Owned,IA,4.0,56.0,4,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
TIPTON MUNICIPAL UTILITIES,19470,Municipal Owned,IA,31.0,34.0,15,0.0,0.0,0.0,0.0,15.0,0.0,0.0,3.0,6.0,7.0,0.0
