,Operator Name,Operator ID,Operator Type,State,Total Main Miles,Main Mileage Average Age,Main Miles over 50 Years Old,Main Miles Built in Unknown Decade,Main Miles Built Pre-1940,Main Miles Built 1940-49,Main Miles Built 1950-59,Main Miles Built 1960-69,Main Miles Built 1970-79,Main Miles Built 1980-89,Main Miles Built 1990-99,Main Miles Built 2000-09,Main Miles Built 2010-19,Main Miles Built 2020-29
0,Statewide Total,,Total,IL,62527.119,46.06410256410256,24308,114.0,1005.0,537.0,5842.0,16201.0,8135.0,7890.0,8705.0,8515.0,4882.0,696.0
1,Statewide Total,,Cooperative,IL,388.331,33.0,117,51.0,0.0,0.0,10.0,104.0,16.0,27.0,67.0,52.0,51.0,5.0
2,Statewide Total,,Privately Owned,IL,368.82,26.0,103,16.0,0.0,0.0,3.0,96.0,21.0,86.0,98.0,25.0,18.0,1.0
3,Statewide Total,,Investor Owned,IL,59848.145,35.666666666666664,23026,19.0,1005.0,528.0,5314.0,15468.0,7932.0,7538.0,8328.0,8287.0,4749.0,674.0
4,Statewide Total,,Municipal Owned,IL,1921.823,48.52307692307692,1062,26.0,0.0,9.0,514.0,531.0,165.0,237.0,212.0,149.0,62.0,13.0
5,LIBERTY UTILITIES (MIDSTATES NATURAL GAS) CORP. D/B/A LIBERTY UTILITIES,38906,Investor Owned,IL,711.248,43.0,352,19.595,0.0,9.537,60.043,260.865,85.91,98.746,96.559,30.998,47.141,1.855
6,"CENTER ETHANOL COMPANY, LLC",32563,Privately Owned,IL,0.9,16.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0
7,AMEREN ILLINOIS COMPANY,32513,Investor Owned,IL,17325.97,40.0,7835,0.0,34.9,38.0,757.7,6694.0,2051.5,2227.0,2707.7,1671.3,1043.7,100.3
8,JO-CARROLL ENERGY,32282,Cooperative,IL,206.65,39.0,96,51.665,0.0,0.0,0.0,96.0,0.0,8.0,1.0,20.0,25.65,4.335
9,MARATHON PIPE LINE LLC,32147,Investor Owned,IL,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,VILLAGE OF MORTON,31859,Municipal Owned,IL,120.0,33.0,31,0.0,0.0,0.0,8.0,21.0,16.0,11.0,22.0,31.0,10.0,1.0
11,"RANTOUL, VILLAGE OF",30889,Municipal Owned,IL,17.21,42.0,7,0.0,0.0,0.0,6.52,1.4,0.0,0.93,5.78,2.43,0.15,0.0
12,MIDAMERICAN ENERGY COMPANY,30750,Investor Owned,IL,1154.986,43.0,558,0.346,11.037,17.963,147.317,344.287,203.134,75.145,160.619,135.851,57.962,1.325
13,"WINCHESTER, CITY OF",22700,Municipal Owned,IL,18.338,55.0,13,0.0,0.0,0.0,13.899,0.0,0.0,1.0,1.0,2.0,0.439,0.0
14,"WHITE HALL GAS DEPT, CITY OF",22567,Municipal Owned,IL,35.918,48.0,13,0.0,0.0,0.0,11.0,0.0,18.694,2.0,3.0,1.0,0.224,0.0
15,WESTVILLE GAS COMMISSION,22525,Municipal Owned,IL,29.0,53.0,20,0.0,0.0,0.0,5.0,14.0,7.0,3.0,0.0,0.0,0.0,0.0
16,"WAYNE CITY GAS UTILITY, VILLAGE OF",22287,Municipal Owned,IL,11.438,48.0,9,0.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,0.0,0.438,0.0
17,WAVERLY GAS DEPT,22273,Municipal Owned,IL,11.0,62.0,10,0.0,0.0,0.0,10.0,0.0,0.0,0.25,0.25,0.5,0.0,0.0
18,WATERLOO MUNICIPAL GAS SYSTEM,22217,Municipal Owned,IL,94.034,26.0,16,0.0,0.0,0.0,0.0,16.178,1.0,14.0,14.656,38.0,9.152,1.048
19,CITY OF VIENNA MUNICIPAL GAS SYSTEM,21260,Municipal Owned,IL,15.601,44.0,8,0.0,0.0,0.0,7.923,1.0,0.0,1.0,1.0,3.0,1.601,0.077
20,"TOLEDO, VILLAGE OF",19510,Municipal Owned,IL,15.1,52.0,13,0.0,0.0,0.0,0.0,13.0,0.5,0.5,1.0,0.0,0.1,0.0
