,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
25,Median Number of Rooms,OR,5.4,5.4,5.3,5.3,5.3,5.4,5.4,5.4,5.3,5.3
26,Number of Rooms: 1,OR,36830,37151,35869,39371,39665,47869,50175,51621,53562,62068
27,Number of Rooms: 2,OR,54200,60066,59491,58392,58214,62568,70321,65497,72073,71487
28,Number of Rooms: 3,OR,144867,140231,138620,151634,153292,151186,151076,151096,164582,180180
29,Number of Rooms: 4,OR,293281,299361,304536,301388,297499,306426,295956,317494,310634,302991
30,Number of Rooms: 5,OR,334907,355459,359407,349372,356201,340887,338755,346536,351843,348459
31,Number of Rooms: 6,OR,307175,306984,291761,285876,298951,301656,300749,305150,299784,302461
32,Number of Rooms: 7,OR,211966,202288,198364,200685,193014,196935,201890,201482,205688,208820
33,Number of Rooms: 8,OR,129823,126026,130672,127788,133141,138245,139620,140433,143973,144026
34,Number of Rooms: 9+,OR,163427,156678,163811,169601,170634,172737,184345,189273,186604,187990
