,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
39,Units in Structure: 1 ATTACHED,OR,75152,72707,77858,72326,74709,73062,81994,78937,77192,84806
40,Units in Structure: 1 DETACHED,OR,1066422,1080568,1071380,1070790,1078242,1089675,1098386,1132814,1128451,1141051
41,Units in Structure: 10-19,OR,62151,62391,58873,61325,64502,61822,64700,66943,73911,64963
42,Units in Structure: 2,OR,48107,46675,48708,49360,51509,53796,47600,46578,44404,47449
43,Units in Structure: 20-49,OR,52060,53102,50193,52215,51676,57375,53357,56672,63832,56313
44,Units in Structure: 3-4,OR,73263,69113,75017,78137,76530,71917,76929,77305,73750,80842
45,Units in Structure: 5-9,OR,75766,74534,71066,71173,80425,80653,76456,75894,81106,84062
46,Units in Structure: 50+,OR,79121,85280,85109,81960,80502,86071,88196,93231,97895,108857
47,"Units in Structure: Boat,RV,Van,Etc.",OR,4971,4913,3967,5364,3660,4268,4402,4943,7264,5425
48,Units in Structure: Mobile Home,OR,139463,134961,140360,141457,138856,139870,140867,135265,140938,134714
