,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
39,Units in Structure: 1 ATTACHED,NJ,333174,331238,322236,334704,333741,340164,349756,345917,349571,354386
40,Units in Structure: 1 DETACHED,NJ,1909293,1905248,1919531,1903693,1914624,1905668,1919230,1940253,1939149,1933898
41,Units in Structure: 10-19,NJ,178408,173648,176553,183097,182402,187556,175694,168772,182005,171485
42,Units in Structure: 2,NJ,343395,342340,350572,352638,337764,344885,336411,338282,329672,313537
43,Units in Structure: 20-49,NJ,137522,147092,138033,136035,138604,147503,137667,142423,143938,152316
44,Units in Structure: 3-4,NJ,221841,230680,237448,227475,237886,234318,231835,238440,213252,222902
45,Units in Structure: 5-9,NJ,172256,166864,163457,178343,177865,170689,171187,168054,169496,173592
46,Units in Structure: 50+,NJ,224167,228433,230060,227980,234449,226305,248971,240829,266524,283446
47,"Units in Structure: Boat,RV,Van,Etc.",NJ,1465,1016,745,1033,243,730,968,320,570,1047
48,Units in Structure: Mobile Home,NJ,33388,36161,36128,33262,34269,35904,32969,32601,34021,35245
