,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
39,Units in Structure: 1 ATTACHED,SC,58145,56354,59837,59753,68995,68803,70730,64893,72604,72514
40,Units in Structure: 1 DETACHED,SC,1308185,1347078,1342914,1349175,1362445,1388764,1406900,1432360,1461576,1508767
41,Units in Structure: 10-19,SC,77788,76058,75734,80103,77295,81227,75058,75961,78387,76051
42,Units in Structure: 2,SC,49761,46488,48366,47655,53590,45422,45685,43463,44120,42193
43,Units in Structure: 20-49,SC,54212,58491,55070,50716,55103,49101,58350,58060,65925,57395
44,Units in Structure: 3-4,SC,64438,61790,57258,61201,64136,60929,62172,70377,66019,62239
45,Units in Structure: 5-9,SC,103306,97984,102927,102059,98041,104057,92988,96995,95349,105745
46,Units in Structure: 50+,SC,45905,46461,45213,42992,44985,47748,54284,64447,62570,63348
47,"Units in Structure: Boat,RV,Van,Etc.",SC,2034,905,1433,1337,1034,1518,1045,2268,2540,1694
48,Units in Structure: Mobile Home,SC,376563,365454,368016,363793,362634,362581,369050,375996,369201,361418
