,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
39,Units in Structure: 1 ATTACHED,VA,348024,356751,376454,382501,380646,369981,389824,385902,386634,380210
40,Units in Structure: 1 DETACHED,VA,2101410,2111474,2095844,2099847,2122586,2132930,2141813,2163862,2161105,2193479
41,Units in Structure: 10-19,VA,191219,194114,196742,200616,203799,207284,202127,198295,197466,210811
42,Units in Structure: 2,VA,54276,54372,58126,61268,57140,61988,60048,53602,58522,54928
43,Units in Structure: 20-49,VA,67027,75251,70649,74530,63879,64901,67244,70496,80379,78418
44,Units in Structure: 3-4,VA,87895,93770,93002,95062,98614,99116,100268,95855,97495,93030
45,Units in Structure: 5-9,VA,165611,151583,158139,158805,159476,169543,160490,170365,166304,162803
46,Units in Structure: 50+,VA,162485,164852,167863,166469,181754,186337,185483,191571,205641,213427
47,"Units in Structure: Boat,RV,Van,Etc.",VA,790,838,1016,1696,1017,1294,951,1060,1270,1277
48,Units in Structure: Mobile Home,VA,189937,184796,180554,171783,177674,175578,182937,181909,184169,173875
