,Operator Name,Operator ID,Operator Type,State,Total Main Miles,Main Mileage Average Age,Main Miles over 50 Years Old,Main Miles Built in Unknown Decade,Main Miles Built Pre-1940,Main Miles Built 1940-49,Main Miles Built 1950-59,Main Miles Built 1960-69,Main Miles Built 1970-79,Main Miles Built 1980-89,Main Miles Built 1990-99,Main Miles Built 2000-09,Main Miles Built 2010-19,Main Miles Built 2020-29
0,Statewide Total,,Total,NM,14638.931,34.2,3464,623.0,141.0,207.0,1075.0,1677.0,2008.0,1704.0,2638.0,2590.0,1763.0,208.0
1,Statewide Total,,Cooperative,NM,188.3,50.0,130,0.0,0.0,0.0,0.0,121.0,60.0,0.0,0.0,0.0,2.0,4.0
2,Statewide Total,,Privately Owned,NM,1600.0,14.5,314,0.0,0.0,0.0,25.0,261.0,190.0,183.0,292.0,369.0,264.0,16.0
3,Statewide Total,,Investor Owned,NM,10889.2,36.0,2634,456.0,93.0,187.0,961.0,1093.0,1377.0,1321.0,2059.0,1998.0,1184.0,155.0
4,Statewide Total,,Municipal Owned,NM,1961.431,36.2,386,166.0,48.0,20.0,89.0,201.0,381.0,199.0,287.0,223.0,313.0,32.0
5,RATON NATURAL GAS COMPANY,32235,Investor Owned,NM,66.0,39.0,32,0.0,0.0,0.0,0.0,32.0,3.0,4.0,9.0,16.0,2.0,0.0
6,HILCORP ENERGY COMPANY,30711,Privately Owned,NM,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,ZIA NATURAL GAS CO,25000,Privately Owned,NM,1600.0,29.0,314,0.0,0.0,0.0,25.0,261.0,190.0,183.0,292.0,369.0,264.0,16.0
8,"WAGON MOUND GAS SYSTEM, VILLAGE OF",22021,Municipal Owned,NM,4.0,16.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
9,SOCORRO NATURAL GAS CO,18380,Municipal Owned,NM,85.0,20.0,0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,10.0,3.0,0.0
10,"MOUNTAINAIR, TOWN OF",12894,Municipal Owned,NM,27.0,66.0,27,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,LOS ALAMOS COUNTY UTILITIES,11768,Municipal Owned,NM,133.0,35.0,33,3.0,0.0,0.0,0.0,28.0,39.0,14.0,13.0,20.0,13.0,3.0
12,"LORDSBURG, CITY OF",11744,Municipal Owned,NM,23.99,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,11.0,0.0,0.0
13,LAS VEGAS NATURAL GAS SYSTEM,11248,Municipal Owned,NM,110.0,56.0,110,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0
14,"LAS CRUCES, CITY OF",11240,Municipal Owned,NM,767.22,30.0,141,109.48,48.0,20.0,62.0,30.0,62.0,37.0,45.0,77.58,247.57,28.47
15,NEW MEXICO GAS COMPANY,6141,Investor Owned,NM,10823.2,33.0,2602,456.66,93.02,187.07,961.18,1061.42,1374.26,1317.69,2050.94,1982.84,1182.56,155.56
16,EASTERN NEW MEXICO NATURAL GAS ASSOCIATION,4120,Cooperative,NM,188.3,50.0,130,0.0,0.0,0.0,0.0,121.49,60.0,0.0,0.0,0.0,2.0,4.81
17,E M W GAS ASSOCIATION,4005,Municipal Owned,NM,642.076,33.0,42,0.0,0.0,0.0,0.0,0.0,280.0,90.0,170.0,53.5,48.0,0.53
18,DEMING GAS SYSTEM,3280,Municipal Owned,NM,153.93,30.0,18,0.0,0.0,0.0,0.0,18.5,0.0,58.7,28.0,46.82,1.63,0.0
19,"CORONA GAS SYSTEM, VILLAGE OF",2804,Municipal Owned,NM,15.215,55.0,15,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.215,0.0,0.0
