Operator Name,Operator ID,Operator Type,State,Total Services,Services from Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
Statewide Total,,Total,NM,667228,180299,1550,7887,40543,42287,48611,58824,81428,128581,70782,6436
Statewide Total,,Cooperative,NM,1207,0,0,0,0,692,378,90,0,0,0,47
Statewide Total,,Privately Owned,NM,43860,0,0,0,2630,4553,4485,6950,8191,8591,7823,637
Statewide Total,,Investor Owned,NM,547376,174905,706,6552,32954,26598,36969,45534,61050,107014,50116,4978
Statewide Total,,Municipal Owned,NM,74785,5394,844,1335,4959,10444,6779,6250,12187,12976,12843,774
RATON NATURAL GAS COMPANY,32235,Investor Owned,NM,3015,0,0,0,0,2100,300,240,190,170,4,11
HILCORP ENERGY COMPANY,30711,Privately Owned,NM,25,0,0,0,5,3,5,7,5,0,0,0
ZIA NATURAL GAS CO,25000,Privately Owned,NM,43835,0,0,0,2625,4550,4480,6943,8186,8591,7823,637
"WAGON MOUND GAS SYSTEM, VILLAGE OF",22021,Municipal Owned,NM,135,0,0,0,0,0,0,0,0,135,0,0
SOCORRO NATURAL GAS CO,18380,Municipal Owned,NM,3323,1942,0,0,0,0,0,0,767,530,84,0
"MOUNTAINAIR, TOWN OF",12894,Municipal Owned,NM,527,0,0,0,527,0,0,0,0,0,0,0
LOS ALAMOS COUNTY UTILITIES,11768,Municipal Owned,NM,8094,0,0,0,0,2988,160,105,3731,897,181,32
"LORDSBURG, CITY OF",11744,Municipal Owned,NM,1336,0,0,0,0,0,0,0,0,929,407,0
LAS VEGAS NATURAL GAS SYSTEM,11248,Municipal Owned,NM,4979,0,0,0,0,4500,98,70,100,60,139,12
"LAS CRUCES, CITY OF",11240,Municipal Owned,NM,42506,3452,844,1335,4432,2420,4861,3814,4130,5870,10651,697
NEW MEXICO GAS COMPANY,6141,Investor Owned,NM,544361,174905,706,6552,32954,24498,36669,45294,60860,106844,50112,4967
EASTERN NEW MEXICO NATURAL GAS ASSOCIATION,4120,Cooperative,NM,1207,0,0,0,0,692,378,90,0,0,0,47
E M W GAS ASSOCIATION,4005,Municipal Owned,NM,7864,0,0,0,0,0,1660,898,2722,1803,780,1
DEMING GAS SYSTEM,3280,Municipal Owned,NM,5875,0,0,0,0,398,0,1363,737,2745,600,32
"CORONA GAS SYSTEM, VILLAGE OF",2804,Municipal Owned,NM,146,0,0,0,0,138,0,0,0,7,1,0
