Operator Name,Operator ID,Operator Type,State,Total Services,Services from Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
Statewide Total,,Total,CO,1670142,100230,9759,22361,102830,123254,224809,223714,289679,271493,279737,22276
Statewide Total,,Cooperative,CO,0,0,0,0,0,0,0,0,0,0,0,0
Statewide Total,,Privately Owned,CO,12,5,0,0,0,0,0,3,4,0,0,0
Statewide Total,,Investor Owned,CO,1483970,85754,9722,22256,100105,116587,198312,191377,253931,233173,254492,18261
Statewide Total,,Municipal Owned,CO,186160,14471,37,105,2725,6667,26497,32334,35744,38320,25245,4015
COLORADO NATURAL GAS INC.,31316,Investor Owned,CO,24028,83,0,0,290,535,595,530,2938,12140,6118,799
DCP MIDSTREAM,31130,Privately Owned,CO,4,4,0,0,0,0,0,0,0,0,0,0
"WALDEN, TOWN OF",30839,Municipal Owned,CO,587,0,0,0,426,49,38,10,10,36,17,1
HILCORP ENERGY COMPANY,30711,Privately Owned,CO,8,1,0,0,0,0,0,3,4,0,0,0
"WALSENBURG, CITY OF",22112,Municipal Owned,CO,1561,0,0,0,0,415,895,21,100,99,30,1
"TRINIDAD, CITY OF",19680,Municipal Owned,CO,4486,0,0,0,0,0,3551,155,338,397,32,13
"RANGELY, TOWN OF",17070,Municipal Owned,CO,1126,0,0,0,0,0,0,383,327,324,86,6
PUBLIC SERVICE CO OF COLORADO,15931,Investor Owned,CO,1162758,20363,5832,13399,93902,109175,185966,157240,213904,187393,169608,5976
BLACK HILLS ENERGY,15359,Investor Owned,CO,189230,65308,0,0,0,1,394,22412,11182,22295,61206,6432
DOMINION ENERGY UTAH/WYOMING/IDAHO,12876,Investor Owned,CO,3,0,0,0,0,0,1,0,0,2,0,0
IGNACIO MUNICIPAL GAS,8020,Municipal Owned,CO,464,0,0,0,5,0,97,0,0,110,252,0
ATMOS ENERGY CORPORATION - COLORADO/KANSAS,6720,Investor Owned,CO,107951,0,3890,8857,5913,6876,11356,11195,25907,11343,17560,5054
"FORT MORGAN GAS DEPT, CITY OF",5440,Municipal Owned,CO,4271,0,0,0,1609,717,403,129,819,437,140,17
"COLORADO SPRINGS, CITY OF",2568,Municipal Owned,CO,172873,13687,37,105,685,5486,21513,31636,34150,36917,24682,3975
CENTER MUNICIPAL GAS SYSTEM,2172,Municipal Owned,CO,792,784,0,0,0,0,0,0,0,0,6,2
