,Operator Name,Operator ID,Operator Type,State,Total Main Miles,Main Mileage Average Age,Main Miles over 50 Years Old,Main Miles Built in Unknown Decade,Main Miles Built Pre-1940,Main Miles Built 1940-49,Main Miles Built 1950-59,Main Miles Built 1960-69,Main Miles Built 1970-79,Main Miles Built 1980-89,Main Miles Built 1990-99,Main Miles Built 2000-09,Main Miles Built 2010-19,Main Miles Built 2020-29
0,Statewide Total,,Total,OK,27088.81,29.1,7351,1218.0,605.0,313.0,1885.0,4215.0,4255.0,3713.0,4603.0,3317.0,2842.0,119.0
1,Statewide Total,,Cooperative,OK,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Statewide Total,,Privately Owned,OK,1152.0,11.25,278,8.0,0.0,0.0,0.0,208.0,467.0,173.0,45.0,69.0,159.0,18.0
3,Statewide Total,,Investor Owned,OK,23617.707,21.11111111111111,6507,1069.0,603.0,313.0,1868.0,3506.0,3382.0,3279.0,4059.0,2935.0,2511.0,86.0
4,Statewide Total,,Municipal Owned,OK,2319.1029999999996,33.78846153846154,566,139.0,1.0,0.0,16.0,500.0,406.0,259.0,498.0,312.0,171.0,14.0
5,TONKAWA MUNICIPAL AUTHORITY,39546,Municipal Owned,OK,1.22,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22,0.0
6,"HGA, LLC",32686,Cooperative,OK,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,NAVITAS UTILITY COPORATION,32647,Privately Owned,OK,987.35,41.0,278,0.0,0.0,0.0,0.0,208.75,467.26,173.615,9.035,67.368,58.212,3.11
8,"TALL OAK MID-CON, LLC",32636,Privately Owned,OK,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,"CENTERPOINT ENERGY INTRASTATE PIPELINES, INC.",32024,Investor Owned,OK,0.41,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41
10,"RURAL WATER, SEWER, GAS & SOLID WASTE MGMT. DIST. #10 OF DELAWARE CTY, OK",31984,Municipal Owned,OK,28.93,16.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.93,0.0,0.0
11,"TEXAS KANSAS OKLAHOMA GAS, LLC",31981,Privately Owned,OK,140.7,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,99.7,15.75
12,"SOUTHERN STAR CENTRAL GAS PIPELINE, INC",31711,Privately Owned,OK,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,PANHANDLE NATURAL GAS,31637,Privately Owned,OK,11.7,17.0,0,8.87,0.0,0.0,0.0,0.0,0.0,0.0,1.54,0.0,1.36,0.0
14,CITY OF HOOKER,31597,Municipal Owned,OK,13.43,30.0,1,5.89,0.78,0.0,0.76,0.83,0.71,0.0,0.0,0.34,3.83,0.29
15,"ONEOK GAS TRANSPORTATION, LLC",31286,Investor Owned,OK,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,"KANSAS GAS SERVICE COMPANY, A DIVISION OF ONE GAS, INC.",31159,Investor Owned,OK,671.31,43.0,179,0.0,87.8,13.54,59.47,80.15,86.39,84.78,73.01,115.9,66.77,3.5
17,DCP MIDSTREAM,31130,Privately Owned,OK,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"ONEOK FIELD SERVICES COMPANY, L.L.C.",30629,Investor Owned,OK,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,ENERFIN RESOURCES I LIMITED PARTNERSHIP,30588,Privately Owned,OK,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
