Operator Name,Operator ID,Operator Type,State,Total Services,Services from Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
Statewide Total,,Total,OK,1250049,87803,25018,10753,54585,91648,110899,174318,232802,255478,190840,15905
Statewide Total,,Cooperative,OK,49,0,3,1,1,2,30,12,0,0,0,0
Statewide Total,,Privately Owned,OK,6432,868,0,0,0,441,2275,2175,164,131,341,37
Statewide Total,,Investor Owned,OK,1188930,79228,25015,10752,54221,80555,96866,164652,225139,250583,186554,15365
Statewide Total,,Municipal Owned,OK,54638,7707,0,0,363,10650,11728,7479,7499,4764,3945,503
TONKAWA MUNICIPAL AUTHORITY,39546,Municipal Owned,OK,7,0,0,0,0,0,0,0,0,0,6,1
"HGA, LLC",32686,Cooperative,OK,49,0,3,1,1,2,30,12,0,0,0,0
NAVITAS UTILITY COPORATION,32647,Privately Owned,OK,5213,0,0,0,0,441,2141,2175,100,131,209,16
"TALL OAK MID-CON, LLC",32636,Privately Owned,OK,2,2,0,0,0,0,0,0,0,0,0,0
"CENTERPOINT ENERGY INTRASTATE PIPELINES, INC.",32024,Investor Owned,OK,1,0,0,0,0,0,0,0,0,0,0,1
"RURAL WATER, SEWER, GAS & SOLID WASTE MGMT. DIST. #10 OF DELAWARE CTY, OK",31984,Municipal Owned,OK,200,0,0,0,0,0,0,0,0,181,19,0
"TEXAS KANSAS OKLAHOMA GAS, LLC",31981,Privately Owned,OK,479,193,0,0,0,0,126,0,31,0,108,21
"SOUTHERN STAR CENTRAL GAS PIPELINE, INC",31711,Privately Owned,OK,433,433,0,0,0,0,0,0,0,0,0,0
PANHANDLE NATURAL GAS,31637,Privately Owned,OK,118,77,0,0,0,0,0,0,17,0,24,0
CITY OF HOOKER,31597,Municipal Owned,OK,864,330,0,0,27,76,24,0,0,8,382,17
"ONEOK GAS TRANSPORTATION, LLC",31286,Investor Owned,OK,1999,1999,0,0,0,0,0,0,0,0,0,0
