,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, District of Columbia (Million cubic feet)",13890,14019,14247,13867,13280,13181,13985,12412,13343,13245,13730,13686,13041,13007,17374,16605,17296,16729,17471,17433,15137,15286,16587,16589,15865,15690,17290,15807,13249,14147,15437,12947,14249,15156,14276,13853,11412,13371,13222,13466,13608,12386,11260,13214,14242,13494,11379,11904,13112,12065,
"Natural gas consumed by (delivered to) the commercial sector, District of Columbia (Million cubic feet)",11634,12706,13625,13315,13355,12262,14253,12986,12419,15794,13752,14993,15881,15945,11680,11921,11934,13999,15012,15741,13473,15550,16103,16229,14742,17035,16347,18012,16862,17837,17728,16546,18332,17098,17384,17683,17107,19297,18411,18705,18547,16892,15363,17234,17498,17113,15648,16040,16621,16125,
"Natural gas consumed by the industrial sector, District of Columbia (Million cubic feet)",442,481,612,610,579,434,435,380,352,593,386,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Natural gas consumed by the electric power sector, District of Columbia (Million cubic feet)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1003,0,0,0,0,0,0,0,0,
"Residential carbon dioxide emissions, natural gas, District of Columbia (million metric tons CO2)",,,,,,,,,,,0.730643,0.73632,0.703691,0.697005,0.932842,0.894217,0.929606,0.9,0.93714,0.934169,0.809539,0.815852,0.886206,0.886312,0.850976,0.837446,0.925627,0.856228,0.721942,0.76635,0.84116,0.704752,0.77415,0.825827,0.777864,0.773195,0.620657,0.728574,0.721146,0.739451,0.732129,0.667612,0.614768,0.722101,0.788104,0.747462,0.630313,0.656205,0.720722,,
"Commercial carbon dioxide emissions, natural gas, District of Columbia (million metric tons CO2)",,,,,,,,,,,0.731811,0.806621,0.856918,0.854425,0.62713,0.641986,0.641402,0.753139,0.805241,0.843495,0.720563,0.830018,0.860367,0.867105,0.790757,0.909232,0.875117,0.975712,0.918782,0.966268,0.966003,0.90069,0.99598,0.931675,0.947274,0.98696,0.930349,1.051477,1.004204,1.027177,0.997837,0.910452,0.838773,0.941809,0.968284,0.94791,0.866787,0.884242,0.913583,,
"Industrial carbon dioxide emissions, natural gas, District of Columbia (million metric tons CO2)",,,,,,,,,,,0.020533,0.018517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"Natural Gas Citygate Price in the District of Columbia, Annual (Dollars per Thousand Cubic Feet)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"District of Columbia Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",,,,,,,,,,,4.57,5.5,6.64,8.1,8.05,7.91,7.52,7.09,6.96,7.44,7.18,7.07,7.61,8.34,8.29,8.03,9.19,9.39,8.91,8.7,10.81,12.65,11.01,13.29,14.31,16.87,16.96,15.67,16.49,13.92,13.53,13.06,12.1,12.45,13.05,11.98,10.9,12.53,11.78,12.81,12.36
"District of Columbia Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",,,,,,,,,,,4.22,5.12,6.28,7.44,7.04,6.72,5.91,5.01,5.03,5.3,5.63,5.17,5.36,5.75,6.16,6.04,7.37,7.37,7.36,7.38,9.63,12.02,10.3,12.73,13.6,13.17,14.67,13.69,13.9,12.99,12.26,12.24,11.19,11.64,12.18,11.07,9.88,10.87,10.42,11.23,10.97
