,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
7,"Household Income: $10,000 to $14,999",OR,90857,90273,85653,83647,82996,75629,70974,68783,65916,60952
8,"Household Income: $100,000 to $124,999",OR,104585,102162,118508,119262,122320,123561,141726,149666,154589,161315
9,"Household Income: $125,000 to $149,999",OR,55924,54495,61523,64925,64328,79533,81530,85088,99252,112016
10,"Household Income: $15,000 to $19,999",OR,86208,89476,88596,83942,87988,78981,71622,71532,68119,61558
11,"Household Income: $150,000 to $199,999",OR,47234,49544,53738,56854,64972,71636,85302,96480,106788,123842
12,"Household Income: $20,000 to $24,999",OR,94833,93930,90156,88322,79849,82634,82751,72833,72004,62561
13,"Household Income: $200,000 or more",OR,40429,43397,46693,53890,58826,72897,82782,90649,109309,116536
14,"Household Income: $25,000 to $29,999",OR,91315,82950,81250,81921,80721,83759,80628,69648,72315,67042
15,"Household Income: $30,000 to $34,999",OR,85939,88337,79085,83932,82297,81320,77257,76959,74113,69946
16,"Household Income: $35,000 to $39,999",OR,79843,84462,78973,77306,79486,70110,69794,72554,73532,69123
17,"Household Income: $40,000 to $44,999",OR,81030,77940,78637,74584,76966,77236,69584,69155,70618,70599
18,"Household Income: $45,000 to $49,999",OR,73156,66273,63355,68733,68451,63406,69560,65719,66481,62736
19,"Household Income: $50,000 to $59,999",OR,126162,123506,131046,119206,126296,123266,126752,129368,124516,122836
20,"Household Income: $60,000 to $74,999",OR,158410,165293,153200,162706,158502,168044,167833,170472,173116,176696
21,"Household Income: $75,000 to $99,999",OR,173023,178850,183368,188849,190147,196347,200748,212326,222273,223055
22,"Household Income: Less than $10,000",OR,118189,126091,123176,115720,111366,104846,92835,102403,87029,88539
23,Household Income: Total:,OR,1507137,1516979,1516957,1523799,1535511,1553205,1571678,1603635,1639970,1649352
24,Median Household Income,OR,46560.0,46816.0,49161.0,50251.0,51075.0,54148.0,57532.0,60212.0,63426.0,67058.0
