,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Delaware (Million cubic feet)",7843,8172,8358,7514,7380,6985,7380,7209,7458,6986,6910,6807,6677,6219,6855,6210,6861,7074,7586,7595,7270,7189,8194,8295,8557,8505,9791,8972,7755,8862,9467,9175,9550,10766,10399,10339,9111,10000,9875,10049,10126,10030,8564,10197,11316,11260,9660,9896,12076,11643,
"Natural gas consumed by (delivered to) the commercial sector, Delaware (Million cubic feet)",2804,3010,3205,3093,3169,2964,3078,2815,3005,2842,3246,3783,3577,3428,3827,3412,3514,3741,4041,4184,4042,4253,4965,5195,5459,5743,6694,6608,5590,6119,5125,5680,7477,8437,8465,8383,8134,8628,8868,11684,12193,10478,10034,11170,11882,11731,12340,13380,15593,15590,
"Natural gas consumed by the industrial sector, Delaware (Million cubic feet)",12030,11297,10095,10032,8925,6957,6427,4473,8675,10007,12642,14366,12343,20203,25216,21600,20834,18038,14803,15141,17036,16147,18060,19453,17216,19399,14164,14805,16287,21075,25325,20059,17634,15172,16025,15257,16398,16014,18216,17402,7983,19760,28737,32154,31004,33126,31457,29860,30783,33865,
"Natural gas consumed by the electric power sector, Delaware (Million cubic feet)",3744,3973,2430,2310,891,1697,2297,1290,1485,5143,6999,5684,5202,5023,7060,7266,1796,7847,2824,7999,10776,14354,8384,8665,17399,27010,23370,16092,11135,19879,8371,15129,17460,11712,13067,12875,9522,13493,11181,10990,24383,38984,53295,41487,46136,45450,54156,44961,36328,28101,
"Residential carbon dioxide emissions, natural gas, Delaware (million metric tons CO2)",,,,,,,,,,,0.378665,0.373731,0.365932,0.334947,0.37007,0.336698,0.369964,0.378825,0.409651,0.410977,0.389277,0.383918,0.450929,0.455757,0.470241,0.46727,0.537995,0.492843,0.436922,0.501969,0.523033,0.502818,0.525155,0.592802,0.571579,0.568821,0.501332,0.550463,0.541019,0.550038,0.550516,0.547704,0.467323,0.566274,0.633709,0.628934,0.539003,0.550251,0.668779,,
"Commercial carbon dioxide emissions, natural gas, Delaware (million metric tons CO2)",,,,,,,,,,,0.177899,0.207717,0.196044,0.184637,0.206603,0.185009,0.189518,0.200342,0.218222,0.226393,0.216418,0.227136,0.273189,0.285445,0.299982,0.315528,0.367842,0.362961,0.314891,0.346619,0.28311,0.311283,0.411189,0.464564,0.465254,0.461222,0.447586,0.47491,0.485893,0.639492,0.662943,0.572163,0.547492,0.620285,0.665384,0.65525,0.688516,0.743961,0.86355,,
"Industrial carbon dioxide emissions, natural gas, Delaware (million metric tons CO2)",,,,,,,,,,,0.692761,0.78874,0.676473,1.088139,1.361222,1.171226,1.123475,0.96595,0.799352,0.819248,0.912256,0.862224,0.993804,1.06888,0.946053,1.065855,0.778288,0.8132,0.917562,1.193722,1.399104,1.099228,0.96977,0.835377,0.880847,0.839356,0.902282,0.881537,0.998049,0.952473,0.434004,1.07896,1.56809,1.785569,1.736173,1.850298,1.755115,1.660249,1.704817,,
"Natural Gas Citygate Price in Delaware, Annual (Dollars per Thousand Cubic Feet)",,,,,,,,,,,,,,,4.2,4.04,3.24,2.6,2.88,2.82,2.76,2.54,2.83,3.24,2.95,2.7,3.68,3.53,3.02,3.45,3.41,5.16,5.37,5.88,6.13,8.32,8.84,7.58,8.32,6.54,5.67,9.03,7.19,5.67,5.54,5.87,4.91,5.6,5.59,5.71,
"Delaware Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",1.58,1.63,1.71,1.85,2.11,2.43,2.61,3.25,4.06,4.03,4.3,5.53,6.04,6.59,6.67,7.06,7.09,6.32,6.0,6.42,6.13,5.86,6.13,6.7,7.43,6.6,7.12,8.36,8.9,8.63,8.33,9.06,10.53,10.53,12.08,14.58,16.93,16.21,16.07,17.79,15.12,15.38,15.24,13.65,13.21,12.62,11.88,12.84,12.6,12.1,
"Delaware Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",1.25,1.27,1.36,1.39,1.63,1.9,1.98,2.95,3.85,3.74,4.05,5.18,5.59,6.08,6.17,6.44,6.36,5.17,4.93,5.39,5.12,4.81,4.94,5.46,6.17,5.28,5.82,6.7,7.05,7.0,6.99,10.27,9.41,9.05,10.56,12.98,15.33,14.48,14.24,15.87,13.26,13.58,13.31,11.78,11.42,10.7,9.58,10.37,10.49,10.04,
