Operator Name,Operator ID,Operator Type,State,Total Services,Services from Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
Statewide Total,,Total,DE,207012,1365,247,389,7233,26806,10640,17970,39807,46689,50557,5309
Statewide Total,,Cooperative,DE,719,0,0,0,0,0,0,0,0,355,364,0
Statewide Total,,Privately Owned,DE,4764,0,0,0,0,0,0,414,0,539,3364,447
Statewide Total,,Investor Owned,DE,201529,1365,247,389,7233,26806,10640,17556,39807,45795,46829,4862
Statewide Total,,Municipal Owned,DE,0,0,0,0,0,0,0,0,0,0,0,0
FOX RUN ASSOCIATES LLC,39644,Privately Owned,DE,414,0,0,0,0,0,0,414,0,0,0,0
"ICONO-SUMMER  CHASE APARTMENT,L.P",39226,Privately Owned,DE,336,0,0,0,0,0,0,0,0,0,336,0
PETROLEUM EQUIPMENT TA (FOR POORES PROPANE LP SYSTEMS),37276,Privately Owned,DE,4014,0,0,0,0,0,0,0,0,539,3028,447
SHARPGAS INC DBA SHARP ENERGY,32347,Investor Owned,DE,9749,0,0,0,0,0,0,0,324,5340,3425,660
AERO ENERGY,32170,Cooperative,DE,719,0,0,0,0,0,0,0,0,355,364,0
ELKTON GAS,4376,Privately Owned,DE,0,0,0,0,0,0,0,0,0,0,0,0
DELMARVA POWER & LIGHT COMPANY,3240,Investor Owned,DE,131039,1365,247,389,7233,22828,9474,13538,30759,18628,24955,1623
CHESAPEAKE UTILITIES CORPORATION,2309,Investor Owned,DE,60741,0,0,0,0,3978,1166,4018,8724,21827,18449,2579
