Operator Name,Operator ID,Operator Type,State,Total Services,Services from Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
Statewide Total,,Total,WY,220954,2254,1066,508,4106,5872,18555,98454,26450,28749,32775,2165
Statewide Total,,Cooperative,WY,4552,0,0,0,0,0,0,0,2600,1237,607,108
Statewide Total,,Privately Owned,WY,8258,0,0,0,0,142,1035,694,2318,2481,1444,144
Statewide Total,,Investor Owned,WY,207750,2254,1066,508,4106,5730,17520,97760,21282,24927,30687,1910
Statewide Total,,Municipal Owned,WY,394,0,0,0,0,0,0,0,250,104,37,3
"FALL RIVER ENTERPRISES, INC.",39628,Investor Owned,WY,131,0,0,0,0,0,0,0,0,30,101,0
"LOWER VALLEY ENERGY, INC.",31044,Cooperative,WY,4552,0,0,0,0,0,0,0,2600,1237,607,108
"WALDEN, TOWN OF",30839,Municipal Owned,WY,394,0,0,0,0,0,0,0,250,104,37,3
WYOMING GAS CO,22917,Privately Owned,WY,6441,0,0,0,0,142,1028,688,1873,1727,921,62
BLACK HILLS ENERGY,15359,Investor Owned,WY,155524,0,1058,394,3519,3284,6587,86011,13656,17003,22435,1577
DOMINION ENERGY UTAH/WYOMING/IDAHO,12876,Investor Owned,WY,31943,0,5,13,66,524,8100,9470,5382,3842,4380,161
MONTANA - DAKOTA UTILITIES CO,12684,Investor Owned,WY,19867,2254,3,101,521,1922,2812,2230,2192,3991,3670,171
FRANNIE - DEAVER UTILITIES,5580,Investor Owned,WY,285,0,0,0,0,0,21,49,52,61,101,1
"PINEDALE NATURAL GAS, INC",967,Privately Owned,WY,1817,0,0,0,0,0,7,6,445,754,523,82
