,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
39,Units in Structure: 1 ATTACHED,WV,16084,17559,15630,18088,18604,21591,20336,19857,18855,18937
40,Units in Structure: 1 DETACHED,WV,619518,622230,622101,622204,621020,623756,622524,626976,633400,638080
41,Units in Structure: 10-19,WV,14776,14501,15512,13440,15038,16840,16570,14678,15698,15196
42,Units in Structure: 2,WV,19105,19045,20801,19913,19137,16763,17682,19699,17514,19452
43,Units in Structure: 20-49,WV,8085,8684,11289,10402,9123,9578,10657,10845,9605,10725
44,Units in Structure: 3-4,WV,22703,27890,24877,25892,24030,27579,23209,26410,25458,28169
45,Units in Structure: 5-9,WV,26029,25648,26074,25919,27436,26129,26139,25517,25919,25424
46,Units in Structure: 50+,WV,14067,13536,12486,11278,13437,13240,13133,13582,13255,13418
47,"Units in Structure: Boat,RV,Van,Etc.",WV,188,376,117,578,572,845,319,498,579,679
48,Units in Structure: Mobile Home,WV,141658,132352,133913,131710,136177,129218,136141,134178,133459,124903
