Operator Name,Operator ID,Operator Type,State,Total Services,Services from Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
Statewide Total,,Total,WA,1313667,8533,17,6,13992,140889,102814,145583,384992,314919,187869,14053
Statewide Total,,Cooperative,WA,0,0,0,0,0,0,0,0,0,0,0,0
Statewide Total,,Privately Owned,WA,84165,2445,0,0,11,372,606,3164,29103,28298,17663,2503
Statewide Total,,Investor Owned,WA,1219668,5593,17,6,12899,139546,101888,142049,353043,284553,168809,11265
Statewide Total,,Municipal Owned,WA,9834,495,0,0,1082,971,320,370,2846,2068,1397,285
AVISTA CORP,31232,Investor Owned,WA,165333,1761,0,0,7462,23411,15981,10490,49057,28038,27085,2048
PUGET SOUND ENERGY,22189,Investor Owned,WA,829368,0,0,0,0,89447,67631,111040,240817,206330,107681,6422
NORTHWEST NATURAL GAS CO,13840,Privately Owned,WA,84165,2445,0,0,11,372,606,3164,29103,28298,17663,2503
"ENUMCLAW GAS DEPT, CITY OF",4500,Municipal Owned,WA,4949,495,0,0,75,141,141,212,1967,782,908,228
"ELLENSBURG GAS DEPT, CITY OF",4400,Municipal Owned,WA,4885,0,0,0,1007,830,179,158,879,1286,489,57
CASCADE NATURAL GAS CORP,2128,Investor Owned,WA,224967,3832,17,6,5437,26688,18276,20519,63169,50185,34043,2795
