,Operator Name,Operator ID,Operator Type,State,Total Main Miles,Main Mileage Average Age,Main Miles over 50 Years Old,Main Miles Built in Unknown Decade,Main Miles Built Pre-1940,Main Miles Built 1940-49,Main Miles Built 1950-59,Main Miles Built 1960-69,Main Miles Built 1970-79,Main Miles Built 1980-89,Main Miles Built 1990-99,Main Miles Built 2000-09,Main Miles Built 2010-19,Main Miles Built 2020-29
0,Statewide Total,,Total,NY,49596.612,33.8421052631579,15450,391.0,4191.0,928.0,5041.0,7931.0,4181.0,5486.0,7687.0,6212.0,7011.0,533.0
1,Statewide Total,,Cooperative,NY,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Statewide Total,,Privately Owned,NY,584.719,23.0,126,47.0,0.0,0.0,0.0,123.0,22.0,40.0,157.0,58.0,131.0,4.0
3,Statewide Total,,Investor Owned,NY,48959.897,39.833333333333336,15311,344.0,4188.0,928.0,5033.0,7804.0,4152.0,5443.0,7525.0,6150.0,6861.0,527.0
4,Statewide Total,,Municipal Owned,NY,51.995999999999995,25.0,13,0.0,3.0,0.0,7.0,3.0,7.0,3.0,4.0,2.0,17.0,1.0
5,VILLAGE OF HAMILTON MUNICIPAL GAS UTILITY,39261,Municipal Owned,NY,15.4,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,0.3
6,"NEA CROSS OF NY, INC.",32201,Privately Owned,NY,63.7,24.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.9,8.8,0.0,0.0
7,CHAUTAUQUA UTILITIES INCORPORATED,32133,Privately Owned,NY,15.039,15.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.233,0.806,0.0
8,"VALLEY ENERGY, INC.",21030,Investor Owned,NY,35.125,32.0,7,0.0,0.0,0.0,0.0,6.997,5.972,5.353,4.238,8.629,3.81,0.164
9,ST LAWRENCE GAS CO INC,18084,Privately Owned,NY,384.65,30.0,126,0.0,0.0,0.0,0.0,123.0,20.0,19.0,78.0,27.0,113.3,4.33
10,ROCHESTER GAS & ELECTRIC CORP,17570,Investor Owned,NY,4914.11,37.0,1729,2.27,10.2,9.88,518.53,1103.58,581.23,691.17,759.25,640.87,567.5,29.64
11,RESERVE GAS CO INC,17240,Privately Owned,NY,47.33,20.0,0,6.0,0.0,0.0,0.0,0.0,2.0,8.0,11.0,7.91,12.32,0.09
12,ORANGE & ROCKLAND UTILITY INC,14330,Investor Owned,NY,1876.3,32.0,499,6.4,3.7,1.2,76.9,390.0,204.4,246.6,326.7,296.4,300.9,23.2
13,NIAGARA MOHAWK POWER CORP,13480,Investor Owned,NY,8880.538,40.0,3366,0.0,266.397,39.369,1564.197,1619.485,693.307,1213.003,1707.963,873.664,829.761,73.392
14,NEW YORK STATE ELECTRIC & GAS CORP,13420,Investor Owned,NY,4841.04,37.0,1695,327.52,22.51,54.52,659.35,886.34,272.47,479.42,1136.58,539.55,441.0,21.79
15,NATIONAL FUEL GAS SUPPLY CORP,13063,Investor Owned,NY,16.652,60.0,0,0.0,8.892,0.0,0.0,0.18,0.4,0.0,1.69,5.49,0.0,0.0
16,NATIONAL FUEL GAS DISTRIBUTION CORP - NEW YORK,13062,Investor Owned,NY,9758.224,39.0,2683,0.413,738.532,151.895,549.272,1668.82,1078.147,1496.602,1554.898,1113.949,1290.022,115.674
17,KEYSPAN ENERGY DELIVERY - LONG ISLAND,11713,Investor Owned,NY,8325.198,40.0,3274,0.0,720.24,396.96,1058.257,1332.347,600.974,459.656,806.479,1412.583,1439.461,98.241
18,FILLMORE GAS CO INC,5160,Privately Owned,NY,74.0,26.0,0,41.0,0.0,0.0,0.0,0.0,0.0,13.0,14.0,1.0,5.0,0.0
19,CORNING NATURAL GAS CORP,2800,Investor Owned,NY,426.96,32.0,132,7.6,8.76,4.51,50.34,69.43,22.45,37.74,46.43,59.66,111.78,8.26
20,CONSOLIDATED EDISON CO OF NEW YORK,2704,Investor Owned,NY,4398.0,46.0,639,0.0,1217.0,96.0,203.0,203.0,277.0,341.0,566.0,530.0,901.0,64.0
21,CENTRAL HUDSON GAS & ELECTRIC CORP,2196,Investor Owned,NY,1305.0,35.0,234,0.0,129.5,5.8,69.4,138.2,102.3,168.6,215.9,218.7,241.6,15.0
22,KEYSPAN ENERGY DELIVERY - NY CITY,1800,Investor Owned,NY,4182.75,48.0,1053,0.0,1062.846,168.039,284.522,386.075,313.589,304.125,398.903,451.481,734.862,78.308
23,BATH ELECTRIC GAS & WATER SYSTEMS,1168,Municipal Owned,NY,36.596,45.0,13,0.0,3.036,0.707,7.301,3.993,7.357,3.01,4.64,2.973,2.802,0.777
