,State,Metric Type,Metric Name,Units,Household Income,Electricity Payments ($),Gas Payments ($),Fuel Oil Payments ($),Energy Burden (% Income)
1,NC,Tenure,OWNER,2548692.0,87897.07,1624.77,464.16,42.66,2.4299999999999997
2,NC,Tenure,RENTER,1369892.0,42941.91,1266.68,177.21,17.18,3.4000000000000004
3,NC,Year Built,1940-59,406186.11,53867.5,1472.58,482.51,79.49,3.7800000000000002
4,NC,Year Built,1960-79,889605.255,56836.66,1509.49,374.47,51.61,3.4099999999999997
5,NC,Year Built,1980-99,1409845.524,72429.89,1524.91,308.73,20.04,2.56
6,NC,Year Built,2000-09,792793.056,92590.46,1529.13,365.97,12.26,2.06
7,NC,Year Built,2010+,231404.217,96802.82,1249.07,258.08,6.05,1.5599999999999998
8,NC,Year Built,BEFORE 1940,188749.837,66147.42,1504.88,590.77,77.76,3.29
9,NC,Building Type,1 ATTACHED,167998.517,70967.14,986.84,261.46,6.39,1.77
10,NC,Building Type,1 DETACHED,2635766.968,85213.74,1631.69,477.52,43.09,2.53
11,NC,Building Type,MOBILE_TRAILER,464662.654,40632.78,1809.9,179.6,34.36,4.9799999999999995
12,NC,Building Type,10-19 UNIT,158594.208,45988.66,847.43,40.53,1.53,1.9300000000000002
13,NC,Building Type,2 UNIT,72111.659,31019.39,1091.64,131.74,7.57,3.9699999999999998
14,NC,Building Type,3-4 UNIT,100051.289,32559.33,962.95,95.66,3.69,3.26
15,NC,Building Type,5-9 UNIT,159446.936,39260.51,945.71,62.33,1.79,2.5700000000000003
16,NC,Building Type,BOAT_RV_VAN,2173.759,24245.94,588.21,218.65,8.73,3.36
17,NC,Building Type,50+ UNIT,67451.06,57859.57,599.62,27.16,1.18,1.09
18,NC,Building Type,20-49 UNIT,90326.951,49138.36,738.94,22.01,1.0,1.55
19,NC,Heating Fuel,BOTTLED GAS,276814.0,69118.83,1604.61,1686.53,66.53,4.859999999999999
20,NC,Heating Fuel,ELECTRICITY,2465225.0,64017.07,1614.5,110.26,11.95,2.71
21,NC,Heating Fuel,OTHER,6242.0,55458.36,1056.74,279.17,146.43,2.67
22,NC,Heating Fuel,SOLAR,1597.0,77575.03,807.48,116.26,13.27,1.21
23,NC,Heating Fuel,UTILITY GAS,956931.0,99857.34,1209.59,686.59,13.35,1.91
24,NC,Heating Fuel,WOOD,70306.0,51998.49,1422.97,146.52,158.61,3.32
25,NC,Heating Fuel,COAL,727.0,31188.14,824.57,30.29,118.15,3.1199999999999997
26,NC,Heating Fuel,NONE,16560.0,43078.08,1100.59,59.62,7.73,2.71
27,NC,Heating Fuel,FUEL OIL,124182.0,44131.2,1350.66,135.44,477.49,4.45
28,NC,Percent of FPL,0-100%,517221.968,9933.07,1449.58,264.27,37.61,17.630000000000003
29,NC,Percent of FPL,100-150%,383648.419,21990.97,1459.21,298.91,43.94,8.19
30,NC,Percent of FPL,150-200%,373276.583,31369.19,1485.44,320.57,41.28,5.89
31,NC,Percent of FPL,200-400%,1202585.757,53083.33,1507.09,342.58,35.33,3.55
32,NC,Percent of FPL,400%+,1441851.274,134360.12,1525.67,445.78,26.4,1.49
