,Operator Name,Operator ID,Operator Type,State,Total Main Miles,Main Mileage Average Age,Main Miles over 50 Years Old,Main Miles Built in Unknown Decade,Main Miles Built Pre-1940,Main Miles Built 1940-49,Main Miles Built 1950-59,Main Miles Built 1960-69,Main Miles Built 1970-79,Main Miles Built 1980-89,Main Miles Built 1990-99,Main Miles Built 2000-09,Main Miles Built 2010-19,Main Miles Built 2020-29
0,Statewide Total,,Total,OH,59526.526999999995,26.146341463414632,16097,6605.0,1766.0,910.0,4367.0,9269.0,4347.0,6030.0,9054.0,7837.0,8566.0,769.0
1,Statewide Total,,Cooperative,OH,2678.544,16.8,117,113.0,16.0,7.0,14.0,66.0,156.0,261.0,381.0,665.0,862.0,133.0
2,Statewide Total,,Privately Owned,OH,4609.386,29.42105263157895,1308,86.0,16.0,149.0,399.0,580.0,228.0,440.0,1043.0,965.0,656.0,44.0
3,Statewide Total,,Investor Owned,OH,51672.011,34.0,14551,6403.0,1729.0,730.0,3922.0,8581.0,3925.0,5239.0,7434.0,6141.0,6976.0,586.0
4,Statewide Total,,Municipal Owned,OH,566.586,23.5,121,2.0,4.0,22.0,32.0,40.0,36.0,88.0,195.0,65.0,71.0,6.0
5,AUSTIN POWDER COMPANY,38953,Privately Owned,OH,3.64,26.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.64,0.0,0.0,0.0
6,"CONSOLIDATED GAS COOPERATIVE, INC.",36724,Cooperative,OH,6.14,11.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.94,1.41,0.79
7,OAKWOOD MUNICIPAL GAS,32594,Municipal Owned,OH,13.738,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.288,0.45
8,"GLENWOOD ENERGY OF OXFORD, INC.",32397,Privately Owned,OH,84.0,40.0,45,0.0,0.0,0.0,0.0,45.0,2.0,2.0,19.0,9.0,7.0,0.0
9,"COBRA PIPELINE COMPANY, LTD.",32379,Privately Owned,OH,98.207,39.0,20,0.0,2.162,0.002,9.436,10.619,2.688,63.677,0.16,0.05,9.413,0.0
10,"GRANGER ENERGY OF LAKE COUNTY, LLC",32192,Privately Owned,OH,4.0,16.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
11,BRIGHT ENERGY,32173,Cooperative,OH,79.6,14.0,0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,9.5,8.5,47.3,1.3
12,"ROSS ENERGY, LLC",32092,Privately Owned,OH,2.719,16.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.719,0.0,0.0
13,"KNOX ENERGY COOPERATIVE ASSOCIATION, INC. C/O UTILITY PIPELINE, LTD.",32086,Cooperative,OH,657.16,14.0,8,0.0,0.0,0.0,0.0,6.17,18.5,31.5,52.3,305.8,178.18,64.72
14,"MADISON ENERGY COOPERATIVE ASSOCIATION, INC. C/O UTILITY PIPELINE, LTD.",32085,Cooperative,OH,245.86,23.0,3,0.0,0.0,0.0,0.0,3.19,0.0,81.43,59.14,50.5,46.02,5.58
15,"VILLAGE ENERGY COOPERATIVE ASSOCIATION, INC. C/O UTILITY PIPELINE, LTD.",32084,Cooperative,OH,83.49,15.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.95,22.1,25.56,5.88
16,"NGO TRANSMISSION, INC.",32034,Cooperative,OH,53.613,36.0,12,0.0,0.0,0.609,6.107,3.441,14.475,12.339,4.727,0.838,10.07,0.98
17,THE VILLAGE OF OBETZ,31985,Municipal Owned,OH,7.546,16.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.054,3.875,1.617,0.0
18,ALL AMERICAN ENERGY,31959,Cooperative,OH,70.4,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.15,44.17,0.08
19,CONSUMERS GAS COOPERATIVE,31521,Cooperative,OH,456.0,5.0,0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,298.0,35.0
20,VECTREN ENERGY DELIVERY OF OHIO,31470,Investor Owned,OH,5562.561,36.0,1870,704.32,40.828,52.566,509.612,1208.242,318.819,519.333,776.128,550.311,783.637,98.765
21,COMMUNITY ENERGY RESOURCE COOPERATIVE,31413,Cooperative,OH,29.281,15.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.747,14.141,8.394,0.0
22,KNG ENERGY INC,30930,Investor Owned,OH,140.97,27.0,33,0.0,0.0,0.0,33.13,0.0,0.0,0.5,32.0,38.9,35.92,0.521
23,EASTERN NATURAL GAS CO,26358,Privately Owned,OH,231.0,38.0,64,0.0,8.0,3.0,10.0,44.0,30.0,31.0,64.0,29.0,11.0,1.0
24,WILLIAMSPORT CORP,22623,Municipal Owned,OH,7.716,41.0,0,0.0,0.0,0.0,0.0,0.0,6.485,0.438,0.103,0.122,0.568,0.0
25,WATERVILLE GAS & OIL CO,22238,Privately Owned,OH,135.0,21.0,9,0.0,0.0,0.0,2.0,7.0,5.0,17.0,23.0,50.0,28.0,3.0
26,WATERVILLE GAS CO,22236,Privately Owned,OH,1.0,26.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
27,"VERONA GAS DEPT, VILLAGE OF",21200,Municipal Owned,OH,6.28,14.0,0,2.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.38,0.06
28,SUBURBAN NATURAL GAS COMPANY,18680,Privately Owned,OH,520.0,27.0,116,0.0,6.0,28.0,29.0,31.0,0.0,51.0,105.0,168.0,89.0,13.0
29,SWICKARD GAS CO,18369,Privately Owned,OH,17.0,38.0,2,9.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0
30,SHELDON GAS CO,18272,Privately Owned,OH,44.0,31.0,2,21.0,0.0,0.0,0.0,2.0,5.0,0.0,14.0,0.0,2.0,0.0
31,PIKE NATURAL GAS CO,15546,Privately Owned,OH,301.73,41.0,142,0.0,0.0,0.0,129.3,11.0,11.8,8.0,54.0,65.9,19.3,2.4
32,PIEDMONT GAS CO,15515,Privately Owned,OH,114.59,19.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,52.0,28.94,25.47,1.18
33,OHIO VALLEY GAS CORP,14180,Investor Owned,OH,19.545,40.0,8,0.955,0.0,1.641,1.839,3.138,3.843,1.145,0.9,5.337,0.748,0.0
34,OHIO GAS CO,14130,Privately Owned,OH,1243.9,42.0,588,36.5,0.0,0.0,191.2,375.8,144.3,128.7,151.4,114.0,95.6,6.4
35,OHIO CUMBERLAND GAS CO,14121,Privately Owned,OH,74.0,25.0,0,0.0,0.0,0.0,0.0,0.0,2.0,26.0,22.0,12.0,12.0,0.0
36,NORTHERN INDUSTRIAL ENERGY DEVELOPMENT INC,13725,Privately Owned,OH,10.0,16.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0
37,NORTHEAST OHIO NATURAL GAS CORP,13635,Privately Owned,OH,1594.4,23.0,284,12.66,0.0,118.89,16.1,29.6,10.0,70.83,507.05,466.95,346.38,15.93
38,NATIONAL GAS & OIL CORP,13302,Cooperative,OH,997.0,26.0,94,0.0,16.0,7.0,8.0,54.0,124.0,123.0,219.0,224.0,203.0,19.0
39,"LANCASTER MUNICIPAL GAS CO, CITY OF",11208,Municipal Owned,OH,256.306,30.0,43,0.0,4.76,3.418,4.039,28.348,30.027,37.469,56.679,40.516,46.483,4.567
40,"HAMILTON GAS DEPT, CITY OF",7040,Municipal Owned,OH,275.0,35.0,78,0.0,0.0,19.0,28.0,12.0,0.0,51.0,137.0,18.0,9.0,1.0
