,Operator Name,Operator ID,Operator Type,State,Total Main Miles,Main Mileage Average Age,Main Miles over 50 Years Old,Main Miles Built in Unknown Decade,Main Miles Built Pre-1940,Main Miles Built 1940-49,Main Miles Built 1950-59,Main Miles Built 1960-69,Main Miles Built 1970-79,Main Miles Built 1980-89,Main Miles Built 1990-99,Main Miles Built 2000-09,Main Miles Built 2010-19,Main Miles Built 2020-29
0,Statewide Total,,Total,AL,32550.225000000006,29.89189189189189,8264,2088.0,189.0,363.0,3620.0,3551.0,2568.0,3315.0,7443.0,4484.0,4369.0,555.0
1,Statewide Total,,Cooperative,AL,12.4,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0
2,Statewide Total,,Privately Owned,AL,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Statewide Total,,Investor Owned,AL,13885.479,30.666666666666668,4445,472.0,189.0,284.0,1856.0,1802.0,1446.0,1514.0,2711.0,1847.0,1611.0,148.0
4,Statewide Total,,Municipal Owned,AL,18652.346,30.2,3819,1616.0,0.0,78.0,1763.0,1749.0,1122.0,1801.0,4731.0,2637.0,2745.0,406.0
5,UPPER SAND MOUNTAIN GAS DISTRICT,39315,Municipal Owned,AL,76.141,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.656,0.485
6,COOPERATIVE DISTRICT FOR NORTHEAST ALABAMA GAS,38918,Cooperative,AL,12.4,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,0.0
7,WHEELER BASIN NATURAL GAS CO,31157,Investor Owned,AL,255.909,22.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,16.0,39.54,2.369
8,EAST CENTRAL ALABAMA GAS DISTRICT,30530,Municipal Owned,AL,244.3,41.0,122,0.0,0.0,0.0,117.0,5.0,0.0,8.0,25.0,64.8,22.35,2.15
9,"YORK GAS DEPT, CITY OF",24040,Municipal Owned,AL,41.0,55.0,28,0.0,0.0,0.0,23.0,5.0,0.0,13.0,0.0,0.0,0.0,0.0
10,WILTON GAS DEPT,22693,Municipal Owned,AL,5.0,62.0,5,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
11,WILCOX COUNTY GAS DISTRIBUTION,22605,Municipal Owned,AL,68.0,40.0,43,0.0,0.0,0.0,0.0,43.0,0.0,1.0,3.0,9.0,10.75,1.25
12,WEST JEFFERSON GAS SYSTEM,22406,Municipal Owned,AL,30.0,56.0,30,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
13,WEDOWEE UTILITIES GAS BOARD,22322,Municipal Owned,AL,59.0,26.0,0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
14,WADLEY GAS SYSTEMS,22014,Municipal Owned,AL,9.0,0.0,0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
