,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
7,"Household Income: $10,000 to $14,999",IA,70892,72377,68229,63335,62895,64033,54335,54969,54690,52788
8,"Household Income: $100,000 to $124,999",IA,84392,90237,94784,99935,102938,106610,109741,121816,118937,129838
9,"Household Income: $125,000 to $149,999",IA,41683,42479,48162,53519,55206,56383,63823,66138,71122,73169
10,"Household Income: $15,000 to $19,999",IA,71961,66215,63089,61066,66323,60543,58382,60428,55490,51996
11,"Household Income: $150,000 to $199,999",IA,34160,38640,38277,43696,50313,49121,56555,62762,62459,70712
12,"Household Income: $20,000 to $24,999",IA,75717,69428,71288,68450,66647,65270,64916,63139,58727,55813
13,"Household Income: $200,000 or more",IA,25374,30016,33425,39105,41471,41639,49103,50904,59273,63859
14,"Household Income: $25,000 to $29,999",IA,73659,69576,70727,61757,61517,63398,63190,54974,56864,53262
15,"Household Income: $30,000 to $34,999",IA,69207,71627,67237,70993,63337,63551,63714,61465,62828,64428
16,"Household Income: $35,000 to $39,999",IA,65814,64544,61255,64753,61886,58372,57855,60300,57372,55396
17,"Household Income: $40,000 to $44,999",IA,65745,66110,65096,65275,66920,61008,62133,63434,60604,64728
18,"Household Income: $45,000 to $49,999",IA,63186,52908,52030,53236,50259,56127,55490,54997,53825,53469
19,"Household Income: $50,000 to $59,999",IA,108075,109101,111399,108299,109336,111835,106820,102707,104449,106115
20,"Household Income: $60,000 to $74,999",IA,142073,137759,140509,138839,139212,142918,135524,139679,139857,145070
21,"Household Income: $75,000 to $99,999",IA,153171,154402,161227,164665,167914,173284,173355,175576,181944,181075
22,"Household Income: Less than $10,000",IA,78330,81346,80314,79286,75297,73157,72996,64217,69432,65503
23,Household Income: Total:,IA,1223439,1216765,1227048,1236209,1241471,1247249,1247932,1257505,1267873,1287221
24,Median Household Income,IA,47961.0,49427.0,50957.0,52229.0,53712.0,54736.0,56247.0,58570.0,59955.0,61691.0
