,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Natural Gas Citygate Price in New Jersey, Annual (Dollars per Thousand Cubic Feet)",5.34,6.41,5.33,7.16,7.82,9.7,10.85,10.21,11.42,9.15,8.41,7.53,6.74,6.21,6.21,4.87,3.93,4.27,4.68,4.83
"New Jersey Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",7.28,7.63,7.23,8.51,11.59,10.47,14.91,14.48,15.21,14.54,12.84,11.78,11.09,10.89,9.69,8.32,8.3,9.14,9.09,9.73
"New Jersey Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",5.92,7.91,6.26,8.74,10.97,10.99,12.98,12.1,13.38,10.2,10.11,9.51,8.5,9.55,10.08,8.5,7.93,9.14,9.01,9.05
"Electricity price in the residential sector, New Jersey (Dollars per million Btu)",30.11,29.92,30.42,31.29,32.93,34.4,37.64,41.44,45.91,47.81,48.56,47.58,46.26,46.1,46.24,46.34,46.08,45.86,45.16,46.45
"Electricity price in the commercial sector, New Jersey (Dollars per million Btu)",26.89,26.7,26.24,26.69,29.2,31.09,34.06,38.07,41.13,40.57,40.7,39.47,37.45,37.44,38.53,37.48,35.93,35.99,35.78,35.86
Natural Gas Citygate Price $/Tcf (Inflation Adjusted to 2019 USD),3.59669270456439,4.438982605328317,3.749970115742823,5.15323504907042,5.778381478019034,7.40883111091988,8.55418985891032,8.28068608621843,9.615379753024607,7.679431690611884,7.173861288543455,6.624878996139299,6.052773251242897,5.658575960383802,5.749982006860862,4.514712285793635,3.6894526956460516,4.094341627127395,4.596689105936562,4.83
Natural Gas Residential Price $/Tcf (Inflation Adjusted to 2019 USD),4.903356346297521,5.283843569212957,5.086732445932572,6.124864562512468,8.564122932255831,7.9969548176630045,11.755112515792892,11.743813372031623,12.806473383844509,12.20316248978107,10.952720445291078,10.364020527824826,9.95923669974536,9.923010017484637,8.972194145971297,7.713019757249085,7.791973886478939,8.764000578909695,8.928184609607554,9.73
Natural Gas Commercial Price $/Tcf (Inflation Adjusted to 2019 USD),3.987344721165017,5.47774608551435,4.404280098414648,6.2904014425803725,8.105990385405217,8.39412926897005,10.233491646880733,9.813545704529187,11.265655087168936,8.560677950190296,8.623987827250218,8.366879050901026,7.6333193821312495,8.7019968472891,9.333304127078502,7.879887973151108,7.44462083370819,8.764000578909695,8.849608727454791,9.05
Electricity Residential Price $/MMBtu (Inflation Adjusted to 2019 USD),20.28022796524977,20.719868884777416,21.40226846545904,22.520212944890144,24.332749625468896,26.27461754800452,29.675548966763543,33.60936644592475,38.655173770697,40.12607968613707,41.422438070353174,41.860789194728795,41.543218190281365,42.00649787015995,42.81468083691567,42.959295138332045,43.25953695047584,43.973420847789775,44.356085475234,46.45
Electricity Commercial Price $/MMBtu (Inflation Adjusted to 2019 USD),18.11143573515664,18.489989947311393,18.46139133904159,19.209475343532056,21.57656510973859,23.74644940603083,26.853060515620786,30.876172311688112,34.630522700691955,34.04967690580592,34.717735367861906,34.725627354265356,33.63150716009592,34.115472456806685,35.67581428733479,34.74567073337688,33.730797800143165,34.50945085721662,35.143063292822696,35.86
Inflation Adjustment Factor (2019),0.6735379596562528,0.692508986790689,0.7035591211524996,0.7197255655126285,0.7389234626622805,0.7637970217443175,0.7884045952912737,0.8110368350850568,0.8419772112981267,0.8392821519794409,0.853015611003978,0.8797980074554181,0.8980375743683823,0.9112038583548795,0.9259230284800101,0.9270456439001303,0.9387920345155347,0.9588622077581722,0.9821985269095219,1.0
