Operator Name,Operator ID,Operator Type,State,Total Main Miles,Main Mileage Average Age,Main Miles over 50 Years Old,Main Miles Built in Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
Statewide Total,,Total,MD,15391.769,22.8,4352,17.0,823.0,233.0,1403.0,2309.0,1152.0,1089.0,3712.0,2568.0,1893.0,188.0
Statewide Total,,Cooperative,MD,25.32,8.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,8.0
Statewide Total,,Privately Owned,MD,6330.922,22.25,1987,9.0,56.0,76.0,602.0,1157.0,505.0,680.0,1386.0,1149.0,661.0,47.0
Statewide Total,,Investor Owned,MD,8933.027,26.75,2360,7.0,766.0,157.0,801.0,1147.0,640.0,400.0,2300.0,1357.0,1219.0,132.0
Statewide Total,,Municipal Owned,MD,102.5,22.0,5,0.0,0.0,0.0,0.0,4.0,7.0,8.0,26.0,48.0,9.0,0.0
SANDPIPER ENERGY,39102,Investor Owned,MD,32.425,22.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.914,5.967,2.544,0.0
SANDPIPER ENERGY,39102,Investor Owned,MD,287.988,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,174.532,84.152,28.789,0.479
PETROLEUM EQUIPMENT TA (FOR POORES PROPANE LP SYSTEMS),37276,Privately Owned,MD,6.12,15.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.42,0.0
"DEEP CREEK MOUNTAIN UTILITIES, LLC",37083,Cooperative,MD,17.34,11.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.003,3.137,3.2
CRISFIELD HOUSING AUTHORITY,37066,Privately Owned,MD,0.9,26.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0
SHARPGAS INC DBA SHARP ENERGY,32347,Investor Owned,MD,20.98,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84,4.63,14.51,0.0
AERO ENERGY,32170,Cooperative,MD,7.98,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,5.18
THOMPSON GAS INC,31807,Privately Owned,MD,40.392,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,25.08,12.684,0.528
WASHINGTON GAS LIGHT CO,22182,Privately Owned,MD,6283.51,35.0,1987,9.13,56.64,76.11,602.02,1157.31,505.22,680.53,1383.04,1118.28,648.64,46.58
"UGI UTILITIES, INC",20010,Investor Owned,MD,23.0,38.0,12,0.0,0.0,0.0,0.0,12.0,1.0,2.0,1.0,4.0,1.0,2.0
ELKTON GAS,4376,Investor Owned,MD,105.799,30.0,18,6.788,0.0,0.0,0.204,16.867,8.128,7.805,36.411,23.476,5.956,0.164
EASTON UTILITIES COMMISSION,4190,Municipal Owned,MD,102.5,22.0,5,0.0,0.0,0.0,0.0,4.0,7.0,8.0,26.0,48.0,9.0,0.5
COLUMBIA GAS OF MARYLAND INC,2588,Investor Owned,MD,662.2,31.0,146,1.1,16.6,9.3,39.8,79.4,57.8,99.1,113.3,101.6,122.2,22.0
CHESAPEAKE UTILITIES CORPORATION,2309,Investor Owned,MD,318.855,24.0,38,0.0,0.665,0.335,0.816,34.163,16.927,37.318,72.289,90.07,62.815,3.457
BALTIMORE GAS AND ELECTRIC COMPANY,1088,Investor Owned,MD,7481.78,39.0,2146,0.0,749.17,148.23,760.68,1005.49,556.69,254.52,1877.31,1043.68,981.89,104.12
