Operator Name,Operator ID,Operator Type,State,Total Services,Services from Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
Statewide Total,,Total,MD,1071521,3467,33557,19138,63147,84447,102581,108051,213686,204532,211131,27784
Statewide Total,,Cooperative,MD,798,0,0,0,0,0,0,0,0,322,456,20
Statewide Total,,Privately Owned,MD,452595,995,448,488,28624,58479,44175,50079,87526,96724,77943,7114
Statewide Total,,Investor Owned,MD,613787,540,33109,18650,34523,25934,58395,57868,125650,106136,132392,20590
Statewide Total,,Municipal Owned,MD,4341,1932,0,0,0,34,11,104,510,1350,340,60
SANDPIPER ENERGY,39102,Investor Owned,MD,2490,0,0,0,0,0,0,432,1386,524,148,0
SANDPIPER ENERGY,39102,Investor Owned,MD,9902,0,0,0,0,0,0,334,5645,2630,1100,193
PETROLEUM EQUIPMENT TA (FOR POORES PROPANE LP SYSTEMS),37276,Privately Owned,MD,582,0,0,0,0,0,0,0,0,346,185,51
"DEEP CREEK MOUNTAIN UTILITIES, LLC",37083,Cooperative,MD,255,0,0,0,0,0,0,0,0,134,101,20
CRISFIELD HOUSING AUTHORITY,37066,Privately Owned,MD,80,0,0,0,0,0,0,0,80,0,0,0
SHARPGAS INC DBA SHARP ENERGY,32347,Investor Owned,MD,890,0,0,0,0,0,0,0,10,278,575,27
AERO ENERGY,32170,Cooperative,MD,543,0,0,0,0,0,0,0,0,188,355,0
THOMPSON GAS INC,31807,Privately Owned,MD,2085,0,0,0,0,0,0,0,28,1309,683,65
WASHINGTON GAS LIGHT CO,22182,Privately Owned,MD,449848,995,448,488,28624,58479,44175,50079,87418,95069,77075,6998
"UGI UTILITIES, INC",20010,Investor Owned,MD,569,6,0,0,0,55,8,74,130,242,53,1
ELKTON GAS,4376,Investor Owned,MD,5388,534,0,0,0,761,329,230,1462,1387,675,10
EASTON UTILITIES COMMISSION,4190,Municipal Owned,MD,4341,1932,0,0,0,34,11,104,510,1350,340,60
COLUMBIA GAS OF MARYLAND INC,2588,Investor Owned,MD,35037,0,1320,1147,3151,1964,665,3577,6667,5789,9484,1273
CHESAPEAKE UTILITIES CORPORATION,2309,Investor Owned,MD,13913,0,0,35,229,1330,802,1402,2644,4201,2963,307
BALTIMORE GAS AND ELECTRIC COMPANY,1088,Investor Owned,MD,545598,0,31789,17468,31143,21824,56591,51819,107706,91085,117394,18779
