,state,fips code,county,sector,pollutant desc,pollutant type(s),total emissions,emissions uom
0,MN,27001,Aitkin,Mobile - On-Road non-Diesel Heavy Duty Vehicles,Methane,GHG,0.3739813043,TON
1,IA,19155,Pottawattamie,Mobile - On-Road Diesel Heavy Duty Vehicles,Methane,GHG,31.182599172,TON
2,IA,19059,Dickinson,Mobile - On-Road non-Diesel Heavy Duty Vehicles,Nitrous Oxide,GHG,0.065629435086,TON
3,TX,48141,El Paso,Mobile - On-Road Diesel Heavy Duty Vehicles,Methane,GHG,168.6164167,TON
4,WY,56037,Sweetwater,"Fuel Comb - Industrial Boilers, ICEs - Natural Gas",Methane,GHG,692.8474000059,TON
5,IN,18067,Howard,Fires - Prescribed Fires,Methane,GHG,0.160584,TON
6,MI,26081,Kent,Mobile - Non-Road Equipment - Gasoline,Methane,GHG,76.690531747,TON
7,AK,2122,Kenai Peninsula,Mobile - On-Road Diesel Heavy Duty Vehicles,Carbon Dioxide,GHG,82414.4095,TON
8,OK,40039,Custer,Mobile - On-Road non-Diesel Heavy Duty Vehicles,Carbon Dioxide,GHG,6132.88479,TON
9,IL,17001,Adams,Mobile - Non-Road Equipment - Gasoline,Methane,GHG,11.799719249949998,TON
10,PR,72129,San Lorenzo,Mobile - Non-Road Equipment - Diesel,Methane,GHG,0.1160210418,TON
11,GA,13295,Walker,Mobile - Non-Road Equipment - Gasoline,Carbon Dioxide,GHG,5302.86948162,TON
12,KY,21135,Lewis,Mobile - Non-Road Equipment - Gasoline,Carbon Dioxide,GHG,4138.52372213,TON
13,NC,37131,Northampton,Mobile - Non-Road Equipment - Gasoline,Methane,GHG,3.0761940064999997,TON
14,TX,48085,Collin,Mobile - Non-Road Equipment - Other,Carbon Dioxide,GHG,24748.5059401,TON
15,OK,40015,Caddo,Mobile - Non-Road Equipment - Gasoline,Methane,GHG,3.683683983035,TON
16,IA,19085,Harrison,Mobile - Non-Road Equipment - Diesel,Methane,GHG,1.0708553025,TON
17,OK,40005,Atoka,Mobile - On-Road non-Diesel Heavy Duty Vehicles,Methane,GHG,0.31008292406,TON
18,NE,31031,Cherry,Mobile - On-Road non-Diesel Light Duty Vehicles,Carbon Dioxide,GHG,38979.45248,TON
19,CO,8125,Yuma,Mobile - On-Road non-Diesel Light Duty Vehicles,Carbon Dioxide,GHG,44413.9508,TON
20,IL,17005,Bond,Mobile - On-Road non-Diesel Light Duty Vehicles,Methane,GHG,4.4476918439999995,TON
21,ID,16011,Bingham,Mobile - On-Road Diesel Heavy Duty Vehicles,Methane,GHG,12.237504422,TON
22,UT,49039,Sanpete,Mobile - On-Road non-Diesel Heavy Duty Vehicles,Nitrous Oxide,GHG,0.152845436,TON
23,TX,48293,Limestone,Industrial Processes - NEC,Nitrous Oxide,GHG,175.448307586,TON
24,KS,20083,Hodgeman,Fires - Prescribed Fires,Methane,GHG,54.928943000000004,TON
25,FL,12069,Lake,Mobile - Non-Road Equipment - Gasoline,Carbon Dioxide,GHG,94483.6362453,TON
26,PR,72091,Manati,Mobile - On-Road Diesel Light Duty Vehicles,Nitrous Oxide,GHG,0.0073720573,TON
27,OH,39155,Trumbull,Mobile - Non-Road Equipment - Gasoline,Carbon Dioxide,GHG,35143.83212613,TON
28,GA,13277,Tift,Mobile - Non-Road Equipment - Gasoline,Carbon Dioxide,GHG,5807.6359864,TON
29,KY,21067,Fayette,Fires - Prescribed Fires,Carbon Dioxide,GHG,5795.3688,TON
30,OK,40137,Stephens,Mobile - On-Road Diesel Light Duty Vehicles,Carbon Dioxide,GHG,13288.2095,TON
31,GA,13079,Crawford,Mobile - On-Road non-Diesel Light Duty Vehicles,Methane,GHG,2.5227487049,TON
32,KY,21113,Jessamine,Mobile - Non-Road Equipment - Other,Methane,GHG,1.5655701735,TON
33,TX,48435,Sutton,Mobile - Non-Road Equipment - Diesel,Methane,GHG,0.2636577346,TON
34,TX,48447,Throckmorton,Mobile - Non-Road Equipment - Other,Methane,GHG,0.047939839500000005,TON
35,NY,36037,Genesee,Mobile - On-Road non-Diesel Heavy Duty Vehicles,Methane,GHG,0.33139349030000004,TON
36,MS,28117,Prentiss,Mobile - On-Road Diesel Heavy Duty Vehicles,Carbon Dioxide,GHG,44549.6086,TON
37,VA,51570,Colonial Heights city,Mobile - On-Road non-Diesel Heavy Duty Vehicles,Carbon Dioxide,GHG,801.9332868,TON
38,KY,21047,Christian,Mobile - On-Road non-Diesel Heavy Duty Vehicles,Methane,GHG,0.43512599,TON
39,AZ,4015,Mohave,Mobile - Non-Road Equipment - Diesel,Methane,GHG,1.846240396,TON
40,AK,2016,Aleutians West,Mobile - Non-Road Equipment - Diesel,Methane,GHG,0.033042407,TON
41,IL,17013,Calhoun,Mobile - On-Road Diesel Heavy Duty Vehicles,Methane,GHG,0.27868975589,TON
42,MN,27007,Beltrami,Mobile - On-Road non-Diesel Light Duty Vehicles,Methane,GHG,11.236912937,TON
43,NC,37005,Alleghany,Mobile - On-Road Diesel Light Duty Vehicles,Carbon Dioxide,GHG,2653.9982800000002,TON
44,SC,45019,Charleston,Solvent - Industrial Surface Coating & Solvent Use,Methane,GHG,0.004209,TON
45,MS,28005,Amite,Industrial Processes - Oil & Gas Production,Carbon Dioxide,GHG,1652.0339999999999,TON
46,IA,19081,Hancock,Mobile - On-Road Diesel Heavy Duty Vehicles,Carbon Dioxide,GHG,18677.06491,TON
47,IL,17047,Edwards,Mobile - On-Road Diesel Heavy Duty Vehicles,Methane,GHG,0.5766265449600001,TON
48,MI,26127,Oceana,Mobile - Non-Road Equipment - Gasoline,Methane,GHG,16.751054759867,TON
49,MI,26127,Oceana,Mobile - Non-Road Equipment - Other,Methane,GHG,0.7203618137000001,TON
50,OH,39017,Butler,Mobile - Non-Road Equipment - Diesel,Methane,GHG,2.2506703373,TON
51,MI,26151,Sanilac,Mobile - Non-Road Equipment - Diesel,Methane,GHG,1.4728367112,TON
52,IN,18163,Vanderburgh,Mobile - Non-Road Equipment - Other,Carbon Dioxide,GHG,19147.052753599997,TON
53,MN,27171,Wright,Mobile - On-Road non-Diesel Heavy Duty Vehicles,Carbon Dioxide,GHG,13707.642502,TON
54,OH,39151,Stark,Industrial Processes - Non-ferrous Metals,Methane,GHG,0.048678,TON
55,TN,47093,Knox,Mobile - On-Road non-Diesel Light Duty Vehicles,Nitrous Oxide,GHG,66.73832222,TON
56,WI,55079,Milwaukee,Fuel Comb - Electric Generation - Coal,Sulfur Hexafluoride,GHG,0.0,TON
57,NJ,34039,Union,Mobile - Non-Road Equipment - Gasoline,Carbon Dioxide,GHG,69539.633776014,TON
58,WV,54029,Hancock,Mobile - Non-Road Equipment - Other,Carbon Dioxide,GHG,2506.073293665,TON
59,IL,17161,Rock Island,Fuel Comb - Comm/Institutional - Oil,Nitrous Oxide,GHG,5.5e-05,TON
60,GA,13257,Stephens,Mobile - On-Road Diesel Heavy Duty Vehicles,Methane,GHG,1.1203823249,TON
61,AL,1121,Talladega,Mobile - On-Road Diesel Heavy Duty Vehicles,Nitrous Oxide,GHG,0.2754051795,TON
62,MS,28005,Amite,Mobile - On-Road non-Diesel Light Duty Vehicles,Methane,GHG,2.577997405,TON
63,KY,21115,Johnson,Mobile - On-Road non-Diesel Heavy Duty Vehicles,Carbon Dioxide,GHG,2066.4374245999998,TON
64,GA,13167,Johnson,Mobile - On-Road non-Diesel Heavy Duty Vehicles,Methane,GHG,0.20065794071600002,TON
65,FL,12045,Gulf,Mobile - On-Road non-Diesel Light Duty Vehicles,Nitrous Oxide,GHG,1.9233070738999998,TON
66,VA,51595,Emporia city,Mobile - Non-Road Equipment - Gasoline,Methane,GHG,0.2823780857,TON
67,WV,54069,Ohio,Mobile - Non-Road Equipment - Diesel,Carbon Dioxide,GHG,9091.1144067,TON
68,AL,1039,Covington,Mobile - Non-Road Equipment - Other,Methane,GHG,1.6720673200999998,TON
69,WV,54075,Pocahontas,Mobile - Non-Road Equipment - Diesel,Carbon Dioxide,GHG,2059.98021,TON
70,KS,20021,Cherokee,Mobile - On-Road Diesel Heavy Duty Vehicles,Nitrous Oxide,GHG,0.08698926292000002,TON
71,TN,47173,Union,Mobile - On-Road non-Diesel Light Duty Vehicles,Nitrous Oxide,GHG,4.3558748015,TON
72,SD,46043,Douglas,Mobile - On-Road Diesel Light Duty Vehicles,Carbon Dioxide,GHG,1867.08107,TON
73,NV,32001,Churchill,Mobile - On-Road non-Diesel Heavy Duty Vehicles,Carbon Dioxide,GHG,1623.4471362,TON
74,MT,30011,Carter,Mobile - Non-Road Equipment - Other,Carbon Dioxide,GHG,39.5770579286,TON
75,TX,48415,Scurry,Mobile - On-Road non-Diesel Heavy Duty Vehicles,Methane,GHG,0.15880956699999998,TON
76,PR,72037,Ceiba,Mobile - On-Road Diesel Heavy Duty Vehicles,Methane,GHG,0.0898990196,TON
77,CO,8039,Elbert,Mobile - On-Road Diesel Light Duty Vehicles,Carbon Dioxide,GHG,20805.5005,TON
78,CO,8063,Kit Carson,Mobile - On-Road non-Diesel Heavy Duty Vehicles,Nitrous Oxide,GHG,0.031311221349999994,TON
79,IA,19169,Story,Mobile - Non-Road Equipment - Gasoline,Carbon Dioxide,GHG,18732.3616211,TON
80,AL,1051,Elmore,Fires - Prescribed Fires,Carbon Dioxide,GHG,59024.493461,TON
81,TN,47155,Sevier,Mobile - On-Road non-Diesel Heavy Duty Vehicles,Nitrous Oxide,GHG,0.37550124799999995,TON
82,WI,55095,Polk,Mobile - Non-Road Equipment - Diesel,Methane,GHG,0.35298925719999996,TON
83,WI,55111,Sauk,Mobile - Non-Road Equipment - Diesel,Carbon Dioxide,GHG,37687.02627,TON
84,TX,48263,Kent,Mobile - On-Road Diesel Light Duty Vehicles,Nitrous Oxide,GHG,0.00218302459,TON
85,WI,55059,Kenosha,Mobile - Non-Road Equipment - Other,Carbon Dioxide,GHG,9478.262949200001,TON
86,WY,56031,Platte,Mobile - Non-Road Equipment - Gasoline,Methane,GHG,3.8134809383999997,TON
87,OH,39175,Wyandot,Mobile - On-Road Diesel Heavy Duty Vehicles,Carbon Dioxide,GHG,73867.4552,TON
88,NC,37153,Richmond,Mobile - Non-Road Equipment - Other,Methane,GHG,2.1743414322,TON
89,AR,5141,Van Buren,Mobile - Non-Road Equipment - Diesel,Carbon Dioxide,GHG,7560.336037,TON
90,KY,21125,Laurel,"Fuel Comb - Industrial Boilers, ICEs - Natural Gas",Carbon Dioxide,GHG,3604.92,TON
91,TX,48335,Mitchell,Mobile - On-Road Diesel Heavy Duty Vehicles,Methane,GHG,7.5148713579,TON
92,KY,21187,Owen,Mobile - On-Road Diesel Heavy Duty Vehicles,Methane,GHG,0.314594848,TON
93,CA,6003,Alpine,Mobile - On-Road non-Diesel Heavy Duty Vehicles,Carbon Dioxide,GHG,267.2996,TON
94,AZ,4001,Apache,Mobile - Non-Road Equipment - Other,Methane,GHG,0.32893883100000004,TON
95,LA,22025,Catahoula,Mobile - On-Road Diesel Light Duty Vehicles,Carbon Dioxide,GHG,3165.057381,TON
96,CT,9013,Tolland,Fires - Prescribed Fires,Methane,GHG,6.188603,TON
97,MS,28085,Lincoln,Mobile - Non-Road Equipment - Diesel,Carbon Dioxide,GHG,10414.28259,TON
98,SD,46101,Moody,Mobile - Non-Road Equipment - Other,Carbon Dioxide,GHG,301.22579444,TON
99,ID,16001,Ada,Mobile - Non-Road Equipment - Other,Methane,GHG,19.331737787,TON
100,CO,8049,Grand,Mobile - Non-Road Equipment - Diesel,Carbon Dioxide,GHG,5885.3787111,TON
101,KS,20057,Ford,Mobile - On-Road non-Diesel Heavy Duty Vehicles,Carbon Dioxide,GHG,1917.8055370000002,TON
102,AR,5069,Jefferson,Mobile - On-Road non-Diesel Heavy Duty Vehicles,Methane,GHG,0.316822489,TON
103,GA,13313,Whitfield,Mobile - On-Road Diesel Light Duty Vehicles,Methane,GHG,0.8150861,TON
104,TX,48347,Nacogdoches,Mobile - On-Road Diesel Heavy Duty Vehicles,Nitrous Oxide,GHG,0.23205200010000002,TON
105,IL,17107,Logan,Mobile - On-Road non-Diesel Heavy Duty Vehicles,Methane,GHG,0.190641713134,TON
106,KY,21101,Henderson,Mobile - On-Road Diesel Heavy Duty Vehicles,Carbon Dioxide,GHG,84311.32114,TON
107,MI,26163,Wayne,Waste Disposal,Carbon Dioxide,GHG,0.0,TON
108,AR,5075,Lawrence,Mobile - On-Road non-Diesel Heavy Duty Vehicles,Nitrous Oxide,GHG,0.059550837,TON
109,GA,13193,Macon,Mobile - Non-Road Equipment - Gasoline,Carbon Dioxide,GHG,3857.881898292,TON
110,WI,55107,Rusk,Fires - Wildfires,Carbon Dioxide,GHG,1249.1809349999999,TON
111,KS,20133,Neosho,Mobile - Non-Road Equipment - Gasoline,Carbon Dioxide,GHG,2987.5359367,TON
112,IA,19177,Van Buren,Mobile - Non-Road Equipment - Gasoline,Carbon Dioxide,GHG,2636.867884847,TON
113,MO,29083,Henry,Mobile - Non-Road Equipment - Gasoline,Carbon Dioxide,GHG,16306.78610339,TON
114,PA,42057,Fulton,Mobile - Non-Road Equipment - Gasoline,Carbon Dioxide,GHG,3214.03068413,TON
115,CA,6041,Marin,Mobile - Non-Road Equipment - Gasoline,Carbon Dioxide,GHG,100459.0590751,TON
116,PR,72141,Utuado,Mobile - Non-Road Equipment - Other,Carbon Dioxide,GHG,261.3671413651,TON
117,KY,21077,Gallatin,Mobile - On-Road non-Diesel Light Duty Vehicles,Carbon Dioxide,GHG,95850.61777000001,TON
118,NJ,34025,Monmouth,Mobile - On-Road Diesel Heavy Duty Vehicles,Carbon Dioxide,GHG,236084.6039,TON
119,OR,41003,Benton,Fires - Prescribed Fires,Carbon Dioxide,GHG,26883.4941,TON
120,WI,55043,Grant,Mobile - On-Road Diesel Heavy Duty Vehicles,Methane,GHG,1.92835292,TON
121,VA,51570,Colonial Heights city,Mobile - On-Road Diesel Light Duty Vehicles,Nitrous Oxide,GHG,0.0069897048,TON
122,IA,19113,Linn,Mobile - Aircraft,Carbon Dioxide,GHG,26072.9236,TON
123,NC,37065,Edgecombe,Mobile - Non-Road Equipment - Diesel,Carbon Dioxide,GHG,24110.27908,TON
124,TX,48175,Goliad,Mobile - Non-Road Equipment - Gasoline,Carbon Dioxide,GHG,1581.71709513,TON
125,KS,20097,Kiowa,Mobile - Non-Road Equipment - Other,Methane,GHG,0.375310624826,TON
126,PR,72021,Bayamon,Mobile - On-Road non-Diesel Light Duty Vehicles,Carbon Dioxide,GHG,375294.7636,TON
127,WI,55001,Adams,Fires - Prescribed Fires,Carbon Dioxide,GHG,14028.73818,TON
128,WI,55139,Winnebago,Fires - Prescribed Fires,Methane,GHG,41.441671,TON
129,TX,48007,Aransas,Fires - Wildfires,Methane,GHG,19.153914,TON
130,PA,42133,York,Fires - Wildfires,Methane,GHG,0.037861,TON
131,CA,6079,San Luis Obispo,Mobile - Non-Road Equipment - Other,Carbon Dioxide,GHG,9986.5659947,TON
132,NJ,34041,Warren,Mobile - Non-Road Equipment - Gasoline,Methane,GHG,15.7381656251,TON
133,PR,72089,Luquillo,Mobile - Non-Road Equipment - Gasoline,Methane,GHG,2.7552183134,TON
134,FL,12097,Osceola,Mobile - Non-Road Equipment - Gasoline,Methane,GHG,76.076014335232,TON
135,IL,17019,Champaign,Fuel Comb - Comm/Institutional - Natural Gas,Nitrous Oxide,GHG,0.27813000000000004,TON
136,MT,30027,Fergus,Mobile - On-Road Diesel Heavy Duty Vehicles,Carbon Dioxide,GHG,17184.16558,TON
137,TN,47139,Polk,Mobile - On-Road Diesel Heavy Duty Vehicles,Methane,GHG,0.4951367588,TON
