Operator Name,Operator ID,Operator Type,State,Total Main Miles,Main Mileage Average Age,Main Miles over 50 Years Old,Main Miles Built in Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
Statewide Total,,Total,MS,17550.206,28.660377358490567,5127,2592.0,338.0,748.0,1517.0,1888.0,1555.0,1592.0,2534.0,2594.0,1769.0,417.0
Statewide Total,,Cooperative,MS,267.0,20.0,0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,11.0,81.0,71.0,5.0
Statewide Total,,Privately Owned,MS,274.71000000000004,41.5,186,8.0,0.0,8.0,2.0,166.0,25.0,33.0,19.0,7.0,5.0,0.0
Statewide Total,,Investor Owned,MS,11646.845,24.75,4031,1548.0,311.0,675.0,1201.0,1286.0,1279.0,1102.0,1366.0,1774.0,1004.0,94.0
Statewide Total,,Municipal Owned,MS,5361.651,27.404761904761905,910,1035.0,27.0,65.0,313.0,436.0,250.0,358.0,1136.0,731.0,688.0,317.0
MISSISSIPPI NATURAL INC.,39406,Privately Owned,MS,11.0,9.0,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
SOUTHEAST UTILITIES LLC,38940,Privately Owned,MS,23.0,56.0,22,0.0,0.0,8.0,2.0,4.0,4.0,2.0,2.0,1.0,0.0,0.0
KEESLER AIR FORCE BASE,38011,Municipal Owned,MS,48.73,27.0,24,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.68,19.13,16.92,0.0
OAKLAND YALOBUSHA NATURAL GAS DISTRICT,32196,Municipal Owned,MS,50.916,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.916
SEBASTOPOL NATURAL GAS DISTRICT,32180,Investor Owned,MS,105.76,10.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.33,58.23,0.0
"TREMONT, CITY OF",32065,Municipal Owned,MS,29.0,16.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0
MISSISSIPPI RIVER GAS LLC,31794,Privately Owned,MS,177.71,50.0,138,0.0,0.0,0.0,0.0,136.0,15.0,11.0,6.8,5.2,3.71,0.0
CITY OF RIENZI MUNICIPAL GAS,31525,Municipal Owned,MS,21.0,14.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,0.0
NORTHEAST MS NATURAL GAS DISTRICT,31473,Cooperative,MS,267.0,20.0,0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,11.0,81.0,71.0,5.0
KILMICHAEL NATURAL GAS,30878,Municipal Owned,MS,37.0,26.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0
WEST LINCOLN NATURAL GAS DISTRICT,30565,Municipal Owned,MS,30.33,25.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.75,0.58,0.0
"WOODVILLE, TOWN OF",22882,Municipal Owned,MS,24.0,0.0,0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPIRE MISSISSIPPI INC,22658,Investor Owned,MS,735.72,11.0,0,643.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.84,37.57,5.27
"WEIR NATURAL GAS SYSTEM, TOWN OF",22343,Municipal Owned,MS,9.0,54.0,8,0.0,0.0,0.0,0.0,8.5,0.0,0.25,0.25,0.0,0.0,0.0
"WAVELAND WATER & GAS DEPT, CITY OF",22259,Municipal Owned,MS,67.0,23.0,10,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0
"WALNUT MUNICIPLE GAS SYSTEM, TOWN OF",22105,Municipal Owned,MS,169.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0
"WALNUT GROVE GAS SYSTEM, CITY OF",22098,Municipal Owned,MS,50.8,52.0,42,4.7,0.0,0.0,0.0,42.9,0.0,0.0,0.2,1.3,1.7,0.0
"VICKSBURG, CITY OF",21220,Municipal Owned,MS,177.08,48.0,98,4.03,13.0,29.0,19.0,18.0,20.0,23.0,16.0,29.0,5.85,0.2
"UTICA, TOWN OF",20310,Municipal Owned,MS,23.0,56.0,23,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
TISHOMINGO GAS SYSTEM,19475,Municipal Owned,MS,55.0,31.0,3,0.0,0.0,0.0,0.0,0.0,25.0,10.0,5.0,0.0,13.0,2.0
SHANNON MUNICIPLE GAS SYSTEM,18224,Municipal Owned,MS,34.0,44.0,15,0.0,0.0,0.0,15.0,0.0,0.0,10.0,2.0,7.0,0.0,0.0
SENATOBIA MUNICIPAL GAS SYSTEM,18178,Municipal Owned,MS,71.0,27.0,0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,15.0,1.0,1.0
RIPLEY GAS SYSTEM,17480,Municipal Owned,MS,304.8,16.0,0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,33.25,42.55,10.0
"PONTOTOC, CITY OF",15755,Municipal Owned,MS,730.22,16.0,0,310.0,0.0,0.0,0.0,0.0,0.0,0.0,184.11,75.18,152.93,8.0
"PICAYUNE UTILITIES DEPT, CITY OF",15497,Municipal Owned,MS,113.0,10.0,0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,13.0,0.0
"OLIVE BRANCH MUNICIPAL GAS, CITY OF",14270,Municipal Owned,MS,499.0,31.0,86,0.0,0.0,0.0,37.0,40.0,60.0,100.0,101.0,87.0,68.0,5.0
NEW ALBANY GAS SYSTEM,13226,Municipal Owned,MS,367.64,35.0,110,0.0,0.0,0.0,39.5,65.0,42.4,45.4,76.35,54.1,41.75,3.14
"MOSS POINT MUNICIPAL GAS SYSTEM, CITY OF",12816,Municipal Owned,MS,111.0,19.0,0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,60.0,2.0,0.0
ATMOS ENERGY CORPORATION - MISSISSIPPI,12582,Investor Owned,MS,6641.48,41.0,2649,0.0,301.71,486.11,786.76,752.04,923.28,842.15,892.04,1053.82,529.15,74.42
METCALFE MUNICIPAL GAS,12383,Municipal Owned,MS,10.3,0.0,0,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"LIBERTY MUNICIPLE SYSTEM, TOWN OF",11480,Municipal Owned,MS,45.4,1.0,0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
ITAWAMBA INDUSTRIAL GAS CO,8326,Privately Owned,MS,6.0,46.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
HOLLY SPRINGS MUNICIPAL GAS,7325,Municipal Owned,MS,182.16,23.0,35,0.0,0.0,11.0,3.0,7.0,21.0,12.0,22.0,29.67,76.489,0.0
GLOSTER MUNICIPAL GAS SYSTEM,6410,Municipal Owned,MS,16.75,81.0,0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.75
FULTON MUNICIPAL GAS SYSTEM,5690,Municipal Owned,MS,143.6,34.0,40,0.0,0.0,0.0,20.0,19.0,10.5,23.0,34.0,18.4,18.3,0.4
CENTERPOINT ENERGY RESOURCES CORPORATION,4499,Investor Owned,MS,4163.885,37.0,1382,905.777,9.759,189.669,414.752,534.491,356.405,259.96,474.605,623.849,379.837,14.784
"DUCK HILL GAS SYSTEM, TOWN OF",3580,Municipal Owned,MS,37.0,56.0,37,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
"CORINTH GAS DEPT, CITY OF",2788,Municipal Owned,MS,357.0,24.0,0,62.0,0.0,0.0,0.0,0.0,0.0,36.0,194.0,36.0,28.0,1.0
CLAIBORNE NATURAL GAS INC,2465,Privately Owned,MS,26.0,56.0,26,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
CHICKASAWHAY NATURAL GAS DIST,2336,Municipal Owned,MS,234.0,26.0,6,53.0,0.0,0.0,0.0,0.0,44.0,21.0,51.4,34.0,30.6,0.0
"CENTREVILLE MUNICIPAL GAS, TOWN OF",2232,Municipal Owned,MS,31.0,28.0,8,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0
CANTON MUNICIPAL UTILITY,2060,Municipal Owned,MS,192.68,8.0,0,108.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,50.8,7.73
CALEDONIA NATURAL GAS DISTRICT,2047,Municipal Owned,MS,147.0,23.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,13.0,7.0,1.0
"BYHALIA MUNICIPAL SYSTEM, TOWN OF",1976,Municipal Owned,MS,76.0,9.0,0,54.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,15.0,0.0
BURNSVILLE GAS CO,1922,Privately Owned,MS,31.0,32.0,0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,11.0,0.0,0.0,0.0
BOONEVILLE MUNICIPAL GAS SYSTEM,1624,Municipal Owned,MS,350.0,44.0,211,0.0,0.0,0.0,110.0,100.0,10.0,18.0,50.0,7.0,55.0,0.0
"BELMONT NATURAL GAS SYSTEM, TOWN OF",1280,Municipal Owned,MS,124.58,10.0,0,87.88,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,28.4,2.8
"BEAUMONT MUNICIPAL GAS, TOWN OF",1224,Municipal Owned,MS,22.875,52.0,20,0.0,0.0,0.0,0.0,20.875,0.0,0.0,0.0,2.0,0.0,0.0
"BAY SPRINGS NATURAL GAS SYSTEM, TOWN OF",1208,Municipal Owned,MS,57.55,48.0,27,8.0,0.0,0.0,24.0,3.0,5.0,1.0,12.0,2.73,1.82,0.0
"BAY ST LOUIS MUNICIPLE GAS, CITY OF",1200,Municipal Owned,MS,54.12,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.12
"BATESVILLE GAS DEPT, CITY OF",1152,Municipal Owned,MS,112.12,41.0,59,0.0,0.0,13.0,22.0,10.0,8.0,9.0,20.0,22.25,7.364,0.0
BALDWYN MUN GAS SYST,969,Municipal Owned,MS,99.0,38.0,39,0.0,0.0,0.0,0.0,39.0,1.0,14.0,37.0,6.0,2.0,0.0
"ASHLAND MUNICIPAL GAS, TOWN OF",729,Municipal Owned,MS,46.0,32.0,9,0.0,0.0,0.0,6.0,3.0,4.0,3.0,20.0,6.0,4.0,0.3
