,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
39,Units in Structure: 1 ATTACHED,FL,565054,568580,568259,568308,557451,558437,583925,589263,578839,596992
40,Units in Structure: 1 DETACHED,FL,4854574,4886782,4875525,4881395,4932149,4957086,5057293,5139425,5176260,5241393
41,Units in Structure: 10-19,FL,517927,540521,533616,548259,544299,557816,532801,534477,553287,553526
42,Units in Structure: 2,FL,191137,197999,190393,202162,205364,207347,211104,197887,197227,181427
43,Units in Structure: 20-49,FL,555094,541447,533373,523324,516665,529234,528208,556760,556556,567254
44,Units in Structure: 3-4,FL,347564,341070,343729,355460,360053,380921,362317,374130,370814,368452
45,Units in Structure: 5-9,FL,450233,446601,448143,460531,484492,469788,466710,460321,481552,484184
46,Units in Structure: 50+,FL,662741,668683,695134,668905,696254,699298,720619,734812,789208,810394
47,"Units in Structure: Boat,RV,Van,Etc.",FL,11802,12579,10822,11799,10194,11564,9236,13071,13327,15832
48,Units in Structure: Mobile Home,FL,837965,823009,832536,827830,837729,838796,829927,841439,830692,854599
