,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
39,Units in Structure: 1 ATTACHED,PA,1013030,1028359,1010464,1028005,1030394,1049251,1041696,1067841,1062639,1051317
40,Units in Structure: 1 DETACHED,PA,3161350,3165605,3178997,3171116,3193588,3194264,3196708,3235410,3253824,3258462
41,Units in Structure: 10-19,PA,153046,139949,138058,139895,139983,143167,141408,147157,146766,153174
42,Units in Structure: 2,PA,265527,257791,266680,262431,258336,245240,251391,248439,247288,246317
43,Units in Structure: 20-49,PA,106780,112701,117877,112690,118279,114628,113780,121665,126878,135077
44,Units in Structure: 3-4,PA,230206,233790,234339,233730,234066,228039,233909,225305,234854,234927
45,Units in Structure: 5-9,PA,188033,196081,184529,186491,180612,186358,182654,180953,183108,189526
46,Units in Structure: 50+,PA,213563,211130,218571,201837,211511,217483,229106,237017,235557,248421
47,"Units in Structure: Boat,RV,Van,Etc.",PA,664,917,1215,1696,1210,1955,940,1772,1580,1269
48,Units in Structure: Mobile Home,PA,236621,233071,222035,227463,222733,222666,220403,228843,220642,214090
